Table,Variant,MobIds
rabbit_mob1,1,518;518;518;518
rabbit_mob1,2,519;519;519;519
rabbit_mob1,3,520;520;520;520
rabbit_sents1,1,521;521;521;521;521
rabbit_mob2,1,599;599;599;599
rabbit_mob2,2,524;524;524;524
rabbit_mob2,3,525;525;525;525
rabbit_sents2,1,526;526;526;526;526
rabbit_mob3,1,529;530;529;530
rabbit_mob3,2,529;530;529;530
rabbit_mob3,3,531;531;531;531
rabbit_sents3,1,532;532;532;532;532
tiger_mob1,1,294;294;294
tiger_mob1,2,295;295;295;295
tiger_mob1,3,296;296;297;295
tiger_mob1,4,296;296;294;295
tiger_mob1,5,296;296;294;295
tiger_mob1,6,297;297
tiger_big1,1,294;294;294;296;296;296;297;297;295;295
tiger_mob2,1,342;342;342
tiger_mob2,2,343;343;343;343
tiger_mob2,3,344;344;344;343
tiger_mob2,4,344;344;342;343
tiger_mob2,5,344;344;342;343
tiger_mob2,6,344;344
tiger_big2,1,342;342;342;342;343;343;343;343;344;344
tiger_mob3,1,347;347;347
tiger_mob3,2,348;348;348;348
tiger_mob3,3,349;349;349;348
tiger_mob3,4,349;349;347;348
tiger_mob3,5,349;349;347;348
tiger_mob3,6,349;349
tiger_big3,1,347;347;347;347;349;349;349;349;348;348
tiger_sents1,1,900;900;900;900;900
tiger_sents2,1,901;901;901;901;901
tiger_sents3,1,902;902;902;902;902
