Map,MobId,Count,MinX,MinY,MaxX,MaxY,Timer,Group
41,2,50,0,0,0,0,300,1
41,3,5,0,0,0,0,300,1
41,4,5,0,0,0,0,300,1
50,49,10,0,0,0,0,300,0
51,10,7,0,0,0,0,300,0
51,49,9,0,0,0,0,300,0
51,50,3,0,0,0,0,300,0
52,52,2,0,0,0,0,300,0
52,53,10,0,0,0,0,300,0
52,54,1,0,0,0,0,300,0
52,55,8,0,0,0,0,300,0
53,10,8,0,0,0,0,300,0
53,49,12,0,0,0,0,300,0
53,50,4,0,0,0,0,300,0
53,52,1,0,0,0,0,300,0
54,10,6,0,0,0,0,300,0
54,49,8,0,0,0,0,300,0
54,50,4,0,0,0,0,300,0
54,52,1,0,0,0,0,300,0
54,53,6,0,0,0,0,300,0
54,54,1,0,0,0,0,300,0
54,55,6,0,0,0,0,300,0
54,97,1,0,0,0,0,300,0
55,10,6,0,0,0,0,300,0
55,49,8,0,0,0,0,300,0
55,50,4,0,0,0,0,300,0
55,52,1,0,0,0,0,300,0
55,53,6,0,0,0,0,300,0
55,54,2,0,0,0,0,300,0
55,55,6,0,0,0,0,300,0
55,97,1,0,0,0,0,300,0
56,107,5,0,0,0,0,300,0
56,108,5,0,0,0,0,300,0
56,110,15,0,0,0,0,300,0
57,108,15,0,0,0,0,300,0
57,109,10,0,0,0,0,300,0
57,111,5,0,0,0,0,300,0
57,112,2,0,0,0,0,300,0
57,113,3,0,0,0,0,300,0
57,114,1,0,0,0,0,300,0
58,109,15,0,0,0,0,300,0
58,111,2,0,0,0,0,300,0
58,113,1,0,0,0,0,300,0
59,107,5,0,0,0,0,300,0
59,108,5,0,0,0,0,300,0
59,110,15,0,0,0,0,300,0
60,108,15,0,0,0,0,300,0
60,109,10,0,0,0,0,300,0
60,111,5,0,0,0,0,300,0
60,112,2,0,0,0,0,300,0
60,113,3,0,0,0,0,300,0
61,108,15,0,0,0,0,300,0
61,109,10,0,0,0,0,300,0
61,111,5,0,0,0,0,300,0
61,112,2,0,0,0,0,300,0
61,113,3,0,0,0,0,300,0
61,114,1,0,0,0,0,300,0
62,108,15,0,0,0,0,300,0
62,109,5,0,0,0,0,300,0
62,110,25,0,0,0,0,300,0
62,111,5,0,0,0,0,300,0
62,113,3,0,0,0,0,300,0
63,109,4,0,0,0,0,300,0
63,110,3,0,0,0,0,300,0
63,111,3,0,0,0,0,300,0
63,112,4,0,0,0,0,300,0
63,113,2,0,0,0,0,300,0
63,114,2,0,0,0,0,300,0
64,92,10,0,0,0,0,300,0
65,92,10,0,0,0,0,300,0
66,92,15,0,0,0,0,300,0
66,96,1,0,0,0,0,1800,1
67,92,15,0,0,0,0,300,0
67,94,1,0,0,0,0,1800,1
68,92,15,0,0,0,0,300,0
69,92,15,0,0,0,0,300,0
69,95,1,0,0,0,0,1800,1
70,75,7,0,0,0,0,300,0
71,75,10,0,0,0,0,300,0
72,75,10,0,0,0,0,300,0
72,76,10,0,0,0,0,300,0
72,80,10,0,0,0,0,300,0
73,75,10,0,0,0,0,300,0
73,76,10,0,0,0,0,300,0
73,78,6,0,0,0,0,300,0
74,78,6,0,0,0,0,300,0
74,117,10,0,0,0,0,300,0
75,75,10,0,0,0,0,300,0
75,76,10,0,0,0,0,300,0
75,78,7,0,0,0,0,300,0
75,80,10,0,0,0,0,300,0
76,75,10,0,0,0,0,300,0
76,76,10,0,0,0,0,300,0
76,78,6,0,0,0,0,300,0
77,75,10,0,0,0,0,300,0
77,76,10,0,0,0,0,300,0
77,78,6,0,0,0,0,300,0
78,75,15,0,0,0,0,300,0
78,115,10,0,0,0,0,300,0
79,75,15,0,0,0,0,300,0
80,116,10,0,0,0,0,240,0
80,126,10,0,0,0,0,240,0
81,71,5,0,0,0,0,240,0
81,116,10,0,0,0,0,240,0
81,126,10,0,0,0,0,240,0
82,71,5,0,0,0,0,240,0
