Map,MobId,Count,MinX,MinY,MaxX,MaxY,RespawnSec
100,294,3,0,0,0,0,
100,295,3,0,0,0,0,
100,296,3,0,0,0,0,
100,297,3,0,0,0,0,
101,294,3,0,0,0,0,
101,295,3,0,0,0,0,
101,296,3,0,0,0,0,
101,297,3,0,0,0,0,
102,294,3,0,0,0,0,
102,295,3,0,0,0,0,
102,296,3,0,0,0,0,
102,297,3,0,0,0,0,
103,294,3,0,0,0,0,
103,295,3,0,0,0,0,
103,296,3,0,0,0,0,
103,297,3,0,0,0,0,
104,294,3,0,0,0,0,
104,295,3,0,0,0,0,
104,296,3,0,0,0,0,
104,297,3,0,0,0,0,
105,294,3,0,0,0,0,
105,295,3,0,0,0,0,
105,296,3,0,0,0,0,
105,297,3,0,0,0,0,
106,294,3,0,0,0,0,
106,295,3,0,0,0,0,
106,296,3,0,0,0,0,
106,297,3,0,0,0,0,
107,294,3,0,0,0,0,
107,295,3,0,0,0,0,
107,296,3,0,0,0,0,
107,297,3,0,0,0,0,
108,294,3,0,0,0,0,
108,295,3,0,0,0,0,
108,296,3,0,0,0,0,
108,297,3,0,0,0,0,
109,294,3,0,0,0,0,
109,295,3,0,0,0,0,
109,296,3,0,0,0,0,
109,297,3,0,0,0,0,
110,900,5,0,0,0,0,
105,340,1,0,0,0,0,1500
109,341,1,0,0,0,0,1500
3100,342,3,0,0,0,0,
3100,343,3,0,0,0,0,
3100,344,3,0,0,0,0,
3101,342,3,0,0,0,0,
3101,343,3,0,0,0,0,
3101,344,3,0,0,0,0,
3102,342,3,0,0,0,0,
3102,343,3,0,0,0,0,
3102,344,3,0,0,0,0,
3103,342,3,0,0,0,0,
3103,343,3,0,0,0,0,
3103,344,3,0,0,0,0,
3104,342,3,0,0,0,0,
3104,343,3,0,0,0,0,
3104,344,3,0,0,0,0,
3105,342,3,0,0,0,0,
3105,343,3,0,0,0,0,
3105,344,3,0,0,0,0,
3106,342,3,0,0,0,0,
3106,343,3,0,0,0,0,
3106,344,3,0,0,0,0,
3107,342,3,0,0,0,0,
3107,343,3,0,0,0,0,
3107,344,3,0,0,0,0,
3108,342,3,0,0,0,0,
3108,343,3,0,0,0,0,
3108,344,3,0,0,0,0,
3109,342,3,0,0,0,0,
3109,343,3,0,0,0,0,
3109,344,3,0,0,0,0,
3110,901,5,0,0,0,0,
3105,345,1,0,0,0,0,1500
3109,346,1,0,0,0,0,1500
4100,347,3,0,0,0,0,
4100,348,3,0,0,0,0,
4100,349,3,0,0,0,0,
4101,347,3,0,0,0,0,
4101,348,3,0,0,0,0,
4101,349,3,0,0,0,0,
4102,347,3,0,0,0,0,
4102,348,3,0,0,0,0,
4102,349,3,0,0,0,0,
4103,347,3,0,0,0,0,
4103,348,3,0,0,0,0,
4103,349,3,0,0,0,0,
4104,347,3,0,0,0,0,
4104,348,3,0,0,0,0,
4104,349,3,0,0,0,0,
4105,347,3,0,0,0,0,
4105,348,3,0,0,0,0,
4105,349,3,0,0,0,0,
4106,347,3,0,0,0,0,
4106,348,3,0,0,0,0,
4106,349,3,0,0,0,0,
4107,347,3,0,0,0,0,
4107,348,3,0,0,0,0,
4107,349,3,0,0,0,0,
4108,347,3,0,0,0,0,
4108,348,3,0,0,0,0,
4108,349,3,0,0,0,0,
4109,347,3,0,0,0,0,
4109,348,3,0,0,0,0,
4109,349,3,0,0,0,0,
4110,902,5,0,0,0,0,
4105,350,1,0,0,0,0,1500
4109,351,1,0,0,0,0,1500
205,522,1,0,0,0,0,1500
205,523,1,0,0,0,0,1500
203,523,1,0,0,0,0,1500
208,522,1,0,23,19,39,1500
3205,527,1,0,0,0,0,1500
3205,528,1,0,0,0,0,1500
3203,528,1,0,0,0,0,1500
3208,527,1,0,23,19,39,1500
4205,533,1,0,0,0,0,1500
4205,534,1,0,0,0,0,1500
4203,534,1,0,0,0,0,1500
4208,533,1,0,23,19,39,1500
90,102,5,0,0,0,0,
91,102,5,0,0,0,0,
92,102,5,0,0,0,0,
93,102,5,0,0,0,0,
94,102,5,0,0,0,0,
95,102,5,0,0,0,0,
96,102,5,0,0,0,0,
