DestMap,DestX,DestY,SrcMaps,Tiered,Label,Sources
169,23,3,167;168,1,Monkey,rtk-lua
217,10,17,212;216;218,1,Rooster,rtk-lua
208,15,18,203;205;208,1,Rabbit,rtk-lua
479,23,3,482;484,1,Sheep,rtk-lua
180,22,7,177;178,1,Ox,rtk-lua
183,2,9,186;187;190,1,Pig,rtk-lua
244,15,25,243;245;247,1,Horse,rtk-lua
196,11,38,192;194;199,1,Dog,rtk-lua
255,12,34,253;254;258,1,Dragon,rtk-lua
235,1,4,233;236;237,1,Snake,rtk-lua
110,15,17,109,1,Tiger,rtk-lua-warptrap
1307,4,5,1302;1303;1304;1305;1306,0,Iron Lab,rtk-lua
