Path,Level,CumExp
0,1,300
0,2,600
0,3,900
0,4,1200
0,5,2400
0,6,3200
0,7,9656
0,8,10056
0,9,10563
0,10,12438
0,11,14706
0,12,17406
0,13,20575
0,14,24250
0,15,28469
0,16,33269
0,17,38688
0,18,44763
0,19,51531
0,20,71531
0,21,93581
0,22,117781
0,23,144231
0,24,173031
0,25,339698
0,26,512615
0,27,691781
0,28,877198
0,29,1068865
0,30,1402198
0,31,1756365
0,32,2131365
0,33,2527198
0,34,2943865
0,35,3527198
0,36,4147198
0,37,4897198
0,38,5737198
0,39,6637198
0,40,7637198
0,41,8687198
0,42,9787198
0,43,10937198
0,44,12137198
0,45,13387198
0,46,14787198
0,47,16287198
0,48,17887198
0,49,19587198
0,50,21420531
0,51,23520531
0,52,25820531
0,53,28320531
0,54,31020531
0,55,33937198
0,56,36937198
0,57,39987198
0,58,43087198
0,59,46287198
0,60,49787198
0,61,53487198
0,62,57387198
0,63,61487198
0,64,65787198
0,65,70370531
0,66,75170531
0,67,80370531
0,68,85970531
0,69,91770531
0,70,98020531
0,71,104620531
0,72,112120531
0,73,120620531
0,74,130620531
0,75,155620531
0,76,185620531
0,77,220620531
0,78,260620531
0,79,310620531
0,80,375620531
0,81,450620531
0,82,535620531
0,83,635620531
0,84,745620531
0,85,865620531
0,86,995620531
0,87,1135620531
0,88,1285620531
0,89,1445620531
0,90,1645620531
0,91,1855620531
0,92,2075620531
0,93,2305620531
0,94,2545620531
0,95,2845620531
0,96,3155620531
0,97,3475620531
0,98,3805620531
0,99,3805620531
1,1,300
1,2,600
1,3,900
1,4,1200
1,5,2400
1,6,3600
1,7,4800
1,8,6000
1,9,8400
1,10,10800
1,11,13200
1,12,18000
1,13,22800
1,14,27600
1,15,37200
1,16,46800
1,17,56400
1,18,75600
1,19,94800
1,20,114000
1,21,152400
1,22,190800
1,23,229200
1,24,306000
1,25,382800
1,26,459600
1,27,613200
1,28,766800
1,29,920400
1,30,1145400
1,31,1370400
1,32,1595400
1,33,1908000
1,34,2292000
1,35,2517000
1,36,2967000
1,37,3417000
1,38,3867000
1,39,4358520
1,40,4850040
1,41,5341560
1,42,6061560
1,43,6781560
1,44,7501560
1,45,8484600
1,46,9467640
1,47,10450680
1,48,11890680
1,49,13330680
1,50,14770680
1,51,16409080
1,52,18047480
1,53,19685880
1,54,22085880
1,55,24485880
1,56,26885880
1,57,30385880
1,58,35885880
1,59,40385880
1,60,47785880
1,61,55185880
1,62,63585880
1,63,72905880
1,64,81225880
1,65,90545880
1,66,101000000
1,67,112000000
1,68,125000000
1,69,140000000
1,70,157000000
1,71,177000000
1,72,200000000
1,73,225000000
1,74,255000000
1,75,330000000
1,76,335000000
1,77,380000000
1,78,425000000
1,79,475000000
1,80,530000000
1,81,590000000
1,82,655000000
1,83,725000000
1,84,805000000
1,85,890000000
1,86,985000000
1,87,1090000000
1,88,1195000000
1,89,1340000000
1,90,1470000000
1,91,1570000000
1,92,1670000000
1,93,1780000000
1,94,1900000000
1,95,2030000000
1,96,2150000000
