MobKey,HealAmount,HealChance,ParaBreakChance,LastStandMs,Anim,Sound
boar_champion,5000,3,2,8000,5,708
divine_dog,5000,3,2,8000,5,708
divine_dragon,15000,4,2,8000,5,708
divine_horse,15000,4,2,8000,5,708
divine_monkey,5000,3,2,8000,5,708
divine_ox,15000,4,2,8000,5,708
divine_pig,15000,4,2,8000,5,708
divine_rabbit,5000,3,2,8000,5,708
divine_rat,5000,3,2,8000,5,708
divine_rooster,5000,3,2,8000,5,708
divine_sheep,15000,4,2,8000,5,708
divine_snake,15000,4,2,8000,5,708
divine_tiger,15000,4,2,8000,5,708
dog_assassin,500,2,2,8000,5,708
dog_avenger,15000,4,2,8000,5,708
dog_cutthroat,5000,3,2,8000,5,708
dragon_avenger,15000,4,2,8000,5,708
dragon_mage,15000,4,2,8000,5,708
dragon_slayer,15000,4,2,8000,5,708
hare_witch,500,2,2,8000,5,708
horse_avenger,15000,4,2,8000,5,708
horse_chongun,15000,4,2,8000,5,708
horse_do,5000,3,2,8000,5,708
mighty_mouse,500,2,2,8000,5,708
monkey_avenger,15000,4,2,8000,5,708
monkey_basher,5000,3,2,8000,5,708
monkey_mauler,500,2,2,8000,5,708
mythic_boar,5000,3,2,8000,5,708
mythic_dog,500,2,2,8000,5,708
mythic_dragon,15000,4,2,8000,5,708
mythic_hare,500,2,2,8000,5,708
mythic_horse,5000,3,2,8000,5,708
mythic_monkey,500,2,2,8000,5,708
mythic_ox,5000,3,2,8000,5,708
mythic_rat,500,2,2,8000,5,708
mythic_rooster,500,2,2,8000,5,708
mythic_sheep,15000,4,2,8000,5,708
mythic_snake,5000,3,2,8000,5,708
mythic_tiger,15000,4,2,8000,5,708
ox_avenger,15000,4,2,8000,5,708
ox_charger,15000,4,2,8000,5,708
ox_gorer,5000,3,2,8000,5,708
pig_avenger,15000,4,2,8000,5,708
pig_champion,15000,4,2,8000,5,708
rabbit_avenger,15000,4,2,8000,5,708
rabbit_witch,5000,3,2,8000,5,708
rat_avenger,15000,4,2,8000,5,708
rat_lord,5000,3,2,8000,5,708
rooster_avenger,15000,4,2,8000,5,708
rooster_barbarian,5000,3,2,8000,5,708
rooster_swordsman,500,2,2,8000,5,708
sheep_avenger,15000,4,2,8000,5,708
sheep_shepherd,15000,4,2,8000,5,708
sheep_veteran,15000,4,2,8000,5,708
snake_avenger,15000,4,2,8000,5,708
snake_mage,15000,4,2,8000,5,708
snake_shaman,5000,3,2,8000,5,708
spirit_dog,15000,4,2,8000,5,708
spirit_dragon,15000,4,2,8000,5,708
spirit_horse,15000,4,2,8000,5,708
spirit_monkey,15000,4,2,8000,5,708
spirit_ox,15000,4,2,8000,5,708
spirit_pig,15000,4,2,8000,5,708
spirit_rabbit,15000,4,2,8000,5,708
spirit_rat,15000,4,2,8000,5,708
spirit_rooster,15000,4,2,8000,5,708
spirit_sheep,15000,4,2,8000,5,708
spirit_snake,15000,4,2,8000,5,708
spirit_tiger,15000,4,2,8000,5,708
tiger_avenger,15000,4,2,8000,5,708
tiger_slasher,15000,4,2,8000,5,708
tiger_warrior,15000,4,2,8000,5,708
