MobKey,Loot,RareLoot
adolescent_dragon,tarnished_amber:1:25,
agile_monkey,amber:1:10,
albino_buck,antler:1:34|ginseng:1:10,
ancient_drake,tarnished_amber:1:25,
angry_ox,lean_beef:1:34|amber:1:2.5,
arctic_deer,antler:1:34,
avalanche_king,,dark_amber:34|amber:67
avalanche_ogre,dark_amber:1:5,
bat,ginseng_piece:1:10,
beady_eyed_stalker,rat_meat:1:34|amber:1:7.5,
bear,bear_fur:1:40,
big_bat,,ginseng:10|ginseng_piece:34
big_rat,rat_meat:1:34,ginseng:10|ginseng_piece:17
black_buck,antler:1:67,
black_chick,,egg:17|chicken_meat:34
black_chicken,dark_amber:1:5,egg:17|chicken_meat:34
black_sheep,wool:1:25|amber:1:2.5,
black_skeleton,dark_amber:1:5,
black_tiger,splendid_tiger_pelt:1:1|amber:1:2.5,
blizzard_king,frozen_spear:1:10,dark_amber:34|amber:67
blizzard_ogre,amber:1:10,
blood_fox,red_fox_fur:1:34,
blood_mantis,,mountain_ginseng:34|ginseng:67
blood_rat,rat_meat:1:34|amber:1:5,
blood_snake,,fine_snake_meat:5|snake_meat:34
blood_tick,,mountain_ginseng:34|ginseng:67
blood_wolf,wolf_meat:1:67,
blue_rooster,amber:3:100,
boa,,fine_snake_meat:34|snake_meat:85
boar_champion,GOLD:1700:100|amber:5:100|dark_amber:3:67|white_amber:1:34,dark_staff:2|magical_dust:50
boar_defender,pork:1:67,magical_dust:1|white_amber:10
boar_sentry,,dark_staff:0.04|magical_dust:1|white_amber:5|dark_amber:15
bold_boar,rare_pork:1:34|white_amber:1:2.5,
bold_hog,rare_pork:1:34|white_amber:1:2.5,
bold_pig,rare_pork:1:34|white_amber:1:2.5,
bold_piglet,rare_pork:1:34|white_amber:1:2.5,
brazen,splendid_tiger_pelt:1:1|dark_amber:1:2.5,
bright_monkey,dark_amber:1:10,
carrion_raven,amber:1:10,
charging_ox,amber:1:2.5,lean_beef:17|beef:34
chtan,dark_amber:1:67,jade_diamond:8
cotw_panda_bear,bears_liver:1:20,
crazed_mongrel,amber:1:2.5,
