MobKey,Rooms,MaxAlive,CapMaps,HpJitter,FleeBelowPct,SpawnChance,DeathCooldownSec
*,,0,,1,,,
boar_champion,188:16:4,0,,,,,
divine_dog,3193:19:19|3195:17:17,0,,,,,
divine_dragon,3258:9:9|3253:13:6,0,,,,,
divine_horse,3240:21:35|3247:26:16,0,,,,,
divine_monkey,3166:21:16|3168:18:10,0,,,,,
divine_ox,3175:12:21|3178:15:20,0,,,,,
divine_pig,3189:7:9|3187:20:23,0,,,,,
divine_rat,3155:10:6|3157:23:15,0,,,,,
divine_rooster,3210:10:24|3213:15:23,0,,,,,
divine_sheep,3476:10:19|3472:11:8,0,,,,,
divine_snake,3236:10:18|3239:4:18,0,,,,,
dog_assassin,199:21:8,0,,,,,
dog_avenger,4193:19:19|4194:5:7|4199:21:8,0,,,,,
dog_cutthroat,3194:5:7|3197:4:20,0,,,,,
dragon_avenger,4250:4:12|4256:9:6|4252:7:8,0,,,,,
dragon_mage,250:13:5,0,,,,,
dragon_slayer,3250:8:9|3256:10:6,0,,,,,
dummy_monkey_mauler,167:18:22,0,,,,,
gimyi,1308:2:5,0,,,,,
horse_avenger,4242:15:21|4245:15:3|4247:26:16,0,,,,,
horse_chongun,3242:15:21|3248:16:12,0,,,,,
horse_do,248:16:12,0,,,,,
mighty_mouse,158:23:13,0,,,,,
monkey_avenger,4163:6:5|4164:24:32|4167:18:22,0,,,,,
monkey_basher,3162:15:15|3167:18:22,0,,,,,
monkey_mauler,167:18:22,0,,,,,
mythic_boar,189:7:9,0,,,,,
mythic_dog,197:4:20,0,,,,,
mythic_dragon,258:8:29,0,,,,,
mythic_horse,247:26:16,0,,,,,
mythic_monkey,168:18:10,0,,,,,
mythic_ox,175:12:21,0,,,,,
mythic_rat,157:23:15,0,,,,,
mythic_rooster,213:15:23,0,,,,,
mythic_sheep,476:10:19,0,,,,,
mythic_snake,236:10:18,0,,,,,
ox_avenger,4174:9:17|4177:3:11|4179:8:4,0,,,,,
ox_charger,3174:9:17|3177:3:11,0,,,,,
ox_gorer,177:3:11,0,,,,,
pig_avenger,4184:3:15|4186:11:6|4188:8:18,0,,,,,
pig_champion,3184:5:15|3186:12:8,0,,,,,
rat_avenger,4153:13:23|4155:10:6|4157:23:15,0,,,,,
rat_lord,3158:23:13|3159:20:12,0,,,,,
rooster_avenger,4211:4:8|4212:12:8|4216:15:5,0,,,,,
rooster_barbarian,3212:12:8|3216:15:5,0,,,,,
rooster_swordsman,212:12:8,0,,,,,
sheep_avenger,4472:10:8|4478:2:12|4476:3:10,0,,,,,
sheep_shepherd,3481:3:7|3482:13:5,0,,,,,
sheep_veteran,481:3:7,0,,,,,
snake_avenger,4237:10:9|4233:12:14|4232:16:19,0,,,,,
snake_mage,3237:10:9|3232:3:12,0,,,,,
snake_shaman,237:10:9,0,,,,,
spirit_dog,4192:16:6|4195:17:17|4197:4:20,0,,,,,
spirit_dragon,4254:16:5|4258:7:13|4253:13:6,0,,,,,
spirit_horse,4240:21:35|4243:6:24|4248:16:12,0,,,,,
spirit_monkey,4162:15:15|4166:21:16|4168:18:10,0,,,,,
spirit_ox,4172:18:9|4175:12:21|4178:15:20,0,,,,,
spirit_pig,4187:20:23|4189:9:3|4190:16:8,0,,,,,
spirit_rat,4156:20:12|4158:23:13|4159:20:12,0,,,,,
spirit_rooster,4210:10:24|4213:15:23|4215:11:13,0,,,,,
spirit_sheep,4481:4:8|4475:9:5|4477:14:9,0,,,,,
spirit_snake,4236:10:18|4239:4:10|4238:5:16,0,,,,,
strange_thing,,1,1009|2500,,,,
nine_tailed_fox,,0,,,15,,
ogre_citelam,,1,,,15,10,1800
ogre_maletic,,1,,,15,10,1800
