MobKey,Name,Effect,Chance,EveryMs,Range,Amount,Stat,Category,DurationMs,Anim,Sound,Say
raven,Peck,blind,5,6000,1,0,,blinds,5000,39,0,
man_shik_raven,Peck,blind,5,6000,1,0,,blinds,5000,39,0,
buya_library_mob,Venom,poison,10,12000,1,40,,,20000,6,0,
boar_champion,Scourge,curse,10,15000,5,10,might,disheartens,30000,10,0,** summons power **
boar_champion,Venom,poison,10,15000,5,200,,,20000,6,0,** summons power **
boar_champion,Blind,blind,10,15000,5,0,,blinds,8000,39,0,** summons power **
boar_champion,Call lightning,damage,1,15000,5,260,,,0,4,0,** summons power **
divine_dog,Scourge,curse,10,15000,5,10,might,disheartens,30000,10,0,** summons power **
divine_dog,Venom,poison,10,15000,5,200,,,20000,6,0,** summons power **
divine_dog,Blind,blind,10,15000,5,0,,blinds,8000,39,0,** summons power **
divine_dog,Call lightning,damage,1,15000,5,260,,,0,4,0,** summons power **
divine_dragon,Scourge,curse,10,15000,5,15,might,disheartens,30000,10,0,** summons power **
divine_dragon,Venom,poison,10,15000,5,300,,,20000,6,0,** summons power **
divine_dragon,Blind,blind,10,15000,5,0,,blinds,8000,39,0,** summons power **
divine_dragon,Thunder touch,damage,1,15000,5,480,,,0,4,0,** summons power **
divine_horse,Scourge,curse,10,15000,5,15,might,disheartens,30000,10,0,** summons power **
divine_horse,Venom,poison,10,15000,5,300,,,20000,6,0,** summons power **
divine_horse,Blind,blind,10,15000,5,0,,blinds,8000,39,0,** summons power **
divine_horse,Thunder touch,damage,1,15000,5,480,,,0,4,0,** summons power **
divine_monkey,Scourge,curse,10,15000,5,10,might,disheartens,30000,10,0,** summons power **
divine_monkey,Venom,poison,10,15000,5,200,,,20000,6,0,** summons power **
divine_monkey,Blind,blind,10,15000,5,0,,blinds,8000,39,0,** summons power **
divine_monkey,Call lightning,damage,1,15000,5,260,,,0,4,0,** summons power **
divine_ox,Scourge,curse,10,15000,5,15,might,disheartens,30000,10,0,** summons power **
divine_ox,Venom,poison,10,15000,5,300,,,20000,6,0,** summons power **
divine_ox,Blind,blind,10,15000,5,0,,blinds,8000,39,0,** summons power **
divine_ox,Thunder touch,damage,1,15000,5,480,,,0,4,0,** summons power **
divine_pig,Scourge,curse,10,15000,5,15,might,disheartens,30000,10,0,** summons power **
divine_pig,Venom,poison,10,15000,5,300,,,20000,6,0,** summons power **
divine_pig,Blind,blind,10,15000,5,0,,blinds,8000,39,0,** summons power **
divine_pig,Thunder touch,damage,1,15000,5,480,,,0,4,0,** summons power **
divine_rabbit,Scourge,curse,10,15000,5,10,might,disheartens,30000,10,0,** summons power **
divine_rabbit,Venom,poison,10,15000,5,200,,,20000,6,0,** summons power **
divine_rabbit,Blind,blind,10,15000,5,0,,blinds,8000,39,0,** summons power **
divine_rabbit,Call lightning,damage,1,15000,5,260,,,0,4,0,** summons power **
divine_rat,Scourge,curse,10,15000,5,10,might,disheartens,30000,10,0,** summons power **
divine_rat,Venom,poison,10,15000,5,200,,,20000,6,0,** summons power **
divine_rat,Blind,blind,10,15000,5,0,,blinds,8000,39,0,** summons power **
divine_rat,Call lightning,damage,1,15000,5,260,,,0,4,0,** summons power **
divine_rooster,Scourge,curse,10,15000,5,10,might,disheartens,30000,10,0,** summons power **
divine_rooster,Venom,poison,10,15000,5,200,,,20000,6,0,** summons power **
divine_rooster,Blind,blind,10,15000,5,0,,blinds,8000,39,0,** summons power **
divine_rooster,Call lightning,damage,1,15000,5,260,,,0,4,0,** summons power **
divine_sheep,Scourge,curse,10,15000,5,15,might,disheartens,30000,10,0,** summons power **
divine_sheep,Venom,poison,10,15000,5,300,,,20000,6,0,** summons power **
divine_sheep,Blind,blind,10,15000,5,0,,blinds,8000,39,0,** summons power **
divine_sheep,Thunder touch,damage,1,15000,5,480,,,0,4,0,** summons power **
divine_snake,Scourge,curse,10,15000,5,15,might,disheartens,30000,10,0,** summons power **
divine_snake,Venom,poison,10,15000,5,300,,,20000,6,0,** summons power **
divine_snake,Blind,blind,10,15000,5,0,,blinds,8000,39,0,** summons power **
divine_snake,Thunder touch,damage,1,15000,5,480,,,0,4,0,** summons power **
divine_tiger,Scourge,curse,10,15000,5,15,might,disheartens,30000,10,0,** summons power **
divine_tiger,Venom,poison,10,15000,5,300,,,20000,6,0,** summons power **
divine_tiger,Blind,blind,10,15000,5,0,,blinds,8000,39,0,** summons power **
divine_tiger,Thunder touch,damage,1,15000,5,480,,,0,4,0,** summons power **
dog_assassin,Vex,curse,10,15000,5,5,might,disheartens,30000,10,0,** summons power **
