Track,Name,Kind,Set,Notes
1,dark,midi,old,
2,dragon,midi,old,
3,earth,midi,old,
4,horse,midi,old,
5,lake,midi,old,
6,mist,midi,old,
7,monkey,midi,old,
8,ox,midi,old,
9,pig,midi,old,
10,,midi,old,unnamed — the one stock midi with no known song name; play it with @music 10
11,sorrow,midi,old,
12,tiger,midi,old,
2,buyeo,mp3,new,5.x set. ID3 title 부여성 (Buyeo Fortress). Ids 2/3/4 collide with the midi set — that is why Set exists
3,goguryeo1,mp3,new,ID3 고구려 던전 #1
4,goguryeo2,mp3,new,ID3 고구려 던전 #2
103,border,mp3,new,ID3 고구려-중국 국경지대 (the Goguryeo/China borderland)
107,cdungeon2,mp3,new,ID3 중국던전 #2
108,cdungeon3,mp3,new,ID3 중국던전 #3
109,cdungeon4,mp3,new,ID3 중국던전 #4 — in no stock playlist
116,pole,mp3,new,ID3 THE POLE
117,mystery,mp3,new,ID3 is literally '???' — Nexon shipped it untitled; the name is ours
118,,mp3,new,ID3 title is '-'; in no stock playlist
119,forest,mp3,new,ID3 FOREST version2
121,underwater,mp3,new,ID3 underwater
123,kfield,mp3,new,ID3 K FIELD
131,prince,mp3,new,"ID3 prince, dressed in blue"
133,puredark,mp3,new,ID3 king of the pure dark
135,plain1,mp3,new,ID3 N PLAIN #1
136,plain2,mp3,new,ID3 N PLAIN #2
137,plain3,mp3,new,ID3 N PLAIN #3
141,castle,mp3,new,ID3 SOUTH CHINESE CASTLE
142,seaside,mp3,new,ID3 SEASIDE TOWN
144,mtd1,mp3,new,ID3 Mt.D1
145,mtd2,mp3,new,ID3 Mt.D2
148,deepforest,mp3,new,ID3 deep forest
149,waitfour,mp3,new,ID3 wait four hours
999,winds,mp3,new,ID3 winds (take 2) — in no stock playlist
801,town1,list,new,103 2 116 103 117 103 136 2 103 121
802,town2,list,new,116 117 2 103 117 103 135 121 103 136 — ClassicTK put its shuffled twin on 9473 of its 9524 maps
803,town3,list,new,136 2 103 135 117 116 103 136 121 135
804,field1,list,new,108 119 121 123 145 149 123 141 108 142
805,field2,list,new,145 123 121 144 149 108 119 136 142 135
806,cave1,list,new,141 3 131 142 148 133 107 4 145 123
807,cave2,list,new,107 4 145 142 3 141 131 148 123 133
808,nexus,list,new,108 103 2 123 117 116 137 103 108 135 — ClassicTK's own pick for Mythic Nexus (map 41)
809,cave3,list,new,4 107 133 148 145 148 4 131 119 123
