Animal,EntranceMap,EntranceTiles,DestMap,DestX,DestY,T1Level,T1Vita,T1Mana,T2Level,T2Vita,T2Mana,T3Level,T3Vita,T3Mana,Sources
Rabbit,41,49:11;50:11,201,13,19,25,0,0,70,0,0,99,20000,10000,tutor-caves-melalye|tutor-caves-nussan|tutor-caves-brancrese|tutor-caves-azncloudboi
Monkey,41,43:47;44:47,160,1,1,32,0,0,77,0,0,99,40000,20000,tutor-caves-melalye|tutor-caves-nussan|tutor-caves-brancrese|tutor-caves-azncloudboi
Dog,41,18:24;19:24,191,11,27,39,0,0,84,0,0,99,60000,30000,tutor-caves-melalye|tutor-caves-nussan|tutor-caves-brancrese|tutor-caves-azncloudboi
Rooster,41,48:29;49:29,214,9,58,46,0,0,91,0,0,99,100000,50000,tutor-caves-melalye|tutor-caves-nussan|tutor-caves-brancrese|tutor-caves-azncloudboi
Rat,41,9:11;10:11,151,12,18,53,0,0,98,0,0,99,140000,70000,tutor-caves-melalye|tutor-caves-nussan|tutor-caves-brancrese|tutor-caves-azncloudboi
Horse,41,15:47;16:47,246,7,22,60,0,0,99,30000,15000,99,180000,90000,tutor-caves-melalye|tutor-caves-nussan|tutor-caves-brancrese|tutor-caves-azncloudboi
Ox,41,29:44;30:44,170,2,27,67,0,0,99,50000,25000,99,220000,110000,tutor-caves-melalye|tutor-caves-nussan|tutor-caves-brancrese|tutor-caves-azncloudboi
Pig,41,17:38;18:38,181,26,22,74,0,0,99,80000,40000,99,260000,130000,tutor-caves-melalye|tutor-caves-nussan|tutor-caves-brancrese|tutor-caves-azncloudboi
Snake,41,40:24;41:24,231,17,1,81,0,0,99,110000,55000,99,300000,150000,tutor-caves-melalye|tutor-caves-nussan|tutor-caves-brancrese|tutor-caves-azncloudboi
Sheep,41,41:38;42:38,470,14,12,88,0,0,99,140000,70000,99,340000,170000,tutor-caves-melalye|tutor-caves-nussan|tutor-caves-brancrese|tutor-caves-azncloudboi
Tiger,41,10:29;11:29,100,30,4,95,0,0,99,170000,85000,99,380000,190000,tutor-caves-melalye|tutor-caves-nussan|tutor-caves-brancrese|tutor-caves-azncloudboi
Dragon,41,29:18;30:18,257,17,10,99,0,0,99,200000,100000,99,420000,210000,tutor-caves-melalye|tutor-caves-nussan|tutor-caves-brancrese|tutor-caves-azncloudboi
