NpcKey,Abilities
SmithNpc,shop|repair
MessengerNpc,shop|messenger
InnNpc,shop|bank
InnNpc2,
FishNpc,fish
LibrarianNpc,librarian
WarriorTrainerNpc,warrior_trainer|minor_quest
RogueTrainerNpc,rogue_trainer|minor_quest
MageTrainerNpc,mage_trainer|minor_quest
PoetTrainerNpc,poet_trainer|minor_quest
BloodNpc,forget_secret
RogueGuildShamanNpc,appearance
ArenaMasterNpc,war_paint
ExpSeller,shadow_stats
ChapelNpc,shop|chapel
ShamanNpc,revive
BaekhoNpc,revive
HyunMooNpc,revive
ChungRyongNpc,revive
JuJakNpc,revive
HermitNpc,hermit
AncientLeviathanNpc,ancient_leviathan
