# Obj533Fix.csv - works around 5.33's re-authored SObj collision flags.
#
# THE PROBLEM. The 5.33 client runs its own collision locally against its own SOBJ.TBL, and Nexon
# re-authored those flags relative to 4.x: 362 flag bytes differ over the shared id range 1..7608.
# 234 ids block a direction on 5.33 that they did not on 4.x, which makes 18,025 cells (1.05%, in 620
# of 1,750 maps) unwalkable on 5.33 even though the 4.x maps intend them to be walked. Arctic Village
# (3811) 35,32 and 36,32 - a staircase carrying objects 327 and 320, both 0x00 on 4.x and 0x0F on 5.33
# - is the case that surfaced it.
#
# WHY THE SERVER CANNOT JUST FIX IT. Graphic and collision are the SAME number on the wire (one u16 per
# cell), so the only levers are "send a different object" or "send none". Matching on rendered sprite
# content (not frame ids, since TILEC was re-packed) finds a visually identical, usably-flagged
# substitute for just 4 of 128 objects. The rest can only be blanked, which deletes their artwork.
#
# SCOPES (P1998_OBJ_FIX_533): off | decor (default) | all
#   free        substitute a visually identical object - no cost, always applied
#   decor       4.x flag 0x00: pure decoration that should never block. Blanking loses a small sprite.
#   structural  4.x flag has a real directional block (a building front, a fence). Blanking these opens
#               the path but DELETES VISIBLE STRUCTURES, so they are off by default and left
#               over-blocking instead. Turn on only if the over-blocking makes somewhere unreachable.
#
# Walkability stays correct either way: the server enforces the 4.x flags itself (ObjectFlags in
# HandleWalk), so a blanked object still blocks exactly as 4.x intended - just as a 0x04 snap-back
# rather than a client-side refusal.
#
# The lossless alternative is patching the client's SOBJ.TBL (362 bytes, in place at offset 140 of
# Tile.dat). Deliberately not done - the client is kept stock.
#
# objId,action,replacement,cells,flag4x,flag533,scope
1243,suppress,0,1817,0x01,0x0F,structural
1244,suppress,0,1033,0x01,0x0F,structural
313,suppress,0,979,0x01,0x0F,structural
598,suppress,0,865,0x01,0x0F,structural
549,suppress,0,813,0x01,0x0F,structural
302,suppress,0,659,0x01,0x0F,structural
501,suppress,0,563,0x01,0x0F,structural
534,suppress,0,529,0x01,0x0F,structural
311,suppress,0,440,0x04,0x0F,structural
323,suppress,0,420,0x00,0x0F,decor
312,suppress,0,378,0x08,0x0F,structural
1086,suppress,0,365,0x04,0x0F,structural
301,suppress,0,327,0x08,0x0F,structural
514,suppress,0,324,0x01,0x0F,structural
300,suppress,0,317,0x04,0x0F,structural
317,suppress,0,308,0x08,0x0F,structural
316,suppress,0,304,0x04,0x0F,structural
552,suppress,0,291,0x01,0x0F,structural
553,substitute,554,291,0x01,0x0F,free
571,substitute,572,280,0x01,0x0F,free
578,suppress,0,266,0x01,0x0F,structural
327,suppress,0,265,0x00,0x0F,decor
599,suppress,0,252,0x01,0x0F,structural
321,suppress,0,243,0x00,0x0F,decor
922,suppress,0,237,0x01,0x0F,structural
1001,suppress,0,227,0x01,0x0F,structural
1004,suppress,0,221,0x01,0x0F,structural
694,substitute,695,213,0x01,0x0F,free
515,suppress,0,200,0x01,0x0F,structural
539,suppress,0,199,0x01,0x04,structural
541,suppress,0,192,0x01,0x08,structural
600,substitute,601,185,0x01,0x0F,free
294,suppress,0,172,0x04,0x0F,structural
1830,suppress,0,157,0x0D,0x0F,structural
293,suppress,0,152,0x08,0x0F,structural
1829,suppress,0,139,0x0D,0x0F,structural
