HallMap,BaseClass,GuildMap,SanctumUnaligned,SanctumKwisin,SanctumMingken,SanctumOhaeng,Sources
11,1,3701,12,300,301,302,rtk-lua
15,2,3702,16,312,313,314,rtk-lua
13,3,3703,14,306,307,308,rtk-lua
17,4,3704,18,318,319,320,rtk-lua
341,1,3705,366,303,304,305,rtk-lua
343,2,3706,368,315,316,317,rtk-lua
342,3,3707,367,309,310,311,rtk-lua
344,4,3708,369,321,322,323,rtk-lua
2510,1,0,3820,3821,3822,3823,ours (Kugnae/Buya pattern; no Nagnang guild hall exists)
2514,2,0,3824,3825,3826,3827,ours (Kugnae/Buya pattern; no Nagnang guild hall exists)
2512,3,0,3828,3829,3830,3831,ours (Kugnae/Buya pattern; no Nagnang guild hall exists)
2516,4,0,3832,3833,3834,3835,ours (Kugnae/Buya pattern; no Nagnang guild hall exists)
