key,mobKey,level,mana,cooldownMs
cotw_caterpillar_poet,cotw_caterpillar,68,10,0
kwisin_companion_poet,kwisin_companion,68,10,0
mingken_companion_poet,mingken_companion,68,10,0
ohaeng_companion_poet,ohaeng_companion,68,10,0
cotw_fluffy_dog_poet,cotw_fluffy_dog,72,10,0
kwisin_assistant_poet,kwisin_assistant,72,10,0
mingken_assistant_poet,mingken_assistant,72,10,0
ohaeng_assistant_poet,ohaeng_assistant,72,10,0
cotw_panda_bear_poet,cotw_panda_bear,81,10,0
kwisin_protector_poet,kwisin_protector,81,10,0
mingken_protector_poet,mingken_protector,81,10,0
ohaeng_protector_poet,ohaeng_protector,81,10,0
cotw_wild_monkey_poet,cotw_wild_monkey,90,10,0
kwisin_fighter_poet,kwisin_fighter,90,10,0
mingken_fighter_poet,mingken_fighter,90,10,0
ohaeng_fighter_poet,ohaeng_fighter,90,10,0
cotw_gorilla_poet,cotw_gorilla,99,10,0
kwisin_warrior_poet,kwisin_warrior,99,10,0
mingken_warrior_poet,mingken_warrior,99,10,0
ohaeng_warrior_poet,ohaeng_warrior,99,10,0
cotw_wind_dancer_poet,cotw_wind_dancer,99,10,0
kwisin_champion_poet,kwisin_champion,99,10,0
mingken_champion_poet,mingken_champion,99,10,0
ohaeng_champion_poet,ohaeng_champion,99,10,0
cotw_wind_warrior_poet,cotw_wind_warrior,99,0,480000
kwisin_avatar_poet,kwisin_avatar,99,0,480000
mingken_avatar_poet,mingken_avatar,99,0,480000
ohaeng_avatar_poet,ohaeng_avatar,99,0,480000
cotw_giasomo_bird_poet,giasomo_bird,50,10,0
