NpcIdentifier,ItemKeys
ArenaShopNpc,bears_liver|antler|flash_dust|flash_powder|rogues_powder|spark_powder|moon_powder|star_powder|deadly_earth|holy_dust|holy_powder|ice_shards|shard_bomb|shatter_bomb|spys_explosives|stealth_explosives|stealth_powder|sun_powder
BaekNpc,clear_water_song|sacred_poem|war_poem|moon_paper|legend
BaekhoNpc,-
BloodNpc,-
ButcherNpc,acorn|chestnut|meat_scrap|meat|rabbit_meat|fine_rabbit_meat|rat_meat|wolf_meat|wolf_pelt|fox_fur|red_fox_fur|light_fox_fur|fox_tail|bears_liver|snake_meat|fine_snake_meat|beef|lean_beef|chicken_meat|horse_meat|rare_pork|green_squirrel_pelt|bird_meat|tiger_meat|tigers_heart|splendid_tiger_pelt|dragons_liver
CarnageGameNpc,bears_liver|antler|herb_pipe
CarnageHallShopNpc,bears_liver|antler|herb_pipe
CartographerNpc,-
ChapelNpc,-
ChungRyongNpc,-
ClanNpc,apple|wine|thick_wine|yellow_scroll|soup_bowl|comb|rice_wine|root_liquor
ElixirShopNpc,acorn
GanNpc,short_bow|long_spear|iron_sword|fox_blade|viper_stick|giasomo_stick
GhengisKhanNpc,rabbit_meat|meat_scrap|horse_meat|antler|bears_liver|tigers_heart
HareietteNpc,-
HyunMooNpc,-
InnNpc,apple|wine|thick_wine|yellow_scroll|soup_bowl|comb|rice_wine|root_liquor
JuJakNpc,-
KukSaNpc,rabbit_meat|meat_scrap|horse_meat|antler|bears_liver|tigers_heart
LibrarianNpc,legend|divine_chronicles|graced_by_the_muse|the_wandering_monk|tomes_of_the_earth|ranger_code|kwanhonsagje
LonwikNpc,sonhi_cloak|sonhi_dress
MagistrateNpc,rabbit_meat|meat_scrap|horse_meat|antler|bears_liver|tigers_heart
MerchantNpc,rabbit_meat|meat_scrap|horse_meat|antler|bears_liver|tigers_heart
MessengerNpc,ogre_cider|ogre_drought|scroll|book|ink|smelting_agreement|white_paper|ribbon|brown_gift_paper|sonhi_pipe
MinNpc,egg|tiger_meat|tigers_heart|splendid_tiger_pelt|acorn|chestnut|meat_scrap|meat|rabbit_meat|fine_rabbit_meat|rat_meat|wolf_meat|wolf_pelt|fox_fur|red_fox_fur|light_fox_fur|fox_tail|bears_liver|snake_meat|fine_snake_meat|beef|lean_beef|chicken_meat|horse_meat|rare_pork|green_squirrel_pelt|bird_meat|dragons_liver
MiscGameShopNpc,limestone|obsidian
MuseumCaretakerNpc,key_to_earth|key_to_fire|key_to_wind|key_to_heaven|key_to_pond|key_to_thunder|key_to_water|key_to_mountain
NoghNpc,wool|ogre_cider|ogre_drought|ginseng_piece|ginseng|mountain_ginseng
NpcSubpathGeomancerEarthsDragonNpc,shu_jing
NpcSubpathGeomancerEarthsTreasureNpc,yellow_scroll
NpcSubpathGeomancerGengVinNpc,rabbit_meat|meat_scrap|horse_meat|antler|bears_liver|tigers_heart
NpcSubpathGeomancerLoShuNpc,limestone|obsidian|book
PathArenaTutorNpc,bears_liver|antler|herb_pipe
PotionShopNpc,red_potion|ginseng_piece|ginseng|mountain_ginseng|yellow_potion|blue_potion|violet_potion|brown_potion|green_potion|indigo_potion|white_potion|herb_pipe|aged_wine|moon_wine|thick_wine|rich_wine
RingShopNpc,blue_ring|red_ring|purple_ring|black_ring|exorcist_ring|quartz|amethyst|topaz|mica|small_amber_ring|medium_amber_ring|large_amber_ring|small_dark_ring|medium_dark_ring|large_dark_ring|small_yellow_ring|medium_yellow_ring|large_yellow_ring|small_white_ring|medium_white_ring|large_white_ring|small_baekho_ring|medium_baekho_ring|large_baekho_ring|small_hyun_moo_ring|medium_hyun_moo_ring|large_hyun_moo_ring|small_chung_ryong_ring|medium_chung_ryong_ring|large_chung_ryong_ring|small_ju_jak_ring|medium_ju_jak_ring|large_ju_jak_ring|plain_amber_bracelet|luxury_amber_bracelet|plain_dark_bracelet|luxury_dark_bracelet|plain_yellow_bracelet|luxury_yellow_bracelet|luxury_white_bracelet|amber|dark_amber|yellow_amber|white_amber
SaerounNpc,little_red_mantle|blue_necklace|black_bandanna|purple_bandanna|white_bandanna|brown_bandanna|green_bandanna|pink_bandanna|pink_headband|green_headband|black_headband|white_headband|blue_headband|red_headband|teal_bandanna|navy_bandanna|darkpurple_bandanna|orange_bandanna|babyblue_bandanna|lava_bandanna|star_bandanna
SeamstressNpc,spring_dress|spring_blouse|spring_skirt|spring_gown|summer_blouse|autumn_blouse|winter_blouse|leather_blouse|ancient_blouse|earth_blouse|summer_dress|autumn_dress|winter_dress|leather_dress|ancient_dress|earth_dress|summer_skirt|autumn_skirt|winter_skirt|leather_skirt|heart_skirt|earth_skirt|summer_drapery|autumn_drapery|winter_drapery|leather_drapery|ancient_drapery|earth_drapery|summer_gown|autumn_gown|winter_gown|leather_gown|ancient_gown|earth_gown|wedding_dress
SelNpc,spring_dress|spring_blouse|spring_skirt|spring_gown|summer_blouse|autumn_blouse|winter_blouse|leather_blouse|ancient_blouse|earth_blouse|summer_dress|autumn_dress|winter_dress|leather_dress|ancient_dress|earth_dress|summer_skirt|autumn_skirt|winter_skirt|leather_skirt|heart_skirt|earth_skirt|summer_gown|autumn_gown|winter_gown|leather_gown|ancient_gown|earth_gown|wedding_dress
SmithNpc,war_platemail|spring_mail_dress|spring_war_dress|scale_mail|merchant_armor|spring_armor_dress|spring_bow|wooden_saber|wooden_sword|viperhead_woodsaber|viperhead_woodsword|steel_dagger|steel_saber|steel_sword|steel_blade|merchant_helm|farmer_helm|royal_helm|sky_helm|ancient_helm|blood_helm|earth_helm|spring_helmet|summer_helmet|autumn_helmet|winter_helmet|ancient_helmet|blood_helmet|earth_helmet|jade_war_platemail|royal_war_platemail|sky_war_platemail|ancient_war_platemail|blood_war_platemail|earth_war_platemail|summer_war_dress|autumn_war_dress|winter_war_dress|ancient_war_dress|blood_war_dress|earth_war_dress|farmer_armor|royal_armor|sky_armor|ancient_armor|blood_armor|earth_armor|summer_armor_dress|autumn_armor_dress|winter_armor_dress|ancient_armor_dress|blood_armor_dress|earth_armor_dress|jade_scale_mail|royal_scale_mail|sky_scale_mail|ancient_scale_mail|blood_scale_mail|earth_scale_mail|summer_mail_dress|autumn_mail_dress|winter_mail_dress|ancient_mail_dress|blood_mail_dress|earth_mail_dress|mining_pick|ore_poor|ore_med|ore_high|ore_very_high|silver_ore|gold_ore|fine_steel_dagger|fine_steel_saber|fine_steel_sword|fine_steel_blade|slag
SplinterNpc,axe|ginko_wood|weaving_tools|fine_weaving_tools|spring_quiver|summer_quiver|wooden_sword|viperhead_woodsaber|viperhead_woodsword|wooden_blade|supple_wooden_sword|supple_viperhead_woodsaber|supple_viperhead_woodsword|supple_wooden_blade|oaken_sword|supple_oaken_sword|oaken_blade|supple_oaken_blade
SsalNpc,basic_sickle
SyaNpc,sonhi_cloak|sonhi_dress|magic_mirror|summer_mantle|autumn_mantle|winter_mantle|ancient_mantle|blood_mantle|earth_mantle|summer_drapery|autumn_drapery|winter_drapery|ancient_drapery|leather_drapery|earth_drapery
TailorNpc,peasant_clothes|spring_garb|spring_robes|merchant_armor|summer_garb|royal_garb|sky_garb|leather_garb|blood_garb|earth_garb|farmer_clothes|royal_clothes|sky_clothes|ancient_clothes|family_clothes|earth_clothes|summer_robes|autumn_robes|winter_robes|ancient_robes|blood_robes|earth_robes|farmer_waistcoat|royal_waistcoat|sky_waistcoat|ancient_waistcoat|blood_waistcoat|earth_waistcoat|summer_mantle|autumn_mantle|winter_mantle|ancient_mantle|blood_mantle|earth_mantle|green_cloak|wedding_cloak
TaimyrNpc,acorn|chestnut|meat_scrap|meat|rabbit_meat|fine_rabbit_meat|rat_meat|wolf_meat|wolf_pelt|fox_fur|red_fox_fur|light_fox_fur|fox_tail|bears_liver|snake_meat|fine_snake_meat|beef|lean_beef|chicken_meat|horse_meat|rare_pork|green_squirrel_pelt|bird_meat|tiger_meat|tigers_heart|splendid_tiger_pelt|dragons_liver
TalonNpc,rabbit_meat|meat_scrap|horse_meat|antler|bears_liver|tigers_heart
YonNpc,cloth|wool|weaving_tools
ZephyrNpc,scribes_pen|scribes_book|purified_water
