NpcIdentifier,ItemKeys
ArenaShopNpc,antler|bears_liver|deadly_earth|flash_dust|flash_powder|holy_dust|holy_powder|ice_shards|moon_powder|rogues_powder|shard_bomb|shatter_bomb|spark_powder|spys_explosives|star_powder|stealth_explosives|stealth_powder|sun_powder
BaekNpc,clear_water_song|legend|moon_paper|sacred_poem|war_poem
ButcherNpc,acorn|bears_liver|meat|meat_scrap|rabbit_meat|wolf_meat
CarnageGameNpc,antler|bears_liver|herb_pipe
CarnageHallShopNpc,antler|bears_liver|herb_pipe
ChapelNpc,cooked_fish|love|rose_petals
ClanNpc,apple|comb|rice_wine|root_liquor|soup_bowl|thick_wine|wine|yellow_scroll
ElixirShopNpc,acorn
GanNpc,long_spear|short_bow
GhengisKhanNpc,antler|bears_liver|horse_meat|meat_scrap|rabbit_meat|tigers_heart
HermitNpc,tainted_blade|tainted_ring|tainted_staff
InnNpc,apple|comb|rice_wine|root_liquor|soup_bowl|thick_wine|wine|yellow_scroll
KukSaNpc,antler|bears_liver|horse_meat|meat_scrap|rabbit_meat|tigers_heart
LibrarianNpc,divine_chronicles|graced_by_the_muse|kwanhonsagje|legend|ranger_code|the_wandering_monk|tomes_of_the_earth
LonwikNpc,sonhi_cloak|sonhi_dress
MagistrateNpc,antler|bears_liver|horse_meat|meat_scrap|rabbit_meat|tigers_heart
MerchantNpc,antler|bears_liver|horse_meat|meat_scrap|rabbit_meat|tigers_heart
MessengerNpc,book|brown_gift_paper|ink|ribbon|scroll|smelting_agreement|sonhi_pipe|white_paper
MinNpc,acorn|chestnut|meat_scrap|rabbit_meat|tigers_heart|wolf_meat
MiscGameShopNpc,limestone|obsidian
NoghNpc,ogre_cider|ogre_drought
NpcSubpathGeomancerEarthsDragonNpc,shu_jing
NpcSubpathGeomancerEarthsTreasureNpc,yellow_scroll
NpcSubpathGeomancerGengVinNpc,antler|bears_liver|horse_meat|meat_scrap|rabbit_meat|tigers_heart
NpcSubpathGeomancerLoShuNpc,book|limestone|obsidian
PathArenaTutorNpc,antler|bears_liver|herb_pipe
PotionShopNpc,aged_wine|blue_potion|brown_potion|green_potion|herb_pipe|indigo_potion|moon_wine|red_potion|rich_wine|thick_wine|violet_potion|white_potion|yellow_potion
RingShopNpc,black_ring|blue_ring|exorcist_ring|purple_ring|red_ring
SaerounNpc,babyblue_bandanna|black_bandanna|black_headband|blue_headband|blue_necklace|brown_bandanna|darkpurple_bandanna|green_bandanna|green_headband|lava_bandanna|little_red_mantle|navy_bandanna|orange_bandanna|pink_bandanna|pink_headband|purple_bandanna|red_headband|star_bandanna|teal_bandanna|white_bandanna|white_headband
SeamstressNpc,ancient_blouse|ancient_drapery|ancient_dress|ancient_gown|autumn_blouse|autumn_drapery|autumn_dress|autumn_gown|autumn_skirt|earth_blouse|earth_drapery|earth_dress|earth_gown|earth_skirt|heart_skirt|leather_blouse|leather_drapery|leather_dress|leather_gown|leather_skirt|spring_blouse|spring_dress|spring_gown|spring_skirt|summer_blouse|summer_drapery|summer_dress|summer_gown|summer_skirt|wedding_dress|winter_blouse|winter_drapery|winter_dress|winter_gown|winter_skirt
SelNpc,ancient_blouse|ancient_dress|ancient_gown|autumn_blouse|autumn_dress|autumn_gown|autumn_skirt|earth_blouse|earth_dress|earth_gown|earth_skirt|heart_skirt|leather_blouse|leather_dress|leather_gown|leather_skirt|spring_blouse|spring_dress|spring_gown|spring_skirt|summer_blouse|summer_dress|summer_gown|summer_skirt|wedding_dress|winter_blouse|winter_dress|winter_gown|winter_skirt
SmithNpc,ancient_armor|ancient_armor_dress|ancient_helm|ancient_helmet|ancient_mail_dress|ancient_scale_mail|ancient_war_dress|ancient_war_platemail|autumn_armor_dress|autumn_helmet|autumn_mail_dress|autumn_war_dress|blood_armor|blood_armor_dress|blood_helm|blood_helmet|blood_mail_dress|blood_scale_mail|blood_war_dress|blood_war_platemail|earth_armor|earth_armor_dress|earth_helm|earth_helmet|earth_mail_dress|earth_scale_mail|earth_war_dress|earth_war_platemail|farmer_armor|farmer_helm|jade_scale_mail|jade_war_platemail|merchant_armor|merchant_helm|mining_pick|royal_armor|royal_helm|royal_scale_mail|royal_war_platemail|scale_mail|sky_armor|sky_helm|sky_scale_mail|sky_war_platemail|spring_armor_dress|spring_bow|spring_helmet|spring_mail_dress|spring_war_dress|steel_blade|steel_dagger|steel_saber|steel_sword|summer_armor_dress|summer_helmet|summer_mail_dress|summer_war_dress|viperhead_woodsaber|viperhead_woodsword|war_platemail|winter_armor_dress|winter_helmet|winter_mail_dress|winter_war_dress|wooden_saber|wooden_sword
SplinterNpc,axe
SsalNpc,basic_sickle
SyaNpc,magic_mirror|sonhi_cloak|sonhi_dress
TailorNpc,ancient_clothes|ancient_mantle|ancient_robes|ancient_waistcoat|autumn_mantle|autumn_robes|blood_garb|blood_mantle|blood_robes|blood_waistcoat|earth_clothes|earth_garb|earth_mantle|earth_robes|earth_waistcoat|family_clothes|farmer_clothes|farmer_waistcoat|green_cloak|leather_garb|merchant_armor|peasant_clothes|royal_clothes|royal_garb|royal_waistcoat|sky_clothes|sky_garb|sky_waistcoat|spring_garb|spring_robes|summer_garb|summer_mantle|summer_robes|winter_mantle|winter_robes
TaimyrNpc,acorn|rabbit_meat
TalonNpc,antler|bears_liver|horse_meat|meat_scrap|rabbit_meat|tigers_heart
