SourceId,Type,Tier,Weight,Title,Url,Author,Date,Retrieved,Notes
rtk-db,rtk-fallback,fallback,0,"RTK-Server MySQL schema + data dump",,RTK-Server project,2020-07-04,2026-07-24,"DEFAULT provenance for bulk-imported rows in rtk_mobs.csv / Items.csv / Spawns0.csv / Warps.csv / ShopStock.csv etc. Local: RTK-Server/database/scripts/2020-07-04-14-47_CreateTables.sql. Community reimplementation of retail — verify against live/tutor before trusting balance numbers (mob AC/HP known to diverge)."
rtk-lua,rtk-fallback,fallback,0,"RTK-Server Lua scripts",,RTK-Server project,,2026-07-24,"RTK-Server/rtklua/Accepted/... (swingDamage.lua, hitCritChance.lua, onLevel.lua, mobSpawnHandler.lua). Fallback only; onLevel.lua AC formula already proven wrong vs retail."
rtk-c,rtk-fallback,fallback,0,"RTK-Server C engine",,RTK-Server project,,2026-07-24,"RTK-Server/rtk/src/map/... (pc.c pc_calcstat, clif.c, mob.c). Fallback only; much combat math is commented-out/dead in favour of the Lua."
tutor-ac-yttribium,tutor-board,documented,1,"Armour Class and you",http://boards.nexustk.com/Warriors/Yttribium%2004210049.html,Warrior Tutor Yttribium,2019-11-02,2026-07-28,"Naked base AC = 100 - level (all classes, ->1 at lvl99); dmg = raw x (1 + AC/100); human cap -80, mob -95; range +100..-128, shows +127 when overcapped."
tutor-swingdmg-melalye,tutor-board,documented,1,"Swing damage & Mods",http://boards.nexustk.com/Rogues/Melalye%2007210115.html,Rogue Tutor Melalye,2014-10-09,2026-07-28,"Warrior/Rogue melee swing = [(S/2)*Ingr + Dam*2.5 + Mgt/8 + 9(W)/7.5(R)] * Rage * Inv * Crit. Ingress/Rage/Cunning value tables. Behind = x2; side = no bonus. Hit vs Grace accuracy prose."
tutor-weapdmg-yttribium,tutor-board,documented,1,"Weapon Damage Breakdown",http://boards.nexustk.com/Warriors/Yttribium%2005090051.html,Warrior Tutor Yttribium,2016,2026-07-28,"Confirms swing formula. L (large) weapon dmg 'not implemented' - S used for ALL targets incl. large/boss. Crit multiplier = 1 (normal) or 3."
tutor-spelldmg-yttribium,tutor-board,documented,1,"Spell damage and various info",http://boards.nexustk.com/Warriors/Yttribium%2002290058.html,Warrior Tutor Yttribium,2017-12-01,2026-07-28,"0-AC spell dmg coeffs (Slash/Zerk/WW/DA/LS/HF/Inferno/Retribution...); regen Vita=0.02*Vita*(1+R/100), Mana=0.02*Mana FLAT (every 25s / 12.5s at inn); AC caps -80/-95; sanctuary halves; creature vita = BaseVita + Random*Spread; all creatures have a fixed AC."
tutor-dmgmod-melalye,tutor-board,documented,2,"Damage Modifiers",http://boards.nexustk.com/Rogues/Melalye%2011080053.html,Rogue Tutor Melalye,2005-03-22,2026-07-28,"OLD (2005, closer to our ~2001 era): Invis 8x; Furies Wolf 2x/Tiger 3x/Serpent&99 4x/Baekho&Il 5x; Cunning 1-5 = 4x-8x; ingress Ee 1.5x / Sam 2x. NOTE: conflicts with the 2014 swing post's values (game was rebalanced)."
tutor-lv99atk-darkmaverick,tutor-board,documented,2,"Lv99 W.Attack Formula",http://boards.nexustk.com/Warriors/DarkMaverick%2006110220.html,Warrior Tutor DarkMaverick,2005-03-27,2026-07-28,"OLD (2005): Might/8 dmg per pt @0AC; 1 Dam = +2.5 might-dmg; Warrior+Rogue path bonus 8.8125; displayed weapon ratio = dmg at +100 AC (half at 0 AC); side x1.5 (LATER DEBUNKED); L bugged, S only."
tutor-statatk-melalye,tutor-board,documented,2,"Stat Based Attacks",http://boards.nexustk.com/Rogues/Melalye%2011080052.html,Rogue Tutor Melalye,2005-03-22,2026-07-28,"OLD (2005) special-attack levels+costs: Desperate Attack lvl50 (Vita+Mana, -50% vita/-100% mana); Lethal Strike lvl99 (0.5*Vita+2.5*Mana, -50% vita/-1k mana); Bladestorm Ee san (0.5*Vita); Sam san Ka (2*Vita)."
tutor-spellcost-skademon,tutor-board,documented,2,"Attack spell formulas and costs",http://boards.nexustk.com/Warriors/tutor%2008050103.html,"SkaDemon, Poet Tutor",2005-03-27,2026-07-28,"OLD (2005), credited to Ixeus: Whirlwind 1.75*Vita (all-but-10 vita + 600 mana); WW ming/oh 1.575; Berserk 0.75*Vita (66.6% vita+120 mana); Assault 0.5*Vita (50% vita+5k mana); Life's End 1.875*Vita+0.5*Mana; Slash 0.0245*Vita+11.435*Might (10% vita+120 mana)."
archive-spells-mage,tutor-board,documented,2,"Mage spell lists (levels/costs)",http://boards.nexustk.com/Mages/,"Mage Tutors (Nussan et al.)",2008-2019,2026-07-28,"Umbrella: the Mages board class spell-list posts (Nussan 1-50/51-99 + subpath names, YappY, theSavior). Backs archive-sourced mage rows in SpellLearnCosts.csv."
archive-spells-warrior,tutor-board,documented,2,"Warrior spell lists (levels/costs)",http://boards.nexustk.com/Warriors/,"Warrior Tutors (Gildenstar/SoulHunter/Deimos et al.)",2005-2019,2026-07-28,"Umbrella: the Warriors board class spell-list posts (Gildenstar 2005, SoulHunter 2009, Deimos 2017-2019). Backs archive-sourced warrior rows in SpellLearnCosts.csv."
archive-spells-rogue,tutor-board,documented,2,"Rogue spell lists (levels/costs)",http://boards.nexustk.com/Rogues/,"Rogue Tutors (xFiReStOrMx/ThiefOfSouls et al.)",2008-2009,2026-07-28,"Umbrella: the Rogues board class spell-list posts (xFiReStOrMx 1-50/50-99, ThiefOfSouls Il-Sa san). Backs archive-sourced rogue rows in SpellLearnCosts.csv."
archive-spells-poet,tutor-board,documented,2,"Poet spell lists (levels/costs)",http://boards.nexustk.com/Poets/,"Poet Tutors (WiKiDWiND et al.)",2005,2026-07-28,"Umbrella: the Poets board spell/guide posts (WiKiDWiND Beginners Guide - Spells). Backs archive-sourced poet rows in SpellLearnCosts.csv."
tutor-caves-melalye,tutor-board,documented,2,"Mythic Caves (level/vita/mana requirements)",http://boards.nexustk.com/Rogues/tutor%2003220047.html,"Melalye, Rogue Tutor",2005-03-22,2026-07-28,"OLD (2005, era-correct): full 12-animal x 3-tier Mythic cave requirement table (Rabbit1 lv25 ... Dragon3 420k/210k). Cave2/3 vita-OR-mana gates. Companion Non-Mythic Caves post (tutor 03220048) lists per-cave insight levels + entrance coords. Matches nussan/brancrese/azncloudboi exactly."
tutor-caves-nussan,tutor-board,documented,2,"Mythic cave requirements + boss rooms/drops",http://boards.nexustk.com/Mages/Nussan%2009230088.html,"Head Tutor Nussan",2008-2012,2026-07-28,"Mythic cave requirement table (09230088) identical to melalye; sibling posts cover boss-room names (09230092), boss drops (09230090), non-mythic reqs (09230089), and Vortex reqs (12150150). Boards-era (2008+) but corroborates the 2005 era-correct tables verbatim."
tutor-caves-brancrese,tutor-board,documented,2,"Mythic cave levels/stats (*revised)",http://boards.nexustk.com/Warriors/tutor07250061.html,"Brancrese, Warrior Tutor (orig. ZFire)",2005,2026-07-28,"OLD (2005), credited to ZFire: same 12-animal x 3-tier Mythic table. Notes 'all caves 7 lvls apart except Dragon' and that split-stat resist was removed. Matches melalye/nussan."
tutor-caves-azncloudboi,tutor-board,documented,1,"Info - Full Cave Chart Information",http://boards.nexustk.com/Warriors/AzNCloudBoi%2008230082.html,"Warrior Tutor AzNCloudBoi",2013,2026-07-28,"NEWER (boards, ~2013): combined Mythic + Vortex + Non-Mythic chart. Mythic numbers match the older tables; included as a fourth corroborator. Same author's Event-Cave post (11240213) is self-flagged 'may be a bit off' (player-sourced) - not used for the Mythic reqs."
