key,look,lookFemale,mana,durationMs,answers
kwisin_cloak_rogue,32,0,30,185000,
mingken_cloak_rogue,153,0,30,185000,
ohaeng_cloak_rogue,98,0,30,185000,
kwisin_disguise_rogue,97,0,30,185000,
mingken_disguise_rogue,183,0,30,185000,
ohaeng_disguise_rogue,126,0,30,185000,
kwisin_mask_rogue,30,0,30,185000,
mingken_mask_rogue,89,88,30,185000,
ohaeng_mask_rogue,112,0,30,185000,
kwisin_chameleon_rogue,105,0,30,185000,
mingken_chameleon_rogue,121,0,30,185000,
ohaeng_chameleon_rogue,170,0,30,185000,
kwisin_mask_mage,30,0,30,185000,
mingken_mask_mage,89,88,30,185000,
ohaeng_mask_mage,112,0,30,185000,
kwisin_chameleon_mage,105,0,30,185000,
mingken_chameleon_mage,121,0,30,185000,
ohaeng_chameleon_mage,170,0,30,185000,
dagger_uniform,102,0,25,162000,
chongun_uniform,37,0,25,162000,
marketer_guise,52,0,125,60000,
feral_rogue,,,30,185000,pig:19;piglet:20;puppy:18;mongrel:103;cat:182
gangrel_rogue,,,30,185000,fox:22;wolf:23
rodent_rogue,,,30,185000,rabbit:21;squirrel:25
beast_rogue,,,30,185000,tiger:29;bear:24
gangrel_mage,,,30,185000,fox:22;wolf:23
beast_mage,,,30,185000,tiger:29;bear:24
druids_rodent,,,30,155000,rabbit:21;rat:91
wilderness_guise,,,30,300000,wolf:23;rabbit:21;deer:89;sheep:173;thirsty ogre:185;ogre:185
