PthId,PthType,PthChat,PthIcon,PthMark0,PthMark1,PthMark2,PthMark3,PthMark4,PthMark5,PthMark6,PthMark7,PthMark8,PthMark9,PthMark10,PthMark11,PthMark12,PthMark13,PthMark14,PthMark15
0,0,0,0,Peasant,Peasant,Peasant,Peasant,Peasant,Peasant,,,,,,,,,,
1,1,0,0,Warrior,Il san (W),Ee san (W),Sam san (W),Sa san (W),Oh san (W),,,,,,,,,,
2,2,0,0,Rogue,Il san (R),Ee san (R),Sam san (R),Sa san (R),Oh san (R),,,,,,,,,,
3,3,0,0,Mage,Il san (M),Ee san (M),Sam san (M),Sa san (M),Oh san (M),,,,,,,,,,
4,4,0,0,Poet,Il san (P),Ee san (P),Sam san (P),Sa san (P),Oh san (P),,,,,,,,,,
5,5,0,0,Dreamweaver,Archon,GM,GM,GM,GM,GM,,,,,,,,,
6,1,0,4,Chung ryong,Fury,Assault,Barrage,Champion,Chung ryong,Chung ryong,,,,,,,,,
7,2,0,4,Baekho,Cunning,Swift,Shikari,Marauder,Baekho,Baekho,,,,,,,,,
8,3,0,4,Ju jak,Force,Inferno,Pandemonium,Catastrophe,Ju jak,Ju jak,,,,,,,,,
9,4,0,4,Hyun moo,Panoply,Essence,Guardian,Balistraria,Hyun moo,Hyun moo,,,,,,,,,
10,1,10,1,Barbarian,Berserker,Savage,Beast,Behemoth,Barbarian,Barbarian,,,,,,,,,
11,2,11,1,Merchant,Gypsy,Tradesman,Magnate,Kashou,Merchant,Merchant,,,,,,,,,
12,3,12,1,Diviner,Oracle,Prophet,Clairvoyant,Visionary,Diviner,Diviner,,,,,,,,,
13,4,13,1,Druid,Archdruid,Diarmuid,Ainvar,Nwyfre,Druid,Druid,,,,,,,,,
14,1,14,2,Chongun,Sonbae,Kyshitra,Musadan,Samurang,Chongun,Chongun,,,,,,,,,
15,2,15,2,Ranger,Adventurer,Tracker,Survivalist,Marksman,Ranger,Ranger,,,,,,,,,
16,3,16,2,Geomancer,Haein-Sa,Ba-Gua,Xing-Yi,Dizhu,Geomancer,Geomancer,,,,,,,,,
17,4,17,2,Monk,Sammasati,Karuna,Samaruhi,Bhavana,Monk,Monk,,,,,,,,,
18,1,18,3,Do,HwarangDo,Sulsa-Do,Jeong-Do,Wonhwa,Do,Do,,,,,,,,,
19,2,19,3,Spy,Mercenary,Assassin,Saboteur,Emissary,Spy,Spy,,,,,,,,,
20,3,20,3,Shaman,Mog-ur,Anamchara,Sul\'sah,Kamang,Shaman,Shaman,,,,,,,,,
21,4,21,3,Muse,Artisan,Virtuoso,Prodigy,Luminary,Muse,Muse,,,,,,,,,
22,5,22,0,Archon,Archon,Archon,Archon,Archon,Archon,Archon,,,,,,,,,
