key,pathId,level,gold,item1,amt1,item2,amt2,item3,amt3,item4,amt4,source
gateway,1,5,0,acorn,10,rabbit_meat,10,,,,,archive-spells-warrior
taunt_warrior,1,6,0,acorn,20,rabbit_meat,5,,,,,archive-spells-warrior
wolfs_fury_warrior,1,7,100,rabbit_meat,25,,,,,,,archive-spells-warrior
soothe,1,8,30,acorn,70,,,,,,,archive-spells-warrior
bless_warrior,1,9,80,antler,3,,,,,,,archive-spells-warrior
fleshspeak_warrior,1,13,40,acorn,70,,,,,,,archive-spells-warrior
backstab_warrior,1,15,100,antler,3,snake_meat,20,,,,,archive-spells-warrior
flank_warrior,1,20,150,antler,5,snake_meat,20,,,,,archive-spells-warrior
tigers_fury_warrior,1,24,250,antler,5,fox_fur,15,,,,,archive-spells-warrior
enchant_warrior,1,28,150,antler,5,fox_fur,10,steel_saber,1,,,archive-spells-warrior
relief_warrior,1,31,200,acorn,80,red_fox_fur,10,light_fox_fur,10,,,archive-spells-warrior
potence_warrior,1,35,500,battle_helm,1,red_fox_fur,10,light_fox_fur,10,,,archive-spells-warrior
watchful_eye_warrior,1,38,100,amber,1,rat_meat,10,,,,,archive-spells-warrior
mentor,1,40,1000,maxcaliber,1,,,,,,,archive-spells-warrior
dragons_fury_warrior,1,45,750,fine_snake_meat,5,fox_tail,1,light_fox_fur,20,,,archive-spells-warrior
infuse_warrior,1,55,1000,antler,10,red_fox_fur,20,steel_saber,1,,,archive-spells-warrior
slash_warrior,1,63,1000,antler,5,tigers_heart,5,white_amber,1,,,archive-spells-warrior
ingress_warrior,1,70,1500,antler,10,amber,10,maxcaliber,1,,,archive-spells-warrior
berserk_warrior,1,80,5000,fox_blade,1,amber,20,maxcaliber,1,,,archive-spells-warrior
share_wisdom,1,90,100000,,,,,,,,,archive-spells-warrior
vigor_warrior,1,90,10000,angels_tear,1,light_fox_fur,40,mountain_ginseng,1,,,archive-spells-warrior
whirlwind_warrior,1,99,10000,angels_tear,1,dark_amber,20,electra,1,,,archive-spells-warrior
gateway,3,5,0,acorn,10,rabbit_meat,10,,,,,archive-spells-mage
thunder_bolt_mage,3,5,50,acorn,10,rabbit_meat,10,,,,,archive-spells-mage
might_mage,3,6,50,antler,5,bears_liver,1,,,,,archive-spells-mage
soothe,3,6,50,acorn,10,rabbit_meat,10,,,,,archive-spells-mage
pestilence_mage,3,7,50,acorn,15,wooden_sword,1,,,,,archive-spells-mage
static_mage,3,8,50,acorn,20,soup_bowl,1,,,,,archive-spells-mage
spark_mage,3,9,10,acorn,10,book,1,,,,,archive-spells-mage
fleshspeak_mage,3,11,100,acorn,10,book,1,rabbit_meat,10,,,archive-spells-mage
propose,3,11,1000,,,,,,,,,archive-spells-mage
singe_mage,3,13,100,book,1,ink,1,,,,,archive-spells-mage
return_spell,3,13,50,acorn,30,,,,,,,archive-spells-mage
harden_armor_mage,3,14,100,ancient_armor,1,gold_acorn,1,,,,,archive-spells-mage
ignite_mage,3,19,200,book,1,ink,1,,,,,archive-spells-mage
approach_spell,3,20,0,acorn,50,snake_meat,20,,,,,archive-spells-mage
lay_hands_mage,3,21,0,ginseng,1,light_fox_fur,10,,,,,archive-spells-mage
erupt_mage,3,22,0,acorn,50,topaz,2,,,,,archive-spells-mage
mend_wounds_mage,3,23,0,bears_liver,5,ginseng,1,,,,,archive-spells-mage
valor_mage,3,23,150,antler,10,snake_meat,20,,,,,archive-spells-mage
ion_mage,3,26,0,gold_acorn,1,topaz,1,,,,,archive-spells-mage
relief_mage,3,28,250,gold_acorn,1,mountain_ginseng,1,snake_meat,10,,,archive-spells-mage
purge_mage,3,30,150,antler,10,gold_acorn,1,mountain_ginseng,1,,,archive-spells-mage
summon_spell,3,30,50,acorn,80,snake_meat,10,,,,,archive-spells-mage
ion_charge_mage,3,32,150,gold_acorn,1,light_fox_fur,25,moon_wine,1,,,archive-spells-mage
recover_mage,3,32,200,antler,20,ginseng,1,gold_acorn,1,,,archive-spells-mage
cure_paralysis_mage,3,36,150,gold_acorn,1,mountain_ginseng,1,,,,,archive-spells-mage
sanctuary_mage,3,38,250,ancient_robes,1,battle_helm,1,gold_acorn,1,,,archive-spells-mage
invoke_mage,3,39,250,book,1,fine_snake_meat,5,ink,1,,,archive-spells-mage
gangrel_mage,3,40,200,acorn,50,fox_fur,1,,,,,archive-spells-mage
heal_mage,3,40,100,bears_liver,10,gold_acorn,1,mountain_ginseng,1,,,archive-spells-mage
mentor,3,40,1000,deaths_head,1,,,,,,,archive-spells-mage
impact_mage,3,41,250,amethyst,1,gold_acorn,1,,,,,archive-spells-mage
explode_mage,3,42,100,acorn,100,fox_fur,10,,,,,archive-spells-mage
remove_curse_mage,3,44,200,fox_fur,10,gold_acorn,1,,,,,archive-spells-mage
beast_mage,3,50,100,acorn,70,,,,,,,archive-spells-mage
call_lightning_mage,3,54,500,gold_acorn,1,tao_stone,1,,,,,archive-spells-mage
vex_mage,3,55,250,acorn,70,lucky_coin,1,,,,,archive-spells-mage
venom_mage,3,59,500,fine_snake_meat,3,mountain_ginseng,1,snake_meat,10,,,archive-spells-mage
blind_mage,3,61,400,amber,2,dark_amber,1,,,,,archive-spells-mage
paralyze_mage,3,62,500,ambrosia,1,antler,20,,,,,archive-spells-mage
electrocute_mage,3,64,500,acorn,70,amber,1,,,,,archive-spells-mage
confuse_mage,3,65,600,amber,2,deaths_head,1,,,,,archive-spells-mage
sleep_mage,3,70,0,dark_amber,10,fox_blade,1,,,,,archive-spells-mage
stormstrike_mage,3,77,2500,dark_amber,3,steel_saber,1,,,,,archive-spells-mage
doze_mage,3,82,0,dark_amber,5,fox_blade,1,,,,,archive-spells-mage
tempest_mage,3,85,2000,dark_amber,2,gold_acorn,3,,,,,archive-spells-mage
rejuvenate_mage,3,90,10000,mountain_ginseng,2,,,,,,,archive-spells-mage
share_wisdom,3,90,100000,,,,,,,,,archive-spells-mage
hellfire_mage,3,99,9000,dark_amber,10,stardrop,10,star_staff,1,,,archive-spells-mage
gateway,2,5,0,rabbit_meat,10,acorn,10,,,,,archive-spells-rogue
feral_rogue,2,10,100,rabbit_meat,10,acorn,50,,,,,archive-spells-rogue
fleshspeak_rogue,2,11,40,acorn,70,,,,,,,archive-spells-rogue
might_rogue,2,15,100,acorn,50,snake_meat,20,,,,,archive-spells-rogue
judge_rogue,2,17,150,acorn,70,snake_meat,30,,,,,archive-spells-rogue
singe_rogue,2,18,200,acorn,30,topaz,1,,,,,archive-spells-rogue
mend_wounds_rogue,2,20,100,acorn,50,,,,,,,archive-spells-rogue
ignite_rogue,2,24,200,acorn,30,light_fox_fur,1,topaz,2,,,archive-spells-rogue
shadow_figure_rogue,2,24,200,acorn,100,red_fox_fur,10,,,,,archive-spells-rogue
rodent_rogue,2,25,100,rabbit_meat,10,acorn,80,,,,,archive-spells-rogue
set_trap,2,26,500,fine_rabbit_meat,2,,,,,,,archive-spells-rogue
set_dart_trap,2,26,0,,,,,,,,,archive-spells-rogue
spy_rogue,2,28,200,acorn,100,red_fox_fur,15,,,,,archive-spells-rogue
wolfs_fury_rogue,2,30,300,acorn,150,light_fox_fur,20,,,,,archive-spells-rogue
set_flash_trap,2,33,0,,,,,,,,,archive-spells-rogue
gangrel_rogue,2,33,100,acorn,80,fox_fur,10,,,,,archive-spells-rogue
invisible_rogue,2,34,0,fox_tail,1,topaz,1,,,,,archive-spells-rogue
approach_spell,2,35,100,acorn,100,fox_fur,10,,,,,archive-spells-rogue
ambush_rogue,2,38,400,acorn,180,fox_blade,1,,,,,archive-spells-rogue
mentor,2,40,1000,moonblade,1,,,,,,,archive-spells-rogue
beast_rogue,2,40,100,acorn,80,bears_liver,20,,,,,archive-spells-rogue
amnesia_rogue,2,43,1200,acorn,50,fox_fur,20,lucky_coin,1,,,archive-spells-rogue
set_repeating_dart_trap,2,44,0,,,,,,,,,archive-spells-rogue
return_spell,2,45,100,acorn,100,,,,,,,archive-spells-rogue
recover_rogue,2,48,300,acorn,100,mountain_ginseng,1,,,,,archive-spells-rogue
desperate_attack_rogue,2,50,500,acorn,50,amethyst,2,steel_saber,1,,,archive-spells-rogue
summon_spell,2,53,500,acorn,100,,,,,,,archive-spells-rogue
snare,2,55,0,,,,,,,,,archive-spells-rogue
tigers_fury_rogue,2,56,1000,acorn,180,lucky_coin,1,moonblade,1,,,archive-spells-rogue
filch_rogue,2,65,2000,acorn,130,steel_sword,1,,,,,archive-spells-rogue
set_spear_trap,2,66,0,,,,,,,,,archive-spells-rogue
set_poison_dart_trap,2,77,0,,,,,,,,,archive-spells-rogue
drain_rogue,2,80,5000,acorn,190,dark_amber,10,,,,,archive-spells-rogue
set_death_trap,2,88,0,,,,,,,,,archive-spells-rogue
seal_wounds_rogue,2,90,25000,,,,,,,,,archive-spells-rogue
set_sleep_trap,2,99,0,,,,,,,,,archive-spells-rogue
lethal_strike_rogue,2,99,5000,deaths_head,1,whisper_bracelet,1,titanium_glove,1,,,archive-spells-rogue
soothe,4,6,0,acorn,5,rabbit_meat,5,,,,,archive-spells-poet
gateway,4,5,0,acorn,10,rabbit_meat,10,,,,,archive-spells-poet
invoke_poet,4,7,0,ink,1,wine,1,,,,,archive-spells-poet
lay_hands_poet,4,7,0,acorn,20,rabbit_meat,10,,,,,archive-spells-poet
spark_poet,4,8,0,acorn,20,rabbit_meat,10,,,,,archive-spells-poet
recover_poet,4,9,100,aged_wine,1,,,,,,,archive-spells-poet
propose,4,11,1000,,,,,,,,,archive-spells-poet
purge_poet,4,12,100,snake_meat,10,wine,1,,,,,archive-spells-poet
harden_armor_poet,4,14,10,ancient_armor,1,snake_meat,20,,,,,archive-spells-poet
