key,level
wolfs_fury_warrior,7
wolfs_fury_rogue,34
tigers_fury_warrior,24
tigers_fury_rogue,56
dragons_fury_warrior,45
baekhos_rage_rogue,99
invisible_rogue,30
spirits_form_rogue,30
lifes_cloak_rogue,30
glass_form_rogue,30
lethal_strike_rogue,63
afterlifes_embrace_rogue,63
mingkens_judgement_rogue,63
calculating_blow_rogue,63
desperate_attack_rogue,45
the_voids_measure_rogue,45
beastly_frenzy_rogue,45
tilting_the_balance_rogue,45
berserk_warrior,40
no_fear_warrior,40
tigers_pounce_warrior,40
winds_blast_warrior,40
whirlwind_warrior,63
deaths_angel_warrior,63
natures_own_warrior,63
bladedance_warrior,63
draw_energy_poet,35
harness_power_poet,35
combine_focus_poet,35
inspiration_poet,35
inspire_poet,45
share_energy_poet,45
bestow_power_poet,45
release_focus_poet,45
dispell_poet,88
remove_magic_poet,88
return_natural_poet,88
restore_balance_poet,88
resurrect_poet,99
return_spirit_poet,99
mingken_blessing_poet,99
death_undone_poet,99
race_rogue,99
spiritual_jump_rogue,99
leap_of_faith_rogue,99
transport_rogue,99
enchant_warrior,28
spiritual_aid_warrior,28
oneness_warrior,28
strengthen_weapon_warrior,28
infuse_warrior,55
tincture_of_the_unknown_warrior,55
tigers_claw_warrior,55
whetstone_warrior,55
ingress_warrior,70
hand_of_darkness_warrior,70
dragons_claw_warrior,70
razors_edge_warrior,70
vipers_venom_warrior,99
dragons_flame_warrior,99
tigers_fortitude_rogue,99
baekhos_blade_rogue,99
filch_rogue,65
spirits_hand_rogue,65
quick_fingers_rogue,65
light_touch_rogue,65
judge_rogue,17
spiritual_advisor_rogue,17
natural_talent_rogue,17
appraise_rogue,17
spy_rogue,28
spiritual_guide_rogue,28
natures_handiwork_rogue,28
judgement_day_rogue,28
set_dart_trap,26
set_snare_trap,33
set_repeating_dart_trap,44
set_flash_trap,55
set_spear_trap,66
set_poison_dart_trap,77
set_death_trap,88
set_sleep_trap,99
cotw_caterpillar_poet,68
kwisin_companion_poet,68
mingken_companion_poet,68
ohaeng_companion_poet,68
cotw_fluffy_dog_poet,72
kwisin_assistant_poet,72
mingken_assistant_poet,72
ohaeng_assistant_poet,72
cotw_panda_bear_poet,81
kwisin_protector_poet,81
mingken_protector_poet,81
ohaeng_protector_poet,81
cotw_wild_monkey_poet,90
kwisin_fighter_poet,90
mingken_fighter_poet,90
ohaeng_fighter_poet,90
cotw_gorilla_poet,99
kwisin_warrior_poet,99
mingken_warrior_poet,99
ohaeng_warrior_poet,99
cotw_wind_dancer_poet,99
kwisin_champion_poet,99
mingken_champion_poet,99
ohaeng_champion_poet,99
cotw_wind_warrior_poet,99
kwisin_avatar_poet,99
mingken_avatar_poet,99
ohaeng_avatar_poet,99
feral_rogue,10
kwisin_cloak_rogue,10
mingken_cloak_rogue,10
ohaeng_cloak_rogue,10
rodent_rogue,25
kwisin_disguise_rogue,25
mingken_disguise_rogue,25
ohaeng_disguise_rogue,25
gangrel_rogue,33
kwisin_mask_rogue,33
mingken_mask_rogue,33
ohaeng_mask_rogue,33
beast_rogue,40
kwisin_chameleon_rogue,40
mingken_chameleon_rogue,40
ohaeng_chameleon_rogue,40
gangrel_mage,40
kwisin_mask_mage,40
mingken_mask_mage,40
ohaeng_mask_mage,40
beast_mage,50
kwisin_chameleon_mage,50
mingken_chameleon_mage,50
ohaeng_chameleon_mage,50
dagger_uniform,1
chongun_uniform,99
marketer_guise,33
wilderness_guise,99
druids_rodent,33
set_bladestorm_trap,99
set_swords_dance_trap,99
set_tigers_ambush_trap,99
set_cutting_edge_trap,99
