key,rage,enchantAmt,enchantMana
wolfs_fury_warrior,2,,
wolfs_fury_rogue,2,,
tigers_fury_warrior,3,,
tigers_fury_rogue,3,,
dragons_fury_warrior,4,,
baekhos_rage_rogue,5,,
enchant_warrior,,1.2,60
spiritual_aid_warrior,,1.2,60
oneness_warrior,,1.2,60
strengthen_weapon_warrior,,1.2,60
infuse_warrior,,2,90
tincture_of_the_unknown_warrior,,2,90
tigers_claw_warrior,,2,90
whetstone_warrior,,2,90
ingress_warrior,,3,90
hand_of_darkness_warrior,,3,90
dragons_claw_warrior,,3,90
razors_edge_warrior,,3,90
vipers_venom_warrior,,4,5000
dragons_flame_warrior,,6,10000
tigers_fortitude_rogue,,1.5,0
baekhos_blade_rogue,,2.25,6000
