MobId,Identifier,Description,MobLook,MobLookColor,Vita,Exp,Level,Might,Grace,Will,MinDmg,MaxDmg,MobMoveTime,MobBehavior,MobIsBoss,MobProtection,MobHit,MobArmor,Sources
0,test,test,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,
1,rabbit,Rabbit,125,11,10,5,1,0,0,0,1,1,3000,0,0,0,0,100,MobLook=live-obs-brian
2,squirrel,Squirrel,25,9,18,10,2,0,0,0,1,3,3000,0,0,0,0,100,
3,deer,Deer,89,5,300,50,5,0,5,5,6,10,3000,0,0,0,0,80,
4,doe,Doe,88,5,300,50,5,0,5,5,5,8,3000,0,0,0,0,80,
5,plain_monkey,Plain monkey,126,5,4400,7000,32,0,32,32,40,100,2000,1,0,0,32,70,
6,white_rabbit,White Rabbit,125,29,10,5,1,0,0,0,1,1,2000,0,0,0,0,100,MobLook=live-2026-07-26-wrabbit
7,blue_rooster,Blue rooster,28,24,3750000,0,1,0,0,0,0,0,500,0,0,0,0,-5,
8,horse,Horse,17,35,1000,640,25,0,25,25,15,30,2000,0,0,0,0,40,
9,wolf,Wolf,23,10,1200,640,30,0,30,30,10,45,2000,0,0,0,0,45,
10,rat,Rat,91,10,100,25,1,0,0,0,2,5,2000,0,0,0,0,90,
11,cat,Cat,182,30,400,90,15,0,15,15,7,11,2000,0,0,0,0,80,
12,sly_monkey,Sly monkey,126,7,1430,16000,32,0,32,32,75,140,2000,1,0,0,32,75,
13,spry_monkey,Spry monkey,126,16,2000,20000,32,0,32,32,80,150,2000,1,0,0,32,60,
14,ugly_monkey,Ugly monkey,127,24,2150,23000,32,0,32,32,100,220,2000,1,0,0,32,70,
15,mythic_mouse,Mythic mouse,120,13,2430,35000,53,0,53,53,115,175,2000,1,0,1,53,-10,
16,vile_rat,Vile rat,90,10,3550,100000,53,0,53,53,180,300,2000,1,0,1,53,-10,
17,blood_rat,Blood rat,91,31,4800,145000,53,0,53,53,200,375,2000,1,0,2,53,-20,
18,killer_rat,Killer rat,90,21,4950,190000,53,0,53,53,225,350,2000,1,0,2,53,-20,
19,large_bull,Large bull,27,3,6730,205000,67,0,67,67,550,850,2000,1,0,2,47,-20,
20,raging_bull,Raging bull,27,31,10690,320000,67,0,67,67,500,800,2000,1,0,2,57,-25,
21,charging_ox,Charging ox,152,30,9950,440000,67,0,67,67,600,900,2000,1,0,2,67,-20,
22,stubborn_piglet,Stubborn piglet,20,1,8320,240000,74,0,74,74,700,900,2000,1,0,3,74,-30,
23,stubborn_pig,Stubborn pig,19,6,11970,290000,74,0,74,74,800,1000,2000,1,0,3,74,-30,
24,fat_pig,Fat pig,122,13,19140,480000,74,0,74,74,850,1250,2000,1,0,4,74,-40,
25,stubborn_warthog,Stubborn warthog,153,12,12530,530000,74,0,74,74,900,1300,2000,1,0,5,74,-50,
26,fierce_dog,Fierce dog,18,11,970,15000,39,0,39,39,125,200,1250,1,0,0,39,7,
27,fighting_dog,Fighting dog,95,28,1850,32000,39,0,39,39,125,200,1250,1,0,0,39,0,
28,mad_dog,Mad dog,95,30,2250,40000,39,0,39,39,140,215,1250,1,0,0,75,-5,
29,pale_dog,Pale dog,18,13,4940,75000,39,0,39,39,210,350,1250,1,0,0,39,0,
30,black_chick,Black chick,121,28,1800,30000,46,0,46,46,150,225,2000,1,0,0,6,0,
31,wild_chicken,Wild chicken,28,29,2700,48000,46,0,46,46,200,310,2000,1,0,0,16,0,
32,wild_rooster,Wild rooster,124,29,3850,71000,46,0,46,46,240,350,2000,1,0,0,46,-5,
33,radiant_chick,Radiant chick,121,24,2350,80000,46,0,46,46,240,350,2000,1,0,1,36,-15,
34,plain_snake,Plain snake,26,5,9200,400000,81,0,81,81,1100,1300,2000,1,0,3,81,-40,
35,blood_snake,Blood snake,184,31,9600,580000,81,0,81,81,1200,1400,2000,1,0,3,81,-45,
36,radiant_snake,Radiant snake,33,17,12200,600000,81,0,81,81,1200,1400,2000,1,0,3,81,-45,
37,fire_snake,Fire snake,184,25,15000,710000,81,0,81,81,1500,2100,2000,1,0,3,81,-40,
38,wild_horse,Wild horse,17,21,5850,170000,60,0,60,60,350,450,2000,1,0,1,60,-15,
39,skilled_horse,Skilled horse,17,12,7560,220000,60,0,60,60,400,600,2000,1,0,2,60,-20,
40,elite_horse,Elite horse,17,21,10550,280000,60,0,60,60,400,600,2000,1,0,3,60,-30,
41,horse_guardsman,Horse guardsman,134,11,10750,340000,60,0,60,60,550,750,2000,1,0,2,60,-20,
42,mountain_wolf,Mountain wolf,23,10,65,60,10,0,10,10,5,9,2000,0,0,0,10,80,
43,drake,Drake,108,22,19850,1350000,99,0,99,99,5500,6500,1000,1,0,3,75,-55,
44,dragon_hatchling,Dragon hatchling,108,20,22700,1450000,99,0,99,99,2500,3500,1000,1,0,3,75,-57,
45,young_dragon,Young dragon,108,30,23150,1600000,99,0,99,99,3900,4900,1000,1,0,3,75,-57,
46,fierce_sheep,Fierce Sheep,173,4,9150,590000,88,0,88,88,1300,1500,3000,1,0,3,88,-45,
47,ugly_sheep,Ugly Sheep,173,23,17000,840000,88,0,88,88,1400,1600,3000,1,0,3,88,-50,
48,ice_beast,Ice Beast,158,24,2000,0,20,0,0,0,300,300,2000,1,0,0,75,0,
49,mouse,Mouse,90,10,11,25,5,0,0,0,2,3,2000,0,0,0,0,95,
50,white_rat,White rat,91,11,22,25,5,0,5,5,2,5,2000,1,0,0,5,90,
51,centipede,Centipede,32,5,6,30,1,0,0,0,5,10,2000,1,0,0,0,0,
52,fierce_mouse,Fierce mouse,90,23,100,100,6,0,6,6,5,8,2000,1,0,0,6,85,
53,bat,Bat,105,10,150,150,6,0,0,0,5,8,2000,1,0,0,6,65,
54,big_bat,Big bat,105,12,490,500,6,0,6,6,8,12,2000,1,0,0,6,75,
55,big_rat,Big rat,91,10,490,500,6,0,6,6,8,12,2000,1,0,0,6,80,
56,museum_silver_squirrel,Silver squirrel,25,29,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
57,museum_golden_rabbit,Golden rabbit,125,30,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
58,museum_fiery_leach,Fiery leach,114,16,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
