key,class,archetype,mana,amountExpr,pcalign,buffStat,buffAmt,durationMs,debuff,chance,cureCat,healthCost,animation,sound,action,aether
death_save,baseFunc,Utility,,,,,,,,,,,,,,
kawlanas_guard,baseFunc,Utility,,,,,,,,,,,,,,
pvp_balance,baseFunc,Buff,,,,,,,,,,,2,,,
wisdom_star,baseFunc,Utility,,,,,,,,,,,,,,
fascinate,dog,Buff,210,,,,,,,,,,39,34,6,3000
fissure,dog,Damage,0,250,34,,,,,,,,,,6,
greater_blessing,dog,Buff,60,,,hit,4,625000,,,blessings,,2,4,6,
lava_surge,dog,Damage,0,400,35,,,,,,,,,,6,
serpents_fury,dog,Buff,800,,,,,625000,,,,,11,4,6,25000
spirit_fury,dog,Buff,500,,,,,625000,,,furies,,11,4,6,
spot_traps,dog,Utility,100,,,,,,,,,,,0,6,6000
survive,dog,Heal,600,,,,,,,,,,5,22,6,5000
blade_crawl,GM,ManaBattery,,,,,,,,,,,,84,1,
huge_swirl,GM,Utility,,,,,,,,,,,,,,
dnd,GM,Buff,,,,,,0,,,,,,,,
follow,GM,Debuff,,,,,,60000,slow,,,,,,,
furious_charge,GM,Damage,,,,,,,,,,,396,247,1,24000
gm_dispell,GM,Utility,,,,,,,,,,,10,34,6,
gm_push,GM,Utility,,,,,,,,,,,,10,3,
gm_res,GM,Utility,,,,,,,,,,,427,112,6,
gm_sage,GM,Utility,,,,,,,,,,,,,,
summon_healing_totem,GM,Summon,500,,,,,,,,,,,,,120000
healing_totem_aura,GM,Buff,,,,,,,,,,,519,,,
inspect_mob_gm,GM,Utility,,,,,,,,,,,,,,
instance_ambush,GM,Teleport,,,,,,,,,,,,,,
killmobs,GM,Utility,,,,,,,,,,,153,,,
lokis_favor,GM,Buff,,,,,,9999999,,,,,,,,
mass_res,GM,Utility,,,,,,,,,,,,,,
ninja_disguise,GM,Buff,,,,,,30000,,,,,,,,
ninja_swap,GM,Debuff,,,,,,0,slow,,,,,,,
snake_spell,GM,Debuff,,,,,,,slow,,,,,,,
spin,GM,Debuff,,,,,,,slow,,,,,,,
approach,GM,Teleport,,,,,,,,,,,,,,
summon,GM,Teleport,,,,,,,,,,,,,,5000
super_saiyan,GM,Buff,,,,,,1,,,,,241,,,
wind_walk,GM,Buff,,,,,,60000,,,,,,,,
experience_shrine_spell,instance,Buff,,,,,,600000,,,,,3,,,
health_shrine_spell,instance,Buff,,,,,,300000,,,,,3,,,
magic_shrine_spell,instance,Buff,,,,,,300000,,,,,3,,,
beast_mage,mage,Buff,30,,,,,,,,morphs,,12,,,
kwisin_chameleon_mage,mage,Buff,,,,,,,,,morphs,,12,,,
mingken_chameleon_mage,mage,Buff,,,,,,,,,morphs,,12,,,
ohaeng_chameleon_mage,mage,Buff,,,,,,,,,morphs,,12,,,
bekyuns_heal_mage,mage,Heal,1200,4000,0,,,,,,,,,,,
death_denied_mage,mage,Heal,1200,4000,1,,,,,,,,,,,
one_with_life_mage,mage,Heal,1200,4000,2,,,,,,,,,,,
balanced_touch_mage,mage,Heal,1200,4000,3,,,,,,,,,,,
blind_mage,mage,Debuff,90,,,,,,blind,,,,75,70,6,
dark_veil_mage,mage,Debuff,90,,,,,,blind,,,,136,70,6,
winters_shadow_mage,mage,Debuff,90,,,,,,blind,,,,123,70,6,
ice_glare_mage,mage,Debuff,90,,,,,,blind,,,,52,70,6,
call_lightning_mage,mage,Damage,120,150 + (player.level * 3) + math.floor(((player.will + 1) / 2) * 3),0,,,,,,,,,,,
death_scream_mage,mage,Damage,120,150 + (player.level * 3) + math.floor(((player.will + 1) / 2) * 3),1,,,,,,,,,,,
natures_wounding_mage,mage,Damage,120,150 + (player.level * 3) + math.floor(((player.will + 1) / 2) * 3),0,,,,,,,,,,,
rain_of_fire_mage,mage,Damage,120,150 + (player.level * 3) + math.floor(((player.will + 1) / 2) * 3),0,,,,,,,,,,,
confuse_mage,mage,Debuff,30,,,,,20000,slow,,,,39,,6,
curse_of_the_void_mage,mage,Debuff,30,,,,,20000,slow,,,,39,,6,
despise_friend_mage,mage,Debuff,30,,,,,20000,slow,,,,39,,6,
chaos_rain_mage,mage,Debuff,30,,,,,20000,slow,,,,39,,6,
cure_paralysis_mage,mage,Cure,60,,,,,,,,paras,,10,10,6,
release_binds_mage,mage,Cure,60,,,,,,,,paras,,70,10,6,
return_movement_mage,mage,Cure,60,,,,,,,,paras,,57,10,6,
free_movement_mage,mage,Cure,60,,,,,,,,paras,,108,10,6,
