id,name,xs,ys
0,Kugnae,220,220
2,Walsuk Tavern,30,14
3,Beard Smith,17,11
4,NPC Chamber,12,12
5,Cuti Seams,12,12
6,Cry Seams,12,12
7,Redcap Message,12,12
8,Dusk Shaman,10,10
9,Dawn Shaman,10,10
10,Lotus Chapel,18,16
11,Warrior Tebaek,18,24
12,Tebaek Sanctum,12,20
13,Mage Haedu,18,24
14,Haedu Sanctum,12,20
15,Rogue Maro,18,24
16,Maro Sanctum,12,20
17,Poet Jinsun,18,24
18,Jinsun Sanctum,12,20
19,Sunset Weaver,12,20
20,Stoney Goh,14,14
21,Left stone Board,23,25
22,Right stone Board,23,25
24,Kugnae Donjon,12,12
27,Gen Sanctum,15,15
28,Baegil Shop,12,12
29,Baegi Shop,12,12
30,Baek Shop,12,12
31,Tower Arena,22,22
32,Yusa Arena,33,33
33,Stone Valley Arena,33,33
34,Buchi Shop,12,12
35,Yusa Pit,16,16
36,IronHeart\'s Home,12,12
37,Bamboo Tavern,30,14
38,Ginger Tavern,30,14
41,Mythic Nexus,60,60
42,Home of Ugh,12,12
43,Suni Butcher,12,12
44,Mythic Gateway,25,19
45,Divine Gateway,25,19
46,Spirit Gateway,25,19
47,Jail Exit,3,5
50,Cat\'s Delight,30,20
51,Cat\'s Fright,20,20
52,Bat Cave,10,30
53,Rat Maze,20,20
54,Rat Den,24,18
55,Bats and Rats,20,20
56,Worm Pits,20,26
57,Muddy Delta,20,20
58,Golden Soil,20,16
59,EarthWorks,20,20
60,Ringworm,26,22
61,Tremor,30,20
62,Snake Coil,30,26
63,Snake Food,20,24
64,Dugout Cave,30,30
65,Chamber Den,32,32
66,Bear Corridor,28,28
67,Black Paw Cave,30,30
68,Mother Den,28,28
69,Gingko Tunnel,30,30
70,Fox Crossroads,30,30
71,Coal Cells,30,30
72,Green Pastures,30,30
73,*Fire Den,30,30
74,Misplaced Roost,30,30
75,*Greener Pastures,30,30
76,*Fox Gauntlet,30,30
77,*Dark Den,30,30
78,*Buck Bridge,30,30
79,Fox Plateau,30,24
80,Serene Valley,30,30
81,Sparse Grazing,28,28
82,Hare Glen,24,30
83,Rock Forest,30,30
