MobId,Identifier,Description,MobLook,MobLookColor,Vita,Exp,Level,Might,Grace,Will,MinDmg,MaxDmg,MobMoveTime,MobBehavior,MobIsBoss,MobProtection,MobHit,MobArmor,Sources
0,test,test,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,
1,rabbit,Rabbit,125,11,10,5,1,0,0,0,1,1,3000,0,0,0,0,100,MobLook=live-obs-brian;MobArmor=rtk-db-restored;live-verified-spark
2,squirrel,Squirrel,25,9,18,10,2,0,0,0,1,3,3000,0,0,0,0,100,
3,deer,Deer,89,5,300,50,5,0,5,5,6,10,3000,0,0,0,0,80,MobArmor=rtk-db-restored;live-verified-spark
4,doe,Doe,88,5,300,50,5,0,5,5,5,8,3000,0,0,0,0,80,MobArmor=rtk-db-restored;live-verified-spark
5,plain_monkey,Plain monkey,126,5,4400,7000,32,0,32,32,40,100,2000,1,0,0,32,70,
6,white_rabbit,White Rabbit,125,29,10,5,1,0,0,0,1,1,2000,0,0,0,0,100,MobLook=live-2026-07-26-wrabbit
7,blue_rooster,Blue rooster,28,24,3750000,0,1,0,0,0,0,0,500,0,0,0,0,-5,
8,horse,Horse,17,35,1000,640,25,0,25,25,15,30,2000,0,0,0,0,40,
9,wolf,Wolf,23,10,1200,640,30,0,30,30,10,45,2000,0,0,0,0,45,
10,rat,Rat,91,10,100,25,1,0,0,0,2,5,2000,0,0,0,0,90,
11,cat,Cat,182,30,400,90,15,0,15,15,7,11,2000,0,0,0,0,80,MobArmor=rtk-db-restored;live-verified-spark
12,sly_monkey,Sly monkey,126,7,7150,16000,32,0,32,32,75,140,2000,1,0,0,32,75,Vita=rtk-db-restored(un-div5)
13,spry_monkey,Spry monkey,126,16,10000,20000,32,0,32,32,80,150,2000,1,0,0,32,60,Vita=rtk-db-restored(un-div5)
14,ugly_monkey,Ugly monkey,127,24,10750,23000,32,0,32,32,100,220,2000,1,0,0,32,70,Vita=rtk-db-restored(un-div5)
15,mythic_mouse,Mythic mouse,120,13,12150,35000,53,0,53,53,115,175,2000,1,0,1,53,-10,Vita=rtk-db-restored(un-div5)
16,vile_rat,Vile rat,90,10,17750,100000,53,0,53,53,180,300,2000,1,0,1,53,-10,Vita=rtk-db-restored(un-div5)
17,blood_rat,Blood rat,91,31,24000,145000,53,0,53,53,200,375,2000,1,0,2,53,-20,Vita=rtk-db-restored(un-div5)
18,killer_rat,Killer rat,90,21,24750,190000,53,0,53,53,225,350,2000,1,0,2,53,-20,Vita=rtk-db-restored(un-div5)
19,large_bull,Large bull,27,3,33650,205000,67,0,67,67,550,850,2000,1,0,2,47,-20,Vita=rtk-db-restored(un-div5)
20,raging_bull,Raging bull,27,31,53450,320000,67,0,67,67,500,800,2000,1,0,2,57,-25,Vita=rtk-db-restored(un-div5)
21,charging_ox,Charging ox,152,30,49750,440000,67,0,67,67,600,900,2000,1,0,2,67,-20,Vita=rtk-db-restored(un-div5)
22,stubborn_piglet,Stubborn piglet,20,1,41600,240000,74,0,74,74,700,900,2000,1,0,3,74,-30,Vita=rtk-db-restored(un-div5)
23,stubborn_pig,Stubborn pig,19,6,59850,290000,74,0,74,74,800,1000,2000,1,0,3,74,-30,Vita=rtk-db-restored(un-div5)
24,fat_pig,Fat pig,122,13,95700,480000,74,0,74,74,850,1250,2000,1,0,4,74,-40,Vita=rtk-db-restored(un-div5)
25,stubborn_warthog,Stubborn warthog,153,12,62650,530000,74,0,74,74,900,1300,2000,1,0,5,74,-50,Vita=rtk-db-restored(un-div5)
26,fierce_dog,Fierce dog,18,11,4850,15000,39,0,39,39,125,200,1250,1,0,0,39,7,Vita=rtk-db-restored(un-div5)
27,fighting_dog,Fighting dog,95,28,9250,32000,39,0,39,39,125,200,1250,1,0,0,39,0,Vita=rtk-db-restored(un-div5)
28,mad_dog,Mad dog,95,30,11250,40000,39,0,39,39,140,215,1250,1,0,0,75,-5,Vita=rtk-db-restored(un-div5)
29,pale_dog,Pale dog,18,13,24700,75000,39,0,39,39,210,350,1250,1,0,0,39,0,Vita=rtk-db-restored(un-div5)
30,black_chick,Black chick,121,28,9000,30000,46,0,46,46,150,225,2000,1,0,0,6,0,Vita=rtk-db-restored(un-div5)
31,wild_chicken,Wild chicken,28,29,13500,48000,46,0,46,46,200,310,2000,1,0,0,16,0,Vita=rtk-db-restored(un-div5)
32,wild_rooster,Wild rooster,124,29,19250,71000,46,0,46,46,240,350,2000,1,0,0,46,-5,Vita=rtk-db-restored(un-div5)
33,radiant_chick,Radiant chick,121,24,11750,80000,46,0,46,46,240,350,2000,1,0,1,36,-15,Vita=rtk-db-restored(un-div5)
34,plain_snake,Plain snake,26,5,46000,400000,81,0,81,81,1100,1300,2000,1,0,3,81,-40,Vita=rtk-db-restored(un-div5)
35,blood_snake,Blood snake,184,31,48000,580000,81,0,81,81,1200,1400,2000,1,0,3,81,-45,Vita=rtk-db-restored(un-div5)
36,radiant_snake,Radiant snake,33,17,61000,600000,81,0,81,81,1200,1400,2000,1,0,3,81,-45,Vita=rtk-db-restored(un-div5)
37,fire_snake,Fire snake,184,25,75000,710000,81,0,81,81,1500,2100,2000,1,0,3,81,-40,Vita=rtk-db-restored(un-div5)
38,wild_horse,Wild horse,17,21,29250,170000,60,0,60,60,350,450,2000,1,0,1,60,-15,Vita=rtk-db-restored(un-div5)
39,skilled_horse,Skilled horse,17,12,37800,220000,60,0,60,60,400,600,2000,1,0,2,60,-20,Vita=rtk-db-restored(un-div5)
40,elite_horse,Elite horse,17,21,52750,280000,60,0,60,60,400,600,2000,1,0,3,60,-30,Vita=rtk-db-restored(un-div5)
41,horse_guardsman,Horse guardsman,134,11,53750,340000,60,0,60,60,550,750,2000,1,0,2,60,-20,Vita=rtk-db-restored(un-div5)
42,mountain_wolf,Mountain wolf,23,10,325,60,10,0,10,10,5,9,2000,0,0,0,10,80,Vita=rtk-db-restored(un-div5)
43,drake,Drake,108,22,99250,1350000,99,0,99,99,5500,6500,1000,1,0,3,75,-55,Vita=rtk-db-restored(un-div5)
44,dragon_hatchling,Dragon hatchling,108,20,113500,1450000,99,0,99,99,2500,3500,1000,1,0,3,75,-57,Vita=rtk-db-restored(un-div5)
45,young_dragon,Young dragon,108,30,115750,1600000,99,0,99,99,3900,4900,1000,1,0,3,75,-57,Vita=rtk-db-restored(un-div5)
46,fierce_sheep,Fierce Sheep,173,4,45750,590000,88,0,88,88,1300,1500,3000,1,0,3,88,-45,Vita=rtk-db-restored(un-div5)
47,ugly_sheep,Ugly Sheep,173,23,85000,840000,88,0,88,88,1400,1600,3000,1,0,3,88,-50,Vita=rtk-db-restored(un-div5)
48,ice_beast,Ice Beast,158,24,10000,0,20,0,0,0,300,300,2000,1,0,0,75,0,Vita=rtk-db-restored(un-div5)
49,mouse,Mouse,90,10,55,25,5,0,0,0,2,3,2000,0,0,0,0,95,Vita=rtk-db-restored(un-div5)
50,white_rat,White rat,91,11,110,25,5,0,5,5,2,5,2000,1,0,0,5,90,Vita=rtk-db-restored(un-div5)
51,centipede,Centipede,32,5,30,30,1,0,0,0,5,10,2000,1,0,0,0,0,Vita=rtk-db-restored(un-div5)
52,fierce_mouse,Fierce mouse,90,23,500,100,6,0,6,6,5,8,2000,1,0,0,6,85,Vita=rtk-db-restored(un-div5)
53,bat,Bat,105,10,750,150,6,0,0,0,5,8,2000,1,0,0,6,65,Vita=rtk-db-restored(un-div5)
54,big_bat,Big bat,105,12,2450,500,6,0,6,6,8,12,2000,1,0,0,6,75,Vita=rtk-db-restored(un-div5)
55,big_rat,Big rat,91,10,2450,500,6,0,6,6,8,12,2000,1,0,0,6,80,Vita=rtk-db-restored(un-div5)
56,museum_silver_squirrel,Silver squirrel,25,29,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
57,museum_golden_rabbit,Golden rabbit,125,30,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
58,museum_fiery_leach,Fiery leach,114,16,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
59,museum_sonhi_spearman,Sonhi spearman,0,21,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
60,museum_sonhi_shaman,Sonhi shaman,47,21,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
61,museum_sonhi_spirit,Sonhi spirit,167,7,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
62,museum_marsh_ogre,Marsh ogre,185,31,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
63,museum_log_ogre,Log,185,30,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
64,museum_upset_captain,Upset captain,147,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
65,museum_gut,Gut,160,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
66,museum_jujak,Ju jak,163,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
67,museum_baekho,Baekho,162,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
68,museum_hyunmoo,Hyun moo,164,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
69,museum_chungryong,Chung ryong,165,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,
70,fox,Fox,22,5,1250,320,30,0,30,30,2,28,2000,0,0,0,30,40,Vita=rtk-db-restored(un-div5)
71,sheep,Sheep,173,11,2800,400,1,0,0,0,7,10,2000,0,0,0,0,70,Vita=rtk-db-restored(un-div5)
