Tier,Key,DisplayName,Mobs,MinLevel,MaxLevel,MinStat,MaxStat,MinMark,MaxMark
Minor,squirrel,Squirrel,squirrel,0,10,0,1000000000,0,5
Minor,rabbit,Rabbit,rabbit|white_rabbit,0,15,0,1000000000,0,5
Minor,deer,Deer,deer|doe,3,15,0,1000000000,0,5
Minor,horse,Horse,horse,3,15,0,1000000000,0,5
Minor,fox,Fox,fox,5,15,0,1000000000,0,5
Minor,wolf,Wolf,wolf,5,15,0,1000000000,0,5
Minor,snake,Snake,snake,20,60,0,1000000000,0,5
Minor,bear,Bear,bear,20,60,0,1000000000,0,5
Minor,tiger,Tiger,tiger,20,60,0,1000000000,0,5
Minor,mouse,Mouse,mouse,4,20,0,1000000000,0,5
Minor,rat,Rat,rat,5,20,0,1000000000,0,5
Minor,white_rat,White rat,white_rat,5,20,0,1000000000,0,5
Minor,green_squirrel,Green Squirrel,green_squirrel,9,25,0,1000000000,0,5
Minor,mud_snake,Mud Snake,mud_snake,14,35,0,1000000000,0,5
Minor,dark_fox,Dark fox,dark_fox,20,40,0,1000000000,0,5
Minor,blood_fox,Blood fox,blood_fox,20,45,0,1000000000,0,5
Minor,lava_fox,Lava fox,lava_fox,20,50,0,1000000000,0,5
Minor,sun_fox,Sun fox,sun_fox,25,55,0,1000000000,0,5
Minor,slush_ogre,Slush ogre,slush_ogre,25,50,0,1000000000,0,5
Minor,snow_ogre,Snow ogre,snow_ogre,40,75,0,1000000000,0,5
Minor,sleet_ogre,Sleet ogre,sleet_ogre,60,95,0,1000000000,0,5
Minor,slush_king,Slush king,slush_king,25,74,0,1000000000,0,5
Minor,snow_king,Snow king,snow_king,35,100,0,14999,0,5
Minor,sleet_king,Sleet king,sleet_king,55,100,0,59999,0,5
Minor,mythic_rabbit,Mythic rabbit,golden_hare|mad_rabbit|giant_hare|golden_rabbit|mad_hare|giant_rabbit|hop|thump|fluff,25,100,0,1000000000,0,2
Minor,mythic_monkey,Mythic monkey,plain_monkey|sly_monkey|spry_monkey|ugly_monkey|simple_monkey|quick_monkey|agile_monkey|monsterous_monkey|bright_monkey|fast_monkey|spunky_monkey|diamond_monkey,32,100,0,1000000000,0,2
Minor,mythic_dog,Mythic dog,fierce_dog|fighting_dog|mad_dog|pale_dog|spotted_mutt|frothing_mutt|killer_mongrel|wolf-kin|dog_trooper|crazed_mongrel|spunky_dog|death_mongrel,39,100,0,1000000000,0,2
