MobKey,Loot,RareLoot
rabbit,rabbit_meat:1:67,
white_rabbit,rabbit_meat:1:67,
squirrel,acorn:1:50|acorn:2:33|acorn:3:15|acorn:50:1|gold_acorn:1:1,
green_squirrel,acorn:1:50|acorn:2:33|acorn:3:15|acorn:50:1|gold_acorn:1:3|green_squirrel_pelt:1:5,
deer,antler:1:50,
black_buck,antler:1:67,
snake,snake_meat:2:100,
boa,,fine_snake_meat:34|snake_meat:85
wolf,wolf_meat:1:45,
blood_wolf,wolf_meat:1:67,
bear,bear_fur:1:40,
lobster,amber:1:10,
island_lobster,seaweed:1:34|amber:1:10,
blue_rooster,amber:3:100,
sheep,wool:1:80,
golden_hare,amber:1:34|rabbit_meat:1:34,
strange_thing,,big_axe:1|crystal:75
mouse,rat_meat:1:34,
rat,rat_meat:1:34|ginseng_piece:1:17,
white_rat,rat_meat:1:34,topaz:8|mica:17
fierce_mouse,rat_meat:1:34|ginseng_piece:1:17,
big_rat,rat_meat:1:34,ginseng:10|ginseng_piece:17
bat,ginseng_piece:1:10,
big_bat,,ginseng:10|ginseng_piece:34
giant_centipede,topaz:1:25,
large_centipede,topaz:1:20,
hare,rabbit_meat:1:67,
large_hare,rabbit_meat:1:67,
red_hare,rabbit_meat:1:67,
dark_buck,antler:1:34,
albino_buck,antler:1:34|ginseng:1:10,
dark_wolf,wolf_pelt:1:15,
blood_tick,,mountain_ginseng:34|ginseng:67
giant_mantis,,mountain_ginseng:34|ginseng:67
blood_mantis,,mountain_ginseng:34|ginseng:67
wild_piglet,rare_pork:1:67,
wild_pig,rare_pork:1:67,
mud_snake,snake_meat:2:85,
mud_bull,beef:1:67,
earth_snake,viper_stick:1:5,fine_snake_meat:34|snake_meat:85
warthog,rare_pork:1:67,
raven,amber:1:15,
terrified_chicken,chicken_meat:1:67,
dark_fox,fox_fur:1:34,
blood_fox,red_fox_fur:1:34,
lava_fox,fox_fur:1:34,
sun_fox,light_fox_fur:1:34,
nine_tailed_fox,,fox_tail:25|fox_blade:75
white_wolf,amethyst:1:20,
lightning_wolf,amethyst:1:25,
man_shik_raven,dark_amber:1:7.5,
iron_panda,bears_liver:1:34|iron_key:1:2.5,
iron_tiger,iron_key:1:2.5,tiger_meat:10|tigers_heart:34
giant_iron_tiger,tigers_heart:1:45|iron_key:1:5,
gimyi,,iron_sword:75|iron_statue:50
yachi,amber:1:7.5|muddy_potion:1:5,
seki,tarnished_amber:1:10|muddy_potion:1:5,
li,dark_amber:1:5|muddy_potion:1:5|steel_dagger:1:1,
sute,sutes_key:1:100,
pale_zombie,amber:1:2.5,aqua_potion:2|muddy_potion:5
lesser_ghost,muddy_potion:1:5,dark_amber:2.5|amber:1.25
wicked_ghost,dark_amber:1:67,moonblade:34
witch,amber:1:5|aqua_potion:1:5,
witch_shaman,dark_amber:1:67,deaths_head:34
lesser_skeleton,,dark_amber:2.5|amber:4
skeleton_ju,,bone:34
skeleton_mage,,wicked_staff:75
skeleton_warrior,,maxcaliber:75
carrion_raven,amber:1:10,
giant_spider,amber:1:5,
giant_scorpion,amber:1:5,
trapdoor_spider,amber:1:7.5,hunangs_axe:10
radiant_spider,amber:1:5,
pale_scorpion,amber:1:17,
massive_scorpion,dark_amber:1:67,bekyuns_spear:34
vile_scorpion,amber:1:7.5,
radiant_scorpion,amber:1:7.5,
crimson_scorpion,dark_amber:1:67,poet_whip:75
sand_lobster,yellow_amber:1:1,
rock_lobster,yellow_amber:1:2,
golden_lobster,yellow_amber:1:100,jolt_trident:34
ogre_explorer,,dark_amber:5|tarnished_amber:17
stone_ogre,,dark_amber:5|tarnished_amber:17
forest_mantis,,dark_amber:5|tarnished_amber:17
deep_woods_mantis,GOLD:50:100|amber:1:7.5,
shadow_mantis,white_amber:1:5,star_staff:8|titanium_glove:8
dark_mantis,,white_amber:1|dark_amber:10
ghost_mantis,,dark_amber:5|tarnished_amber:17
dirt_mantis,,steelthorn:8|sen_glove:8
chtan,dark_amber:1:67,jade_diamond:8
sintu,dark_amber:1:67,forest_diamond:8
sting,,yellow_amber:20
grim_ogre,GOLD:50:100|amber:1:5,
southern_ogre,,dark_amber:5|tarnished_amber:17
hill_ogre,,dark_amber:5|tarnished_amber:17
marsh_ogre,,dark_amber:5|tarnished_amber:17
muck_ogre,,titanium_lance:8|whisper_bracelet:8
slime_ogre,,electra:8|holy_ring:8
log_ogre,hamgyong_gem_fragment:1:67,
zangze_ogre,dark_amber:1:67,lazuline_diamond:8
zinte_ogre,dark_amber:1:67,azure_diamond:8
northern_ogre,tarnished_amber:1:17,
frost_ogre,tarnished_amber:1:17,
ice_ogre,tarnished_amber:1:17,
ogre_citelam,white_amber:1:18,light_sword:10
ogre_maletic,white_amber:1:18,dark_dagger:10
ice_panther,tarnished_amber:1:15,
snow_rabbit,rabbit_meat:1:67,
arctic_deer,antler:1:34,
slush_ogre,amber:1:5,stardrop:1
snow_ogre,amber:1:5,stardrop:2.5
sleet_ogre,amber:1:5,stardrop:5
hail_ogre,amber:1:5,
flurry_ogre,amber:1:10,
blizzard_ogre,amber:1:10,
avalanche_ogre,dark_amber:1:5,
tempest_ogre,amber:1:12.5,
cyclone_ogre,amber:1:12.5,
slush_king,amber:1:67,stardrop:100
snow_king,giasomo_stick:1:34,dark_amber:34|amber:67
sleet_king,angels_tear:1:100,dark_amber:34|amber:67
hail_king,flamefang:1:34,dark_amber:34|amber:67
flurry_king,,dark_amber:34|amber:67
blizzard_king,frozen_spear:1:10,dark_amber:34|amber:67
avalanche_king,,dark_amber:34|amber:67
