SplId,SplIdentifier,SplDescription,SplType,SplPthId,SplAlignment,SplMark,SplLevel,SplQuestion,SplDispel,SplAether,SplMute,SplActive,SplCanFail,SplTicker
0,==BASEFUNCSPELLS==,==BASEFUNCSPELLS==,5,0,0,0,0,NO,0,0,0,0,1,1
1,ping,ping,5,99,-1,0,0,NO,0,0,0,1,1,1
2,wisdom_star,Wisdom star,5,99,-1,0,0,,0,0,0,1,1,1
3,duel_request,Duel request,5,99,-1,0,0,,0,0,0,1,1,1
4,refresh_spell,refresh,5,99,-1,0,0,,0,0,0,1,1,1
5,kawlanas_guard,Kawlana\'s guard,5,99,0,0,0,,0,0,0,1,1,1
6,received_fortune,Received fortune,5,99,0,0,0,,0,0,0,1,0,1
7,pvp_balance,PVP Balance,5,99,-1,0,0,,0,0,0,1,1,1
8,death_save,Death save,5,99,-1,0,0,,99,0,0,1,0,0
9,crafting_bonus,Crafting bonus,5,99,-1,0,0,,99,0,0,1,0,1
10,beach_war_respawn,Respawning in,5,99,-1,0,0,,99,0,0,1,0,1
11,love_ring_delay,love ring delay,5,99,-1,0,0,,99,0,0,1,0,0
12,,,5,5,-1,0,0,,0,0,0,1,1,1
100,==COMMONSPELLS==,==COMMONSPELLS==,5,5,0,0,0,,0,0,0,0,1,1
101,soothe,Soothe,5,0,-1,0,1,NO,0,0,0,1,0,1
102,light,Light,2,99,-1,0,1,Which target? >,0,0,0,1,0,1
103,gateway,Gateway,1,0,-1,0,1,"Which Gate(N,E,S,W)?",0,0,0,1,0,1
104,approach_spell,Approach,1,0,-1,0,25,Approach who?>,0,0,0,1,0,1
105,summon_spell,Summon,1,0,-1,0,25,Summon who?>,0,0,0,1,0,1
106,mentor,Mentor,5,0,-1,0,0,,0,0,0,1,0,1
107,tutor_warp,Tutor warp,5,99,-1,0,0,,0,0,0,1,1,1
108,fireworks,Fireworks,5,99,-1,0,0,,0,0,0,1,1,1
109,spin,Spin,2,99,-1,0,0,> Which target?,0,0,0,1,0,1
110,snake_spell,Snake,5,99,-1,0,0,,0,0,0,1,0,1
400,===Sage Spells===,===Sage Spells,5,0,0,0,0,,0,0,0,0,0,1
401,share_wisdom,Share Wisdom,1,99,0,0,0,>,0,0,0,1,0,1
402,mentors_wisdom,Mentor\'s Wisdom,1,99,0,0,0,>,0,0,0,1,0,1
403,apprentices_wisdom,Apprentice\'s Wisdom,1,99,0,0,0,>,0,0,0,1,0,1
404,adepts_wisdom,Adept\'s Wisdom,1,99,0,0,0,>,0,0,0,1,0,1
405,sages_wisdom,Sage\'s Wisdom,1,99,0,0,0,>,0,0,0,1,0,1
406,horse_spawn,Horse spawn,5,99,0,0,0,,0,0,0,0,0,1
407,spot_traps,Spot traps,5,99,0,0,0,,0,0,0,1,0,1
408,return_spell,Return,5,0,-1,0,0,,0,0,0,1,0,1
409,propose,Propose,5,99,-1,0,0,>,0,0,0,1,0,1
410,blood_oath,Blood oath,5,99,-1,0,0,>,0,0,0,1,0,1
411,dragons_form,Dragon\'s form,5,99,-1,0,0,,0,0,0,1,1,1
412,curse_protection,Curse protection,5,99,-1,0,0,,0,0,0,1,0,1
413,enthrall_charm,Enthrall,5,99,-1,0,0,,0,0,0,1,0,1
414,,,5,5,0,0,0,,0,0,0,1,1,1
415,,,5,5,0,0,0,,0,0,0,1,1,1
416,,,5,5,0,0,0,,0,0,0,1,1,1
417,,,5,5,0,0,0,,0,0,0,1,1,1
418,,,5,5,0,0,0,,0,0,0,1,1,1
419,,,5,5,0,0,0,,0,0,0,1,1,1
420,,,5,5,0,0,0,,0,0,0,1,1,1
500,===TRAPS===,===TRAPS===,5,5,0,0,0,,0,0,0,0,1,1
501,snare_trap,Snare Trap,5,99,0,0,0,,0,0,0,1,0,1
502,poison_dart_trap,Poison Dart Trap,5,99,0,0,0,,0,0,0,1,0,1
503,sleep_trap,Sleep Trap,5,99,0,0,0,,0,0,0,1,0,1
1000,==WARRIORSPELLS==,==WARRIORSPELLS==,5,5,0,0,0,,0,0,0,0,1,1
1001,taunt_warrior,Taunt,2,1,0,0,0,Which target? >,0,0,0,1,0,1
1002,anger_warrior,Anger,2,1,1,0,0,Which target? >,0,0,0,1,0,1
1003,tease_warrior,Tease,2,1,2,0,0,Which target? >,0,0,0,1,0,1
1004,mock_warrior,Mock,2,1,3,0,0,Which target? >,0,0,0,1,0,1
1005,wolfs_fury_warrior,Wolf\'s Fury,5,1,0,0,0,,0,0,0,1,0,1
1006,souls_rage_warrior,Soul\'s Rage,5,1,1,0,0,,0,0,0,1,0,1
1007,spirit_of_the_forest_warrior,Spirit of the Forest,5,1,2,0,0,,0,0,0,1,0,1
1008,augmentation_warrior,Augmentation,5,1,3,0,0,,0,0,0,1,0,1
1009,bless_warrior,Bless,5,1,0,0,0,,0,0,0,1,0,1
1010,sanctification_warrior,Sancification,5,1,1,0,0,,0,0,0,1,0,1
1011,tribal_gathering_warrior,Tribal Gathering,5,1,2,0,0,,0,0,0,1,0,1
1012,strength_of_purpose_warrior,Strength of Purpose,5,1,3,0,0,,0,0,0,1,0,1
1013,fleshspeak_warrior,Fleshspeak,2,1,0,0,0,Which target? >,0,0,0,1,0,1
1014,spiritsong_warrior,Spiritsong,2,1,1,0,0,Which target? >,0,0,0,1,0,1
1015,helping_hand_warrior,Helping Hand,2,1,2,0,0,Which target? >,0,0,0,1,0,1
1016,heal_others_warrior,Heal Others,2,1,3,0,0,Which target? >,0,0,0,1,0,1
1017,backstab_warrior,Backstab,5,1,0,0,0,,0,0,0,1,0,1
1018,back_battle_warrior,Back Battle,5,1,1,0,0,,0,0,0,1,0,1
1024,back_attack_warrior,Back Attack,5,1,2,0,0,,0,0,0,1,0,1
1025,back_damage_warrior,Back Damage,5,1,3,0,0,,0,0,0,1,0,1
1026,flank_warrior,Flank,5,1,0,0,0,,0,0,0,1,0,1
1027,flank_battle_warrior,Flank Battle,5,1,1,0,0,,0,0,0,1,0,1
1028,flank_attack_warrior,Flank Attack,5,1,2,0,0,,0,0,0,1,0,1
1029,flank_damage_warrior,Flank Damage,5,1,3,0,0,,0,0,0,1,0,1
1030,tigers_fury_warrior,Tiger\'s Fury,5,1,0,0,0,,0,0,0,1,0,1
1031,filling_the_soul_warrior,Filling the Soul,5,1,1,0,0,,0,0,0,1,0,1
1032,spirit_of_the_wild_warrior,Spirit of the Wild,5,1,2,0,0,,0,0,0,1,0,1
1033,ohaengs_grace_warrior,Ohaeng\'s Grace,5,1,3,0,0,,0,0,0,1,0,1
1034,enchant_warrior,Enchant,5,1,0,0,0,,0,0,0,1,0,1
1035,spiritual_aid_warrior,Spiritual Aid,5,1,1,0,0,,0,0,0,1,0,1
1036,oneness_warrior,Oneness,5,1,2,0,0,,0,0,0,1,0,1
1037,strengthen_weapon_warrior,Strengthen Weapon,5,1,3,0,0,,0,0,0,1,0,1
1038,relief_warrior,Relief,5,1,0,0,0,,0,0,0,1,0,1
1039,renew_essence_warrior,Renew Essence,5,1,1,0,0,,0,0,0,1,0,1
1040,lifesong_warrior,Lifesong,5,1,2,0,0,,0,0,0,1,0,1
1041,sweet_waters_warrior,Sweet Waters,5,1,3,0,0,,0,0,0,1,0,1
1042,potence_warrior,Potence,5,1,0,0,0,,0,0,0,1,0,1
1043,spirit_arm_warrior,Spirit Arm,5,1,1,0,0,,0,0,0,1,0,1
1044,touch_of_the_bear_warrior,Touch of the Bear,5,1,2,0,0,,0,0,0,1,0,1
1045,sharpen_warrior,Sharpen,5,1,3,0,0,,0,0,0,1,0,1
1046,watchful_eye_warrior,Watchful Eye,5,1,0,0,0,,0,0,0,1,0,1
1047,spirits_whisper_warrior,Spirit\'s Whisper,5,1,1,0,0,,0,0,0,1,0,1
1048,creatures_guidance_warrior,Creature\'s Guidance,5,1,2,0,0,,0,0,0,1,0,1
1049,spot_unbalance_warrior,Spot Unbalance,5,1,3,0,0,,0,0,0,1,0,1
1050,dragons_fury_warrior,Dragon\'s Fury,5,1,0,0,0,,0,0,0,1,0,1
1051,strength_of_ancestors_warrior,Strength of Ancestors,5,1,1,0,0,,0,0,0,1,0,1
1052,spirit_of_the_dragon_warrior,Spirit of the Dragon,5,1,2,0,0,,0,0,0,1,0,1
1053,ohaengs_anger_warrior,Ohaeng\'s Anger,5,1,3,0,0,,0,0,0,1,0,1
1054,infuse_warrior,Infuse,5,1,0,0,0,,0,0,0,1,0,1
1055,tincture_of_the_unknown_warrior,Tincture of the Unknown,5,1,1,0,0,,0,0,0,1,0,1
1056,tigers_claw_warrior,Tiger\'s Claw,5,1,2,0,0,,0,0,0,1,0,1
1057,whetstone_warrior,Whetstone,5,1,3,0,0,,0,0,0,1,0,1
1058,slash_warrior,Slash,5,99,-1,0,0,,0,0,0,1,0,1
1059,ingress_warrior,Ingress,5,1,0,0,0,,0,0,0,1,0,1
1060,hand_of_darkness_warrior,Hand of Darkness,5,1,1,0,0,,0,0,0,1,0,1
1061,dragons_claw_warrior,Dragon\'s Claw,5,1,2,0,0,,0,0,0,1,0,1
1062,razors_edge_warrior,Razor\'s Edge,5,1,3,0,0,,0,0,0,1,0,1
1063,feral_berserk_warrior,Feral Berserk,5,99,-1,0,0,,0,0,0,1,0,1
1064,berserk_warrior,Berserk,5,1,0,0,0,,0,0,0,1,0,1
1065,no_fear_warrior,No Fear,5,1,1,0,0,,0,0,0,1,0,1
1066,tigers_pounce_warrior,Tiger\'s Pounce,5,1,2,0,0,,0,0,0,1,0,1
1067,winds_blast_warrior,Wind\'s Blast,5,1,3,0,0,,0,0,0,1,0,1
1068,vigor_warrior,Vigor,5,1,0,0,0,,0,0,0,1,0,1
1069,touch_of_health_warrior,Touch of Health,5,1,1,0,0,,0,0,0,1,0,1
1070,balm_warrior,Balm,5,1,2,0,0,,0,0,0,1,0,1
1071,restoration_warrior,Restoration,5,1,3,0,0,,0,0,0,1,0,1
1072,whirlwind_warrior,Whirlwind,5,1,0,0,0,,0,0,0,1,0,1
1073,deaths_angel_warrior,Death\'s Angel,5,1,1,0,0,,0,0,0,1,0,1
1074,natures_own_warrior,Nature\'s Own,5,1,2,0,0,,0,0,0,1,0,1
1075,bladedance_warrior,Bladedance,5,1,3,0,0,,0,0,0,1,0,1
1076,hoche_warrior,Hoche,5,1,0,1,0,,0,0,0,1,0,1
1077,immunity_warrior,Immunity,5,1,1,1,0,,0,0,0,1,0,1
1078,forest_blessing_warrior,Forest Blessing,5,1,2,1,0,,0,0,0,1,0,1
1079,magics_shield_warrior,Magic Shield,5,1,3,1,0,,0,0,0,1,0,1
1080,salvation_warrior,Salvation,5,1,0,1,0,,0,0,0,1,0,1
1081,redemption_warrior,Redemption,5,1,1,1,0,,0,0,0,1,0,1
1082,ointment_of_light_warrior,Ointment of Light,5,1,2,1,0,,0,0,0,1,0,1
1083,return_of_life_warrior,Return of Life,5,1,3,1,0,,0,0,0,1,0,1
1084,vipers_venom_warrior,Viper\'s Venom,5,1,-1,1,0,,0,0,0,1,0,1
1085,assault_warrior,Assault,5,1,0,2,0,,0,0,0,1,0,1
1086,deaths_challenge_warrior,Death\'s Challenge,5,1,1,2,0,,0,0,0,1,0,1
1087,cold_snap_warrior,Cold Snap,5,1,2,2,0,,0,0,0,1,0,1
1088,volley_warrior,Volley,5,1,3,2,0,,0,0,0,1,0,1
1089,dragons_flame_warrior,Dragon\'s Flame,5,1,-1,2,0,,0,0,0,1,0,1
1090,hunangs_relief_warrior,Hunang\'s Relief,5,1,0,2,0,,0,0,0,1,0,1
1091,from_the_brink_warrior,From the Brink,5,1,1,2,0,,0,0,0,1,0,1
1092,natures_slave_warrior,Nature\'s Slave,5,1,2,2,0,,0,0,0,1,0,1
1093,lifes_essence_warrior,Life\'s Essence,5,1,3,2,0,,0,0,0,1,0,1
2000,==ROGUESPELLS==,==ROGUESPELLS==,5,5,0,0,0,,0,0,0,0,1,1
2001,fleshspeak_rogue,Fleshspeak,2,2,0,0,0,Which target? >,0,0,0,1,0,1
2002,spiritsong_rogue,Spiritsong,2,2,1,0,0,Which target? >,0,0,0,1,0,1
2003,helping_hand_rogue,Helping Hand,2,2,2,0,0,Which target? >,0,0,0,1,0,1
2004,heal_others_rogue,Heal Others,2,2,3,0,0,Which target? >,0,0,0,1,0,1
2005,feral_rogue,Feral,1,2,0,0,0,"Pig, Piglet, Puppy, Mongrel, or Cat Morph? >",0,0,0,1,0,1
2006,kwisin_cloak_rogue,Kwi-Sin Cloak,5,5,1,0,0,,0,0,0,1,0,1
2007,mingken_cloak_rogue,Ming-Ken Cloak,5,5,2,0,0,,0,0,0,1,0,1
2008,ohaeng_cloak_rogue,Ohaeng Cloak,5,5,3,0,0,,0,0,0,1,0,1
2009,might_rogue,Might,5,2,0,0,0,,0,0,0,1,0,1
2010,spirit_strength_rogue,Spirit Strength,5,2,1,0,0,,0,0,0,1,0,1
2011,inner_blessing_rogue,Inner Blessing,5,2,2,0,0,,0,0,0,1,0,1
2012,temper_rogue,Temper,5,2,3,0,0,,0,0,0,1,0,1
2013,judge_rogue,Judge,2,2,0,0,0,Which target? >,0,0,0,1,0,1
2014,spiritual_advisor_rogue,Spiritual Advisor,2,2,1,0,0,Which target? >,0,0,0,1,0,1
2015,natural_talent_rogue,Natural Talent,2,2,2,0,0,Which target? >,0,0,0,1,0,1
2016,appraise_rogue,Appraise,2,2,3,0,0,Which target? >,0,0,0,1,0,1
2017,singe_rogue,Singe,2,2,0,0,0,Which target? >,0,0,0,1,0,1
2018,embrace_of_the_void_rogue,Embrace of the Void,2,2,1,0,0,Which target? >,0,0,0,1,0,1
2019,lightning_rogue,Lightning,2,2,2,0,0,Which target? >,0,0,0,1,0,1
2020,natures_storm_rogue,Nature\'s Storm,2,2,3,0,0,Which target? >,0,0,0,1,0,1
2021,mend_wounds_rogue,Mend Wounds,2,2,0,0,0,Which target? >,0,0,0,1,0,1
2022,spiritual_cure_rogue,Spiritual Cure,2,2,1,0,0,Which target? >,0,0,0,1,0,1
2023,natures_kiss_rogue,Nature\'s Kiss,2,2,2,0,0,Which target? >,0,0,0,1,0,1
2024,cooling_touch_rogue,Cooling Touch,2,2,3,0,0,Which target? >,0,0,0,1,0,1
2025,ignite_rogue,Ignite,2,2,0,0,0,Which target? >,0,0,0,1,0,1
2026,spirit_strike_rogue,Spirit Strike,2,2,1,0,0,Which target? >,0,0,0,1,0,1
2027,wrath_of_nature_rogue,Wrath of Nature,2,2,2,0,0,Which target? >,0,0,0,1,0,1
2028,thunderclap_rogue,Thunderclap,2,2,3,0,0,Which target? >,0,0,0,1,0,1
2029,shadow_figure_rogue,Shadow Figure,5,2,0,0,0,,0,0,0,1,0,1
2030,spirit_warrior_rogue,Spirit Warrior,5,2,1,0,0,,0,0,0,1,0,1
2031,natural_defense_rogue,Natural Defense,5,2,2,0,0,,0,0,0,1,0,1
2032,ohaengs_armor_rogue,Ohaeng\'s Armor,5,2,3,0,0,,0,0,0,1,0,1
2033,rodent_rogue,Rodent,1,2,0,0,0,Squirrel or Rabbit? >,0,0,0,1,0,1
2034,kwisin_disguise_rogue,Kwi-Sin Disguise,5,5,1,0,0,,0,0,0,1,0,1
2035,mingken_disguise_rogue,Ming-Ken Disguise,5,5,1,0,0,,0,0,0,1,0,1
2036,ohaeng_disguise_rogue,Ohaeng Disguise,5,5,2,0,0,,0,0,0,1,0,1
2037,spy_rogue,Spy,2,2,0,0,0,Which target? >,0,0,0,1,0,1
2038,spiritual_guide_rogue,Spiritual Guide,2,2,1,0,0,Which target? >,0,0,0,1,0,1
2039,natures_handiwork_rogue,Nature\'s Handiwork,2,2,2,0,0,Which target? >,0,0,0,1,0,1
2040,judgement_day_rogue,Judgement Day,2,2,3,0,0,Which target? >,0,0,0,1,0,1
2041,wolfs_fury_rogue,Wolf\'s Fury,5,2,0,0,0,,0,0,0,1,0,1
2042,souls_rage_rogue,Soul\'s Rage,5,2,1,0,0,,0,0,0,1,0,1
2043,spirit_of_the_forest_rogue,Spirit of the Forest,5,2,2,0,0,,0,0,0,1,0,1
2044,augmentation_rogue,Augmentation,5,2,3,0,0,,0,0,0,1,0,1
2045,gangrel_rogue,Gangrel,1,2,0,0,0,Fox or Wolf? >,0,0,0,1,0,1
2046,kwisin_mask_rogue,Kwi-Sin Mask,5,2,1,0,0,,0,0,0,1,0,1
2047,mingken_mask_rogue,Ming-Ken Mask,5,2,2,0,0,,0,0,0,1,0,1
2048,ohaeng_mask_rogue,Ohaeng Mask,5,2,3,0,0,,0,0,0,1,0,1
2049,invisible_rogue,Invisible,5,2,0,0,0,,0,0,0,1,0,1
2050,spirits_form_rogue,Spirit\'s Form,5,2,1,0,0,,0,0,0,1,0,1
