level,might_base,grace_base,will_base,maxhp_base,maxmana_base,tnl_next,ac,dam,gear_known,gear_sub
2,4,3,3,102,72,289,99,0,1,
3,4,4,4,151,106,289,94,0,1,
4,5,4,4,203,139,289,94,0,1,
5,5,5,5,251,175,,,,1,grace+1;maxhp+10
6,6,6,6,308,199,733,98,1,1,grace+1;maxhp+10
7,6,7,6,366,223,913,98,1,1,grace+1;maxhp+10
8,7,8,6,423,248,937,98,1,1,grace+1;maxhp+10
9,7,9,7,482,273,1843,98,1,1,grace+1;maxhp+10
10,8,10,7,540,299,,,,1,grace+1;maxhp+10
11,8,11,7,601,323,1861,98,1,1,grace+1;maxhp+10
12,9,12,8,662,350,,,,1,grace+1;maxhp+10
13,9,13,8,718,375,,,,1,grace+1;maxhp+10
14,10,14,8,777,399,,,,1,grace+1;maxhp+10
15,10,15,9,840,423,,,,1,
16,-4,16,9,901,449,,,,1,might+15;grace+1;maxhp+10
17,17,11,9,1170,269,9426,67,2,0,
18,18,12,10,1242,277,18726,84,2,0,
19,19,12,10,1316,285,18676,84,2,0,
20,20,13,10,1390,293,19176,84,2,0,
21,16,22,11,1203,576,,,,0,
22,22,14,11,1541,309,37656,67,3,0,
23,23,14,11,1621,317,38256,67,3,0,
24,24,15,12,1695,325,9620,67,3,0,
25,28,15,12,1772,333,9605,38,3,0,
26,19,26,12,1494,702,,,,0,
27,19,27,13,1550,727,,,,0,
28,31,17,13,2001,357,,,,0,
29,32,17,13,2073,365,,,,0,
30,33,18,14,2149,373,23198,19,5,0,
32,35,19,14,2308,389,,,,0,
33,36,19,15,2380,397,,,,0,
48,27,48,20,2783,1258,22889,7,0,0,
49,27,49,20,2840,1284,16924,7,0,0,
50,28,50,20,2903,1309,35540,7,0,0,
51,28,51,21,2965,1335,63210,1,0,0,
52,29,52,21,3021,1359,63210,1,0,0,
53,29,53,21,3083,1385,63210,1,0,0,
54,30,54,22,3143,1410,17130,51,0,0,
55,30,55,22,3199,1435,17130,51,0,0,
56,31,56,22,3260,1461,17130,51,0,0,
57,31,57,23,3321,1486,51946,51,0,0,
58,32,58,23,3378,1513,3370,51,0,0,
59,32,59,23,3438,1539,3370,51,0,0,
60,33,60,24,3500,1564,5866,1,0,0,
61,33,61,24,3563,1590,22826,1,0,0,
62,34,62,24,3620,1616,39786,1,0,0,
63,34,63,25,3677,1641,34538,1,0,0,
64,35,64,25,3740,1666,51498,1,0,0,
65,35,65,25,3803,1690,34538,1,0,0,
