ts,level,kind,d_might,d_grace,d_will,d_maxhp,d_maxmana
1785301395029,5,equip,0,1,0,10,0
1785301401541,5,unequip,0,-1,0,-10,0
1785301437081,5,equip,0,1,0,10,0
1785301973674,10,unequip,0,-1,0,-10,0
1785302061902,10,equip,0,1,0,10,0
1785302294171,10,unequip,0,-1,0,-10,0
1785302296176,10,equip,0,1,0,10,0
1785302297174,10,unequip,0,-1,0,-10,0
1785302298682,10,equip,0,1,0,10,0
1785302300177,10,unequip,0,-1,0,-10,0
1785302301677,10,equip,0,1,0,10,0
1785302302679,10,unequip,0,-1,0,-10,0
1785302312187,10,equip,0,1,0,10,0
1785302341725,10,unequip,0,-1,0,-10,0
1785302358261,10,equip,0,1,0,10,0
1785302380291,10,unequip,0,-1,0,-10,0
1785302439443,10,equip,0,1,0,10,0
1785302624991,12,unequip,0,-1,0,-10,0
1785303061058,12,equip,0,1,0,10,0
1785303467283,12,unequip,0,-1,0,-10,0
1785303617953,12,equip,0,1,0,10,0
1785303732586,12,unequip,0,-1,0,-10,0
1785303821676,12,equip,0,1,0,10,0
1785303835689,12,unequip,0,-1,0,-10,0
1785304775964,12,equip,0,1,0,10,0
1785305849661,13,unequip,0,-1,0,-10,0
1785305937254,13,equip,0,1,0,10,0
1785306280210,14,unequip,0,-1,0,-10,0
1785306285270,14,equip,0,1,0,10,0
