ts,dmg,ac,level,maxhp,hp_after,nearby
1785300507600,3,99,,0,44,25
1785300537128,4,99,,0,42,25
1785300889936,1,94,2,102,100,185
1785300889937,1,94,2,102,99,185
1785300891017,1,94,2,102,98,
1785300897528,1,94,3,151,149,
1785300901445,1,94,3,151,148,185
1785300909046,1,94,4,203,201,
1785301451175,1,98,5,261,249,
1785301459694,1,98,5,261,253,
1785301464705,1,98,5,261,252,
1785301490732,1,98,6,318,317,
1785301781969,1,98,7,376,374,
1785301782052,1,98,7,376,373,
1785301783549,1,98,7,376,372,
1785301796482,1,98,8,433,431,
1785301797591,1,98,8,433,430,
1785301799643,1,98,8,433,429,
1785301801485,1,98,8,433,428,
1785301810087,1,98,8,433,427,
1785301826019,3,98,9,492,488,
1785301829523,1,98,9,492,487,
1785301843633,1,98,9,492,491,
1785301844133,1,98,9,492,490,
1785301853547,1,98,9,492,489,
1785301856048,1,98,9,492,488,
1785301858137,1,98,9,492,487,
1785301859668,1,98,9,492,486,
1785301861132,1,98,9,492,485,
1785301863641,1,98,9,492,491,
1785301884119,1,98,9,492,490,
1785301887581,1,98,9,492,489,
1785301933136,1,98,10,550,548,
1785301935637,1,98,10,550,547,
1785301935637,3,98,10,550,544,
1785301940229,1,98,10,550,549,
1785302450540,1,98,10,550,549,
1785302455574,1,98,10,550,548,
1785302470108,1,98,11,611,609,
1785302472651,1,98,11,611,610,
1785302476669,1,98,11,611,609,
1785302482105,1,98,11,611,608,
1785302484111,1,98,11,611,607,
1785302487126,1,98,11,611,606,
1785302490147,3,98,11,611,603,
1785302491199,1,98,11,611,602,
1785302502746,1,98,11,611,610,
1785302506772,1,98,11,611,609,
1785302507773,1,98,11,611,608,
1785303368574,20,83,12,672,652,519
1785303370576,27,83,12,672,625,519
1785303372579,17,83,12,672,608,519
1785303375083,13,83,12,672,595,519
1785303377085,20,83,12,672,575,519
1785303379589,21,83,12,672,568,519
1785303381593,21,83,12,672,547,519
1785303384095,17,83,12,672,530,519
1785303386600,17,83,12,672,513,519
1785303389101,16,83,12,672,547,519
1785303391176,15,83,12,672,532,519
1785303393207,21,83,12,672,511,519
1785303395706,24,83,12,672,487,519
1785303398207,21,83,12,672,466,519
1785303400289,15,83,12,672,451,
1785303651486,32,83,12,672,559,
1785303653488,25,83,12,672,534,
1785303655490,32,83,12,672,502,
1785303657491,23,83,12,672,493,
1785303659494,27,83,12,672,466,
1785303661998,23,83,12,672,443,
1785303664009,24,83,12,672,419,
1785303666010,29,83,12,672,390,
1785303668012,24,83,12,672,366,
1785303670013,22,83,12,672,394,
1785303672013,22,83,12,672,372,
1785303674032,22,83,12,672,350,
1785303676019,28,83,12,672,322,
1785303678026,20,83,12,672,542,
1785303680032,18,83,12,672,524,
1785303682031,21,83,12,672,503,
1785303684036,23,83,12,672,494,
1785303686537,24,83,12,672,470,
1785303688538,22,83,12,672,448,
1785303690542,23,83,12,672,425,
1785303692541,31,83,12,672,641,
1785303694542,23,83,12,672,618,
1785303696545,30,83,12,672,588,
1785303698550,21,83,12,672,567,
1785303700550,31,83,12,672,536,
1785303702557,18,83,12,672,518,
1785303705056,22,83,12,672,650,
1785303707064,29,83,12,672,621,
1785303709061,32,83,12,672,603,
1785303711062,18,83,12,672,585,
1785303713067,27,83,12,672,558,
1785303715070,30,83,12,672,528,
1785303715645,31,83,12,672,497,
1785304792481,19,73,12,672,653,
1785304794482,24,73,12,672,629,
1785304796485,15,73,12,672,628,
1785304798484,16,73,12,672,612,
1785304800487,14,73,12,672,598,
1785304802490,14,73,12,672,584,
1785304804497,12,73,12,672,572,
1785304806501,14,73,12,672,558,
1785304808504,20,73,12,672,538,
1785304810503,19,73,12,672,519,
1785304812506,18,73,12,672,501,
1785304815006,18,73,12,672,483,
1785304817010,25,73,12,672,458,
1785304819012,24,73,12,672,434,
1785304821013,25,73,12,672,409,
1785304823018,17,73,12,672,406,
1785304825022,14,73,12,672,392,
1785304827025,22,73,12,672,370,
1785304829527,23,73,12,672,347,
1785304831529,25,73,12,672,322,
1785304833104,25,73,12,672,297,
1785304933144,25,73,12,672,628,519
1785304935145,25,73,12,672,603,519
1785304937146,14,73,12,672,589,519
1785304939147,24,73,12,672,565,519
1785304941152,15,73,12,672,550,519
1785304943654,12,73,12,672,538,519
1785304945658,22,73,12,672,516,519
1785304947663,23,73,12,672,507,519
1785304949666,25,73,12,672,482,519
1785304951666,25,73,12,672,457,519
1785304953670,19,73,12,672,488,519
1785304955670,19,73,12,672,569,519
1785304957671,25,73,12,672,544,519
1785304959675,25,73,12,672,569,519
1785304961679,24,73,12,672,545,519
1785304963678,22,73,12,672,523,519
1785304966180,17,73,12,672,556,519
1785304968183,21,73,12,672,585,519
1785304970182,21,73,12,672,564,519
1785304972183,18,73,12,672,560,519
1785304974185,23,73,12,672,587,519
1785304976188,14,73,12,672,573,519
1785304978189,19,73,12,672,554,519
1785304980193,16,73,12,672,588,519
1785304982193,19,73,12,672,569,519
1785304984273,19,73,12,672,550,
1785304998208,16,73,12,672,656,519
1785305000210,14,73,12,672,642,519
1785305002213,25,73,12,672,617,519
1785305004218,18,73,12,672,599,519
1785305006218,17,73,12,672,582,519
1785305008218,24,73,12,672,558,519
1785305010219,14,73,12,672,544,519
1785305012225,20,73,12,672,524,519
1785305014734,13,73,12,672,511,519
1785305016733,12,73,12,672,499,519
1785305018737,18,73,12,672,481,519
1785305020738,19,73,12,672,462,519
1785305022740,21,73,12,672,505,519
1785305024741,21,73,12,672,651,519
1785305026746,13,73,12,672,638,519
1785305029247,25,73,12,672,613,519
1785305031249,19,73,12,672,594,519
