ts,eid,look,mob,zone,gear,hp_total,swings,last_dmg,bar_max,clean,level,exp
1785300182735,304740,,,,,16,2,8,42,0,,10
1785300463553,281787,,,,,18,2,4,12,0,,10
1785300468055,280893,21,,,,4,1,4,0,1,,5
1785300471562,35311,25,,,,14,1,14,0,1,,10
1785300481571,282018,21,,,,13,1,13,0,1,,5
1785300494086,304128,21,,,,11,1,11,0,1,,5
1785300498594,304737,21,,,,2,1,2,0,1,,5
1785300503599,35257,21,,,,3,1,3,0,1,,5
1785300509601,133577,25,,,,18,3,3,50,1,,10
1785300516105,35232,21,,,,15,1,15,0,1,,5
1785300517609,281777,21,,,,5,1,5,0,1,,5
1785300520612,281779,21,,,,7,1,7,0,1,,5
1785300523614,281783,21,,,,15,1,15,0,1,,5
1785300526616,35243,21,,,,3,1,3,0,1,,5
1785300537633,824448,25,,,,16,3,7,78,1,,10
1785300542653,824452,25,,,,13,3,3,53,1,,10
1785300886929,720245,185,,,,9,1,9,0,1,,75
1785300890936,728537,185,,,,19,2,10,18,1,,75
1785300892938,724045,185,,,,9,1,9,0,1,,75
1785300894939,721058,185,,,,10,1,10,0,1,,75
1785300897443,719592,185,,,,26,1,26,0,1,,75
1785300898947,718676,185,,,,19,2,10,18,1,,75
1785300901445,720247,185,,,,18,2,9,10,1,,75
1785300903951,718678,185,,,,17,2,8,10,1,,75
1785300905450,719594,185,,,,10,1,10,0,1,,75
1785300908956,720244,185,,,,19,2,10,18,1,,75
1785300909960,719599,185,,,,9,1,9,0,1,,75
1785300910456,719742,185,,,,9,1,9,0,1,,
1785301440085,827335,185,,,,50,1,50,0,1,,78
1785301443591,719049,185,,,,24,1,24,0,1,,78
1785301445088,827007,185,,,,28,1,28,0,1,,78
1785301446592,826742,185,,,,24,1,24,0,1,,78
1785301451095,721057,185,,,,25,1,25,0,1,,78
1785301452599,827006,185,,,,25,1,25,0,1,,78
1785301455101,720818,185,,,,26,1,26,0,1,,78
1785301459613,830485,185,,,,24,1,24,0,1,,78
1785301463115,830487,185,,,,28,1,28,0,1,,78
1785301464616,827009,185,,,,26,1,26,0,1,,78
1785301465620,830723,185,,,,25,1,25,0,1,,78
1785301468123,830484,185,,,,24,1,24,0,1,,78
1785301469622,719591,185,,,,29,1,29,0,1,,78
1785301473629,827010,185,,,,25,1,25,0,1,,78
1785301477130,830944,185,,,,29,1,29,0,1,,78
1785301478635,830943,185,,,,28,1,28,0,1,,78
1785301479635,830949,185,,,,76,1,76,0,1,,78
1785301482135,830945,185,,,,27,1,27,0,1,,78
1785301483136,830942,185,,,,28,1,28,0,1,,78
1785301484638,830948,185,,,,78,1,78,0,1,,78
1785301487140,830946,185,,,,25,1,25,0,1,,78
1785301490644,830486,185,,,,25,1,25,0,1,,78
1785301492144,830941,185,,,,28,1,28,0,1,,78
1785301751437,830947,185,,,,87,1,87,0,1,,78
1785301753944,831108,185,,,,28,1,28,0,1,,78
1785301755443,831105,185,,,,25,1,25,0,1,,78
1785301765450,830724,185,,,,27,1,27,0,1,,78
1785301768454,608942,185,,,,27,1,27,0,1,,78
1785301774962,831110,185,,,,26,1,26,0,1,,78
1785301775961,832808,185,,,,26,1,26,0,1,,78
1785301778465,831106,185,,,,28,1,28,0,1,,78
1785301780970,831113,185,,,,27,1,27,0,1,,78
1785301781969,832956,185,,,,28,1,28,0,1,,78
1785301783469,831112,185,,,,29,1,29,0,1,,78
1785301785470,832942,185,,,,29,1,29,0,1,,78
1785301787472,832859,185,,,,29,1,29,0,1,,78
1785301792478,833002,185,,,,27,1,27,0,1,,78
1785301794983,833003,185,,,,26,1,26,0,1,,78
1785301796482,833001,185,,,,24,1,24,0,1,,78
1785301797482,831109,185,,,,28,1,28,0,1,,78
1785301799483,831111,185,,,,84,1,84,0,1,,78
1785301801486,833000,185,,,,24,1,24,0,1,,78
1785301805991,831107,185,,,,27,1,27,0,1,,78
1785301809996,832941,185,,,,28,1,28,0,1,,78
1785301812503,833442,185,,,,24,1,24,0,1,,78
1785301815505,833440,185,,,,25,1,25,0,1,,78
1785301816007,833443,185,,,,25,1,25,0,1,,78
1785301817007,833439,185,,,,26,1,26,0,1,,78
1785301818509,833438,185,,,,27,1,27,0,1,,78
1785301820009,833510,185,,,,27,1,27,0,1,,78
1785301821511,833509,185,,,,25,1,25,0,1,,78
1785301822517,833445,185,,,,27,1,27,0,1,,78
1785301826019,833507,185,,,,29,1,29,0,1,,78
1785301828022,833511,185,,,,27,1,27,0,1,,78
1785301829523,833508,185,,,,24,1,24,0,1,,78
1785301838035,833441,185,,,,26,1,26,0,1,,78
1785301843534,832999,185,,,,29,1,29,0,1,,78
1785301844035,833444,185,,,,27,1,27,0,1,,78
1785301851042,833639,185,,,,29,1,29,0,1,,78
1785301852543,833631,185,,,,24,1,24,0,1,,78
1785301853547,833635,185,,,,26,1,26,0,1,,78
1785301857049,833633,185,,,,87,1,87,0,1,,78
1785301858048,833632,185,,,,26,1,26,0,1,,78
1785301859550,833634,185,,,,27,1,27,0,1,,78
1785301861051,833636,185,,,,24,1,24,0,1,,78
1785301862553,833638,185,,,,28,1,28,0,1,,78
1785301863553,833637,185,,,,28,1,28,0,1,,78
1785301864555,833630,185,,,,29,1,29,0,1,,78
1785301881077,833888,185,,,,28,1,28,0,1,,78
1785301884086,622082,185,,,,25,1,25,0,1,,78
1785301887581,827008,185,,,,29,1,29,0,1,,78
1785301918120,833883,185,,,,25,1,25,0,1,,78
1785301920119,833891,185,,,,29,1,29,0,1,,78
1785301924126,833890,185,,,,29,1,29,0,1,,78
1785301925623,833885,185,,,,27,1,27,0,1,,78
1785301928129,833889,185,,,,27,1,27,0,1,,78
1785301928628,833884,185,,,,29,1,29,0,1,,78
1785301932140,834005,185,,,,84,1,84,0,1,,78
1785301933136,834173,185,,,,30,1,30,0,1,,78
1785301935637,833886,185,,,,25,1,25,0,1,,78
1785301936140,834172,185,,,,26,1,26,0,1,,78
1785301936639,833882,185,,,,27,1,27,0,1,,78
1785301938142,834219,185,,,,27,1,27,0,1,,78
1785301939641,834171,185,,,,28,1,28,0,1,,78
1785301940141,833887,185,,,,25,1,25,0,1,,78
1785301940641,834170,185,,,,90,1,90,0,1,,78
1785301942642,834218,185,,,,28,1,28,0,1,,78
1785301944146,834216,185,,,,30,1,30,0,1,,78
1785301945646,834217,185,,,,25,1,25,0,1,,78
1785302445956,834291,185,,,,25,1,25,0,1,,78
1785302447957,834290,185,,,,29,1,29,0,1,,78
1785302450478,834283,185,,,,25,1,25,0,1,,78
1785302451479,834286,185,,,,30,1,30,0,1,,78
1785302452982,835535,185,,,,26,1,26,0,1,,78
1785302455487,834442,185,,,,26,1,26,0,1,,78
1785302456484,834443,185,,,,27,1,27,0,1,,78
1785302458496,834444,185,,,,27,1,27,0,1,,78
1785302464521,834287,185,,,,28,1,28,0,1,,78
1785302466527,835256,185,,,,29,1,29,0,1,,78
1785302467030,834288,185,,,,27,1,27,0,1,,78
1785302468535,834285,185,,,,84,1,84,0,1,,78
1785302470041,838037,185,,,,81,1,81,0,1,,78
1785302470541,835541,185,,,,27,1,27,0,1,,78
1785302472570,838038,185,,,,26,1,26,0,1,,78
1785302473072,838046,185,,,,26,1,26,0,1,,78
1785302476075,834289,185,,,,31,1,31,0,1,,78
1785302476588,838047,185,,,,31,1,31,0,1,,78
1785302478095,838040,185,,,,30,1,30,0,1,,78
1785302480100,838092,185,,,,29,1,29,0,1,,78
1785302482105,838036,185,,,,28,1,28,0,1,,78
1785302483111,838039,185,,,,28,1,28,0,1,,78
1785302484111,834292,185,,,,31,1,31,0,1,,78
1785302486623,838093,185,,,,29,1,29,0,1,,78
1785302488128,838095,185,,,,28,1,28,0,1,,78
1785302490147,838094,185,,,,27,1,27,0,1,,78
1785302491200,838096,185,,,,28,1,28,0,1,,78
1785302502746,838177,185,,,,30,1,30,0,1,,78
1785302505752,838178,185,,,,27,1,27,0,1,,78
1785302507272,838180,185,,,,28,1,28,0,1,,78
1785302509275,838179,185,,,,29,1,29,0,1,,78
