ts,eid,look,dmg,crit,mob_hp_after,mob_hp_before,level,might,grace,will,might_base,grace_base,will_base,dam,hit,ac
1785300886427,825057,,1,0,99,,2,4,3,3,4,3,3,0,0,94
1785300886929,720245,185,9,0,0,,2,4,3,3,4,3,3,0,0,94
1785300889432,728537,185,9,0,18,,2,4,3,3,4,3,3,0,0,94
1785300889936,825057,,1,0,98,99,2,4,3,3,4,3,3,0,0,94
1785300889937,825057,,1,0,97,98,2,4,3,3,4,3,3,0,0,94
1785300890936,728537,185,10,0,0,18,2,4,3,3,4,3,3,0,0,94
1785300891017,825057,,1,0,96,97,2,4,3,3,4,3,3,0,0,94
1785300892938,724045,185,9,0,0,,2,4,3,3,4,3,3,0,0,94
1785300894440,825057,,1,0,99,96,3,4,4,4,4,4,4,0,0,94
1785300894939,721058,185,10,0,0,,3,4,4,4,4,4,4,0,0,94
1785300897443,719592,185,26,1,0,,3,4,4,4,4,4,4,0,0,94
1785300897528,825057,,1,1,98,99,3,4,4,4,4,4,4,0,0,94
1785300898444,718676,185,9,0,18,,3,4,4,4,4,4,4,0,0,94
1785300898947,718676,185,10,0,0,18,3,4,4,4,4,4,4,0,0,94
1785300900948,720247,185,9,0,10,,3,4,4,4,4,4,4,0,0,94
1785300901445,825057,,1,0,98,98,3,4,4,4,4,4,4,0,0,94
1785300901445,720247,185,9,0,0,10,3,4,4,4,4,4,4,0,0,94
1785300902446,718678,185,9,0,10,,4,5,4,4,5,4,4,0,0,94
1785300903951,718678,185,8,0,0,10,4,5,4,4,5,4,4,0,0,94
1785300904035,825057,,1,0,99,100,4,5,4,4,5,4,4,0,0,94
1785300905450,719594,185,10,0,0,,4,5,4,4,5,4,4,0,0,94
1785300907454,720244,185,9,0,18,,4,5,4,4,5,4,4,0,0,94
1785300908956,720244,185,10,0,0,18,4,5,4,4,5,4,4,0,0,94
1785300909046,825057,,1,0,99,99,4,5,4,4,5,4,4,0,0,94
1785300909960,719599,185,9,0,0,,4,5,4,4,5,4,4,0,0,94
1785300910456,719742,185,9,0,0,,5,5,5,5,5,5,5,0,0,94
1785301440085,827335,185,50,0,0,,5,5,6,5,5,5,5,0,0,98
1785301443591,719049,185,24,0,0,,5,5,6,5,5,5,5,1,0,98
1785301445088,827007,185,28,0,0,,5,5,6,5,5,5,5,1,0,98
1785301446592,826742,185,24,0,0,,5,5,6,5,5,5,5,1,0,98
1785301451095,825057,,1,0,95,96,5,5,6,5,5,5,5,1,0,98
1785301451095,721057,185,25,0,0,,5,5,6,5,5,5,5,1,0,98
1785301451175,825057,,1,0,95,95,5,5,6,5,5,5,5,1,0,98
1785301452599,827006,185,25,0,0,,5,5,6,5,5,5,5,1,0,98
1785301455101,720818,185,26,0,0,,5,5,6,5,5,5,5,1,0,98
1785301459613,830485,185,24,0,0,,5,5,6,5,5,5,5,1,0,98
