ts,from_room,from_x,from_y,to_room,to_x,to_y
1785710217354,Buya,13,16,Dirt Cave,13,16
1785710218211,Dirt Cave,5,18,Vermin Cavern,5,18
1785710416125,Vermin Cavern,7,27,Rat Race,7,27
1785710425355,Rat Race,14,18,Sonar Central,14,18
1785714616128,Thousand Legs,5,10,Sonar Central,5,10
1785714617986,Sonar Central,14,16,Thousand Legs,14,16
1785715626219,Thousand Legs,5,9,Sonar Central,5,9
1785716228495,Sonar Central,5,11,Rat Race,5,11
1785716570719,Rat Race,9,2,Vermin Cavern,9,2
1785719986501,Pepper Tavern,42,105,Buya,42,105
1785724050201,Leviathan Fields,14,27,Leviathan Hermit,14,27
1785724182391,Leviathan Hermit,16,17,Southern Fork,16,17
1785724912765,Leviathan Fields,16,27,Leviathan Mound,16,27
1785725013799,Leviathan Mound,9,2,Leviathan Fields,9,2
1786751741288,Leviathan Hermit,16,18,Southern Fork,6,0
1786751751782,Southern Fork,9,27,Southern Path,9,27
