class,level,might,grace_base,will,maxhp_base,mana,tnl_next,gear_note
Peasant,1,3,3,3,51,36,,base (naked read)
Peasant,2,4,3,3,102,72,,ding
Peasant,3,4,4,4,151,106,,ding
Peasant,4,5,4,4,203,139,,ding
Peasant,5,5,5,5,251,175,,peasant cap
Rogue,5,5,5,5,251,175,,Swift Sword +1grc/+10hp
Rogue,6,6,6,6,308,199,,Swift Sword +1grc/+10hp
Rogue,7,6,7,6,366,223,,Swift Sword +1grc/+10hp
Rogue,8,7,8,6,423,248,,Swift Sword +1grc/+10hp
Rogue,9,7,9,7,482,273,,Swift Sword +1grc/+10hp
Rogue,10,8,10,7,540,299,,Swift Sword +1grc/+10hp
Rogue,11,8,11,7,601,323,,Swift Sword +1grc/+10hp
Rogue,12,9,12,8,662,350,,Swift Sword +1grc/+10hp
Rogue,13,9,13,8,718,375,3756,Swift Sword +1grc/+10hp
Rogue,14,10,14,8,777,399,,Swift Sword +1grc/+10hp
