ts,entity,look,damage,crit,hpbar_before,hpbar_after,hpbar_delta,p_might,p_grace,p_will,p_ac,p_dam,p_hit,p_hp,p_mana,p_tnl,p_exp
1785291809185,0x0a8e79,32953,36,0,,0,,,,,71,0,0,,,4764,22836
1785291810711,0x0a8f32,32953,36,0,,0,,,,,71,2,1,950,245,4689,22911
1785291810799,0x09ea18,,0,0,,100,,,,,71,2,1,950,245,4689,22911
1785291812728,0x0a8e7f,32953,32,0,,0,,,,,71,2,1,950,245,4614,22986
1785291812807,0x09ea18,,1,0,100,99,1,,,,71,2,1,949,245,4614,949
1785291816259,0x0a8e7a,32953,35,0,,0,,,,,71,2,1,948,245,4539,23061
1785291817263,0x0a8e81,32953,35,0,,0,,,,,71,2,1,948,245,4464,23136
1785291818761,0x0a8cf7,32953,33,0,,0,,,,,71,2,1,948,245,4389,23211
1785291819761,0x0a8e80,32953,32,0,,0,,,,,71,2,1,947,245,4314,23286
1785291821763,0x0a8e7d,32953,36,0,,0,,,,,71,2,1,947,245,4239,23361
1785291823766,0x0a8cf6,32953,34,0,,0,,,,,71,2,1,947,245,4164,23436
1785291828366,0x0a8e7e,32953,36,0,,0,,,,,71,2,1,947,245,4089,23511
1785291830883,0x0a8cf9,32953,36,0,,0,,,,,71,2,1,947,245,4014,23586
1785291833444,0x0a8e7b,32953,31,0,,0,,,,,71,2,1,946,245,3939,23661
1785291846433,0x0aeef9,32953,31,0,,0,,,,,71,2,1,948,245,3864,23736
1785291848956,0x0aeefb,32953,32,0,,0,,,,,71,2,1,948,245,3789,23811
1785291851522,0x0aeeff,32953,105,1,,0,,,,,71,2,1,947,245,3714,23886
1785291852528,0x0aefbd,32953,33,0,,0,,,,,71,2,1,947,245,3639,23961
1785291853531,0x0aeef6,32953,32,0,,0,,,,,71,2,1,946,245,3564,24036
1785291854549,0x0aeefa,32953,35,0,,0,,,,,71,2,1,946,245,3489,24111
1785291856555,0x0aeef8,32953,33,0,,0,,,,,71,2,1,946,245,3414,24186
1785291857562,0x0aeef7,32953,35,0,,0,,,,,71,2,1,946,245,3339,24261
1785291858057,0x0aeefd,32953,31,0,,0,,,,,71,2,1,945,245,3264,24336
1785291858558,0x0aeefc,32953,32,0,,0,,,,,71,2,1,945,245,3189,24411
1785291859561,0x0aefbc,32953,36,0,,0,,,,,71,2,1,942,245,3114,24486
1785291862588,0x0aeefe,32953,35,0,,0,,,,,71,2,1,950,245,3039,24561
1785291873714,0x0af102,32953,34,0,,0,,,,,71,2,1,949,245,2964,24636
1785291877246,0x0af0fe,32953,36,0,,0,,,,,71,2,1,948,245,2889,24711
1785291878266,0x0af103,32953,35,0,,0,,,,,71,2,1,948,245,2814,24786
1785291879795,0x0af0fb,32953,32,0,,0,,,,,71,2,1,948,245,2739,24861
1785291881824,0x0af100,32953,31,0,,0,,,,,71,2,1,947,245,2664,24936
1785291884356,0x0af0fd,32953,33,0,,0,,,,,71,2,1,946,245,2589,25011
1785291886364,0x09ea18,,0,0,99,100,-1,,,,71,2,1,950,245,2514,950
1785291886868,0x0af0fc,32953,33,0,,0,,,,,71,2,1,950,245,2514,25086
1785291894895,0x0af0ff,32953,72,0,,0,,,,,71,2,1,950,245,2439,25161
1785291896918,0x09ea18,,1,0,100,99,1,,,,71,2,1,949,245,2364,949
1785291896918,0x0af101,32953,32,0,,0,,,,,71,2,1,949,245,2364,25236
1785291906062,0x0af267,32953,32,0,,0,,,,,71,2,1,949,245,2289,25311
1785291909080,0x0af262,32953,35,0,,0,,,,,71,2,1,948,245,2214,25386
1785291912092,0x0af269,32953,34,0,,0,,,,,71,2,1,950,245,2139,25461
1785291912171,0x09ea18,,0,0,99,100,-1,,,,71,2,1,950,245,2139,25461
1785291913093,0x09ea18,,1,0,100,99,1,,,,71,2,1,949,245,2064,949
1785291913597,0x0af26a,32953,32,0,,0,,,,,71,2,1,949,245,2064,25536
1785291916099,0x0af264,32953,33,0,,0,,,,,71,2,1,949,245,1989,25611
1785291917624,0x0af263,32953,32,0,,0,,,,,71,2,1,949,245,1914,25686
1785291918126,0x0af266,32953,34,0,,0,,,,,71,2,1,948,245,1839,25761
1785291919631,0x0af265,32953,33,0,,0,,,,,71,2,1,948,245,1764,25836
1785291921640,0x0af268,32953,31,0,,0,,,,,71,2,1,948,245,1689,25911
1785291923148,0x0af2a0,32953,32,0,,0,,,,,71,2,1,948,245,1614,25986
1785291924652,0x0af26b,32953,108,1,,0,,,,,71,2,1,947,245,1539,26061
1785291926655,0x0af2a1,32953,32,0,,0,,,,,71,2,1,947,245,1464,26136
1785291932727,0x0af3b7,32953,34,0,,0,,,,,71,2,1,947,245,1389,26211
1785291937233,0x0af3b3,32953,34,0,,0,,,,,71,2,1,950,245,1314,26286
1785291937421,0x09ea18,,0,0,99,100,-1,,,,71,2,1,950,245,1314,26286
1785291939248,0x0af3b1,32953,33,0,,0,,,,,71,2,1,950,245,1239,26361
1785291942252,0x0af3b2,32953,34,0,,0,,,,,71,2,1,950,245,1164,26436
1785291942333,0x09ea18,,1,0,100,99,1,,,,71,2,1,949,245,1164,949
1785291943789,0x0af3b6,32953,34,0,,0,,,,,71,2,1,948,245,1089,26511
1785291947302,0x0af3ba,32953,31,0,,0,,,,,71,2,1,948,245,1014,26586
1785291948812,0x0af3b9,32953,32,0,,0,,,,,71,2,1,948,245,939,26661
1785292036948,0x0af3b4,32953,32,0,,0,,,,,71,2,1,950,245,864,26736
1785292038953,0x0af8cb,32953,33,0,,0,,,,,71,2,1,950,245,789,26811
1785292039450,0x0af759,32953,93,1,,0,,,,,71,2,1,950,245,714,26886
1785292041957,0x0af3b5,32953,32,0,,0,,,,,71,2,1,950,245,639,26961
1785292043460,0x0af910,32953,36,0,,0,,,,,71,2,1,950,245,564,27036
1785292047963,0x0af753,32953,35,0,,0,,,,,71,2,1,950,245,489,27111
1785292049467,0x09ea18,,0,0,99,100,-1,,,,71,2,1,950,245,414,27186
1785292049963,0x0af3b8,32953,36,0,,0,,,,,71,2,1,950,245,414,27186
1785292050976,0x0af755,32953,36,0,,0,,,,,71,2,1,950,245,339,27261
1785292051965,0x0af8ca,32953,35,0,,0,,,,,71,2,1,950,245,264,27336
1785292052967,0x0afae9,32953,36,0,,0,,,,,71,2,1,950,245,189,27411
