key,spell,class,alignment,gif,atlas_wire_id,csv_animation,status
thunder_bolt_mage,Thunder Bolt,mage,kwisin,spark,27,27,agree
spirit_strength_mage,Spirit Strength,mage,kwisin,newmight,117,117,agree
soothe,Soothe,mage,kwisin,heal,5,5,agree
pestilence_mage,Pestilence,mage,kwisin,vex,1,1,agree
static_mage,Static,mage,kwisin,vex,1,1,agree
glimpse_of_the_void_mage,Glimpse of the Void,mage,kwisin,sealfate,17,17,agree
spiritsong_mage,Spiritsong,mage,kwisin,kwisinheal,65,65,agree
embrace_of_the_void_mage,Embrace of the Void,mage,kwisin,sealfate,17,17,agree
thicken_skin_mage,Thicken Skin,mage,kwisin,kwisinarmor,111,111,agree
spirit_strike_mage,Spirit Strike,mage,kwisin,sealfate,17,17,agree
approach,Approach,mage,kwisin,summon,3,3,agree
spirits_smile_mage,Spirits Smile,mage,kwisin,kwisinheal,65,65,agree
soulstorm_mage,Soulstorm,mage,kwisin,sealfate,17,17,agree
spiritual_cure_mage,Spiritual Cure,mage,kwisin,kwisinheal,65,65,agree
strengthen_mage,Strengthen,mage,kwisin,newmight,117,117,agree
soul_strike_mage,Soul Strike,mage,kwisin,sealfate,17,17,agree
renew_essence_mage,Renew Essence,mage,kwisin,kwisinheal,65,65,agree
cure_illness_mage,Cure Illness,mage,kwisin,kwisinpurge,70,70,agree
summon,Summon,mage,kwisin,summon,3,3,agree
crescendo_mage,Cresendo,mage,kwisin,sealfate,17,17,agree
spirits_embrace_mage,Spiritual Embrace,mage,kwisin,kwisinheal,65,65,agree
release_binds_mage,Release Binds,mage,kwisin,kwisinpurge,70,70,agree
protect_soul_mage,Protect Soul,mage,kwisin,kwisinsanc,61,61,agree
spirits_power_mage,Spirits Power,mage,kwisin,kwisininvoke,95,95,agree
kwisin_mask_mage,Kwi-Sin Mask,mage,kwisin,summon,3,3,agree
ancestors_touch_mage,Ancestors Touch,mage,kwisin,kwisinheal,65,65,agree
soul_spike_mage,Soul Spike,mage,kwisin,sealfate,17,17,agree
soul_chasm_mage,Soul Chasm,mage,kwisin,sealfate,17,17,agree
