NumBodies 67
ID 0, Palette 0, Starting 0
ID 1, Palette 0, Starting 104
ID 2, Palette 0, Starting 208
ID 3, Palette 0, Starting 312
ID 4, Palette 0, Starting 416
ID 5, Palette 0, Starting 520
ID 6, Palette 0, Starting 624
ID 7, Palette 0, Starting 728
ID 8, Palette 0, Starting 832
ID 9, Palette 0, Starting 936
ID 10, Palette 0, Starting 1040
ID 11, Palette 0, Starting 1144
ID 12, Palette 0, Starting 1248
ID 13, Palette 0, Starting 1352
ID 14, Palette 0, Starting 1456
ID 15, Palette 0, Starting 1560
ID 16, Palette 0, Starting 1664
ID 17, Palette 0, Starting 1768
ID 18, Palette 0, Starting 1872
ID 19, Palette 0, Starting 1976
ID 20, Palette 0, Starting 2080
ID 21, Palette 0, Starting 2184
ID 22, Palette 0, Starting 2288
ID 23, Palette 0, Starting 2392
ID 24, Palette 0, Starting 2496
ID 25, Palette 0, Starting 2600
ID 26, Palette 0, Starting 2704
ID 27, Palette 0, Starting 2808
ID 28, Palette 0, Starting 2912
ID 29, Palette 0, Starting 3016
ID 30, Palette 0, Starting 3120
ID 31, Palette 0, Starting 3224
ID 32, Palette 0, Starting 3328
ID 33, Palette 0, Starting 3432
ID 34, Palette 0, Starting 3536
ID 35, Palette 0, Starting 3640
ID 36, Palette 1, Starting 3744
ID 37, Palette 1, Starting 3848
ID 38, Palette 1, Starting 3952
ID 39, Palette 1, Starting 4056
ID 40, Palette 1, Starting 4160
ID 41, Palette 1, Starting 4264
ID 42, Palette 1, Starting 4368
ID 43, Palette 1, Starting 4472
ID 44, Palette 2, Starting 4576
ID 45, Palette 2, Starting 4680
ID 46, Palette 2, Starting 4784
ID 47, Palette 2, Starting 4888
ID 48, Palette 2, Starting 4992
ID 49, Palette 2, Starting 5096
ID 50, Palette 2, Starting 5200
ID 51, Palette 2, Starting 5304
ID 52, Palette 2, Starting 5408
ID 53, Palette 2, Starting 5512
ID 54, Palette 2, Starting 5616
ID 55, Palette 2, Starting 5720
ID 56, Palette 2, Starting 5824
ID 57, Palette 3, Starting 5928
ID 58, Palette 3, Starting 6032
ID 59, Palette 3, Starting 6136
ID 60, Palette 3, Starting 6240
ID 61, Palette 3, Starting 6344
ID 62, Palette 3, Starting 6448
ID 63, Palette 4, Starting 6552
ID 64, Palette 4, Starting 6656
ID 65, Palette 4, Starting 6760
ID 66, Palette 5, Starting 6864
