NumFaces 90
ID 0, Palette 0, Starting 0
ID 1, Palette 0, Starting 100
ID 2, Palette 0, Starting 200
ID 3, Palette 0, Starting 300
ID 4, Palette 0, Starting 400
ID 5, Palette 0, Starting 500
ID 6, Palette 0, Starting 600
ID 7, Palette 0, Starting 700
ID 8, Palette 0, Starting 800
ID 9, Palette 0, Starting 900
ID 10, Palette 0, Starting 1000
ID 11, Palette 0, Starting 1100
ID 12, Palette 0, Starting 1200
ID 13, Palette 0, Starting 1300
ID 14, Palette 0, Starting 1400
ID 15, Palette 0, Starting 1500
ID 16, Palette 0, Starting 1600
ID 17, Palette 0, Starting 1700
ID 18, Palette 0, Starting 1800
ID 19, Palette 0, Starting 1900
ID 20, Palette 0, Starting 2000
ID 21, Palette 0, Starting 2100
ID 22, Palette 0, Starting 2200
ID 23, Palette 0, Starting 2300
ID 24, Palette 0, Starting 2400
ID 25, Palette 0, Starting 2500
ID 26, Palette 0, Starting 2600
ID 27, Palette 0, Starting 2700
ID 28, Palette 0, Starting 2800
ID 29, Palette 0, Starting 2900
ID 30, Palette 0, Starting 3000
ID 31, Palette 0, Starting 3100
ID 32, Palette 0, Starting 3200
ID 33, Palette 0, Starting 3300
ID 34, Palette 0, Starting 3400
ID 35, Palette 0, Starting 3500
ID 36, Palette 0, Starting 3600
ID 37, Palette 0, Starting 3700
ID 38, Palette 0, Starting 3800
ID 39, Palette 0, Starting 3900
ID 40, Palette 0, Starting 4000
ID 41, Palette 0, Starting 4100
ID 42, Palette 0, Starting 4200
ID 43, Palette 0, Starting 4300
ID 44, Palette 0, Starting 4400
ID 45, Palette 0, Starting 4500
ID 46, Palette 0, Starting 4600
ID 47, Palette 0, Starting 4700
ID 48, Palette 0, Starting 4800
ID 49, Palette 0, Starting 4900
ID 50, Palette 0, Starting 5000
ID 51, Palette 0, Starting 5100
ID 52, Palette 0, Starting 5200
ID 53, Palette 0, Starting 5300
ID 54, Palette 0, Starting 5400
ID 55, Palette 0, Starting 5500
ID 56, Palette 0, Starting 5600
ID 57, Palette 0, Starting 5700
ID 58, Palette 0, Starting 5800
ID 59, Palette 0, Starting 5900
ID 60, Palette 0, Starting 6000
ID 61, Palette 0, Starting 6100
ID 62, Palette 0, Starting 6200
ID 63, Palette 0, Starting 6300
ID 64, Palette 0, Starting 6400
ID 65, Palette 0, Starting 6500
ID 66, Palette 0, Starting 6600
ID 67, Palette 0, Starting 6700
ID 68, Palette 0, Starting 6800
ID 69, Palette 0, Starting 6900
ID 70, Palette 0, Starting 7000
ID 71, Palette 0, Starting 7100
ID 72, Palette 0, Starting 7200
ID 73, Palette 0, Starting 7300
ID 74, Palette 0, Starting 7400
ID 75, Palette 0, Starting 7500
ID 76, Palette 0, Starting 7600
ID 77, Palette 0, Starting 7700
ID 78, Palette 0, Starting 7800
ID 79, Palette 0, Starting 7900
ID 80, Palette 0, Starting 8000
ID 81, Palette 0, Starting 8100
ID 82, Palette 0, Starting 8200
ID 83, Palette 0, Starting 8300
ID 84, Palette 0, Starting 8400
ID 85, Palette 0, Starting 8500
ID 86, Palette 0, Starting 8600
ID 87, Palette 0, Starting 8700
ID 88, Palette 0, Starting 8800
ID 89, Palette 0, Starting 8900
