key,pathId,level,gold,item1,amt1,item2,amt2,item3,amt3,item4,amt4,source
gateway,1,5,0,acorn,10,rabbit_meat,10,,,,,archive:warrior
taunt_warrior,1,6,0,acorn,20,rabbit_meat,5,,,,,archive:warrior
wolfs_fury_warrior,1,7,100,rabbit_meat,25,,,,,,,archive:warrior
soothe,1,8,30,acorn,70,,,,,,,archive:warrior
bless_warrior,1,9,80,antler,3,,,,,,,archive:warrior
fleshspeak_warrior,1,13,40,acorn,70,,,,,,,archive:warrior
backstab_warrior,1,15,100,antler,3,snake_meat,20,,,,,archive:warrior
flank_warrior,1,20,150,antler,5,snake_meat,20,,,,,archive:warrior
tigers_fury_warrior,1,24,250,antler,5,fox_fur,15,,,,,archive:warrior
enchant_warrior,1,28,150,antler,5,fox_fur,10,steel_saber,1,,,archive:warrior
relief_warrior,1,31,200,acorn,80,red_fox_fur,10,light_fox_fur,10,,,archive:warrior
potence_warrior,1,35,500,battle_helm,1,red_fox_fur,10,light_fox_fur,10,,,archive:warrior
watchful_eye_warrior,1,38,100,amber,1,rat_meat,10,,,,,archive:warrior
mentor,1,40,1000,maxcaliber,1,,,,,,,archive:warrior
dragons_fury_warrior,1,45,750,fine_snake_meat,5,fox_tail,1,light_fox_fur,20,,,archive:warrior
infuse_warrior,1,55,1000,antler,10,red_fox_fur,20,steel_saber,1,,,archive:warrior
slash_warrior,1,63,1000,antler,5,tigers_heart,5,white_amber,1,,,archive:warrior
ingress_warrior,1,70,1500,antler,10,amber,10,maxcaliber,1,,,archive:warrior
berserk_warrior,1,80,5000,fox_blade,1,amber,20,maxcaliber,1,,,archive:warrior
share_wisdom,1,90,100000,,,,,,,,,archive:warrior
vigor_warrior,1,90,10000,angels_tear,1,light_fox_fur,40,mountain_ginseng,1,,,archive:warrior
whirlwind_warrior,1,99,10000,angels_tear,1,dark_amber,20,electra,1,,,archive:warrior
gateway,3,5,0,acorn,10,rabbit_meat,10,,,,,archive:mage
thunder_bolt_mage,3,5,50,acorn,10,rabbit_meat,10,,,,,archive:mage
might_mage,3,6,50,antler,5,bears_liver,1,,,,,archive:mage
soothe,3,6,50,acorn,10,rabbit_meat,10,,,,,archive:mage
pestilence_mage,3,7,50,acorn,15,wooden_sword,1,,,,,archive:mage
static_mage,3,8,50,acorn,20,soup_bowl,1,,,,,archive:mage
spark_mage,3,9,10,acorn,10,book,1,,,,,archive:mage
fleshspeak_mage,3,11,100,acorn,10,book,1,rabbit_meat,10,,,archive:mage
propose,3,11,1000,,,,,,,,,archive:mage
singe_mage,3,13,100,book,1,ink,1,,,,,archive:mage
return_spell,3,13,50,acorn,30,,,,,,,archive:mage
harden_armor_mage,3,14,100,ancient_armor,1,gold_acorn,1,,,,,archive:mage
ignite_mage,3,19,200,book,1,ink,1,,,,,archive:mage
approach_spell,3,20,0,acorn,50,snake_meat,20,,,,,archive:mage
lay_hands_mage,3,21,0,ginseng,1,light_fox_fur,10,,,,,archive:mage
erupt_mage,3,22,0,acorn,50,topaz,2,,,,,archive:mage
mend_wounds_mage,3,23,0,bears_liver,5,ginseng,1,,,,,archive:mage
valor_mage,3,23,150,antler,10,snake_meat,20,,,,,archive:mage
ion_mage,3,26,0,gold_acorn,1,topaz,1,,,,,archive:mage
relief_mage,3,28,250,gold_acorn,1,mountain_ginseng,1,snake_meat,10,,,archive:mage
purge_mage,3,30,150,antler,10,gold_acorn,1,mountain_ginseng,1,,,archive:mage
summon_spell,3,30,50,acorn,80,snake_meat,10,,,,,archive:mage
ion_charge_mage,3,32,150,gold_acorn,1,light_fox_fur,25,moon_wine,1,,,archive:mage
recover_mage,3,32,200,antler,20,ginseng,1,gold_acorn,1,,,archive:mage
cure_paralysis_mage,3,36,150,gold_acorn,1,mountain_ginseng,1,,,,,archive:mage
sanctuary_mage,3,38,250,ancient_robes,1,battle_helm,1,gold_acorn,1,,,archive:mage
invoke_mage,3,39,250,book,1,fine_snake_meat,5,ink,1,,,archive:mage
gangrel_mage,3,40,200,acorn,50,fox_fur,1,,,,,archive:mage
heal_mage,3,40,100,bears_liver,10,gold_acorn,1,mountain_ginseng,1,,,archive:mage
mentor,3,40,1000,deaths_head,1,,,,,,,archive:mage
impact_mage,3,41,250,amethyst,1,gold_acorn,1,,,,,archive:mage
explode_mage,3,42,100,acorn,100,fox_fur,10,,,,,archive:mage
remove_curse_mage,3,44,200,fox_fur,10,gold_acorn,1,,,,,archive:mage
beast_mage,3,50,100,acorn,70,,,,,,,archive:mage
call_lightning_mage,3,54,500,gold_acorn,1,tao_stone,1,,,,,archive:mage
vex_mage,3,55,250,acorn,70,lucky_coin,1,,,,,archive:mage
venom_mage,3,59,500,fine_snake_meat,3,mountain_ginseng,1,snake_meat,10,,,archive:mage
blind_mage,3,61,400,amber,2,dark_amber,1,,,,,archive:mage
paralyze_mage,3,62,500,ambrosia,1,antler,20,,,,,archive:mage
electrocute_mage,3,64,500,acorn,70,amber,1,,,,,archive:mage
confuse_mage,3,65,600,amber,2,deaths_head,1,,,,,archive:mage
sleep_mage,3,70,0,dark_amber,10,fox_blade,1,,,,,archive:mage
stormstrike_mage,3,77,2500,dark_amber,3,steel_saber,1,,,,,archive:mage
doze_mage,3,82,0,dark_amber,5,fox_blade,1,,,,,archive:mage
tempest_mage,3,85,2000,dark_amber,2,gold_acorn,3,,,,,archive:mage
rejuvenate_mage,3,90,10000,mountain_ginseng,2,,,,,,,archive:mage
share_wisdom,3,90,100000,,,,,,,,,archive:mage
hellfire_mage,3,99,9000,dark_amber,10,stardrop,10,star_staff,1,,,archive:mage
gateway,2,5,0,rabbit_meat,10,acorn,10,,,,,archive:rogue
feral_rogue,2,10,100,rabbit_meat,10,acorn,50,,,,,archive:rogue
fleshspeak_rogue,2,11,40,acorn,70,,,,,,,archive:rogue
might_rogue,2,15,100,acorn,50,snake_meat,20,,,,,archive:rogue
judge_rogue,2,17,150,acorn,70,snake_meat,30,,,,,archive:rogue
singe_rogue,2,18,200,acorn,30,topaz,1,,,,,archive:rogue
mend_wounds_rogue,2,20,100,acorn,50,,,,,,,archive:rogue
ignite_rogue,2,24,200,acorn,30,light_fox_fur,1,topaz,2,,,archive:rogue
shadow_figure_rogue,2,24,200,acorn,100,red_fox_fur,10,,,,,archive:rogue
rodent_rogue,2,25,100,rabbit_meat,10,acorn,80,,,,,archive:rogue
set_trap,2,26,500,fine_rabbit_meat,2,,,,,,,archive:rogue
set_dart_trap,2,26,0,,,,,,,,,archive:rogue
spy_rogue,2,28,200,acorn,100,red_fox_fur,15,,,,,archive:rogue
wolfs_fury_rogue,2,30,300,acorn,150,light_fox_fur,20,,,,,archive:rogue
set_flash_trap,2,33,0,,,,,,,,,archive:rogue
gangrel_rogue,2,33,100,acorn,80,fox_fur,10,,,,,archive:rogue
invisible_rogue,2,34,0,fox_tail,1,topaz,1,,,,,archive:rogue
approach_spell,2,35,100,acorn,100,fox_fur,10,,,,,archive:rogue
ambush_rogue,2,38,400,acorn,180,fox_blade,1,,,,,archive:rogue
mentor,2,40,1000,moonblade,1,,,,,,,archive:rogue
beast_rogue,2,40,100,acorn,80,bears_liver,20,,,,,archive:rogue
amnesia_rogue,2,43,1200,acorn,50,fox_fur,20,lucky_coin,1,,,archive:rogue
set_repeating_dart_trap,2,44,0,,,,,,,,,archive:rogue
return_spell,2,45,100,acorn,100,,,,,,,archive:rogue
recover_rogue,2,48,300,acorn,100,mountain_ginseng,1,,,,,archive:rogue
desperate_attack_rogue,2,50,500,acorn,50,amethyst,2,steel_saber,1,,,archive:rogue
summon_spell,2,53,500,acorn,100,,,,,,,archive:rogue
snare,2,55,0,,,,,,,,,archive:rogue
tigers_fury_rogue,2,56,1000,acorn,180,lucky_coin,1,moonblade,1,,,archive:rogue
filch_rogue,2,65,2000,acorn,130,steel_sword,1,,,,,archive:rogue
set_spear_trap,2,66,0,,,,,,,,,archive:rogue
set_poison_dart_trap,2,77,0,,,,,,,,,archive:rogue
drain_rogue,2,80,5000,acorn,190,dark_amber,10,,,,,archive:rogue
set_death_trap,2,88,0,,,,,,,,,archive:rogue
seal_wounds_rogue,2,90,25000,,,,,,,,,archive:rogue
set_sleep_trap,2,99,0,,,,,,,,,archive:rogue
lethal_strike_rogue,2,99,5000,deaths_head,1,whisper_bracelet,1,titanium_glove,1,,,archive:rogue
soothe,4,6,0,acorn,5,rabbit_meat,5,,,,,archive:poet
gateway,4,5,0,acorn,10,rabbit_meat,10,,,,,archive:poet
invoke_poet,4,7,0,ink,1,wine,1,,,,,archive:poet
lay_hands_poet,4,7,0,acorn,20,rabbit_meat,10,,,,,archive:poet
spark_poet,4,8,0,acorn,20,rabbit_meat,10,,,,,archive:poet
recover_poet,4,9,100,aged_wine,1,,,,,,,archive:poet
propose,4,11,1000,,,,,,,,,archive:poet
purge_poet,4,12,100,snake_meat,10,wine,1,,,,,archive:poet
harden_armor_poet,4,14,10,ancient_armor,1,snake_meat,20,,,,,archive:poet
vital_spark_poet,4,15,100,acorn,50,,,,,,,archive:poet
singe_poet,4,17,0,acorn,20,rabbit_meat,10,,,,,archive:poet
remove_curse_poet,4,18,10,blue_ring,1,,,,,,,archive:poet
valor_poet,4,21,100,antler,10,snake_meat,20,,,,,archive:poet
heal_poet,4,22,0,ink,1,snake_meat,10,,,,,archive:poet
ignite_poet,4,22,0,acorn,20,rabbit_meat,10,,,,,archive:poet
anoint_poet,4,28,100,aged_wine,1,,,,,,,archive:poet
approach_spell,4,29,100,gold_acorn,1,,,,,,,archive:poet
sanctuary_poet,4,30,0,scroll,1,ink,1,,,,,archive:poet
remove_veil_poet,4,31,0,ancient_robes,1,,,,,,,archive:poet
return_spell,4,32,0,yellow_scroll,1,,,,,,,archive:poet
endear_poet,4,33,0,light_fox_fur,10,red_fox_fur,10,topaz,1,,,archive:poet
cure_paralysis_poet,4,34,100,fine_snake_meat,1,,,,,,,archive:poet
summon_spell,4,38,100,acorn,70,,,,,,,archive:poet
mentor,4,40,1000,wicked_staff,1,,,,,,,archive:poet
revitalize_poet,4,40,0,aged_wine,1,amethyst,1,,,,,archive:poet
inspiration_poet,4,45,1000,fragile_rose,1,,,,,,,archive:poet
remedy_poet,4,45,100,fox_fur,20,mountain_ginseng,1,,,,,archive:poet
atone_poet,4,48,100,gold_acorn,1,scroll,1,,,,,archive:poet
second_sight_poet,4,53,500,acorn,100,steel_saber,1,,,,,archive:poet
retribution_poet,4,56,2000,purple_ring,1,wicked_staff,1,,,,,archive:poet
barrier_poet,4,60,500,acorn,70,light_fox_fur,20,,,,,archive:poet
fortify_poet,4,60,100,light_fox_fur,20,mountain_ginseng,1,,,,,archive:poet
inspire_poet,4,60,100,amethyst,1,gold_acorn,1,,,,,archive:poet
cotw_controller_poet,4,63,1000,acorn,100,pearl_charm,1,,,,,archive:poet
scourge_poet,4,70,1000,acorn,80,amber,2,,,,,archive:poet
blockade_human_poet,4,75,500,acorn,50,dark_amber,1,,,,,archive:poet
heavens_kiss_poet,4,80,800,acorn,80,dark_amber,1,,,,,archive:poet
harden_body_poet,4,85,5000,acorn,100,amber,20,,,,,archive:poet
dispell_poet,4,88,100,acorn,80,deaths_head,1,,,,,archive:poet
flare_poet,4,90,10000,gold_acorn,5,,,,,,,archive:poet
share_wisdom,4,90,100000,,,,,,,,,archive:poet
water_of_life_poet,4,95,5000,acorn,100,dark_amber,1,red_potion,1,,,archive:poet
resurrect_poet,4,99,10000,acorn,199,dark_amber,5,red_potion,2,,,archive:poet
anger_warrior,1,6,0,acorn,20,rabbit_meat,5,,,,,lua
tease_warrior,1,6,0,acorn,20,rabbit_meat,5,,,,,lua
mock_warrior,1,6,0,acorn,20,rabbit_meat,5,,,,,lua
souls_rage_warrior,1,7,100,rabbit_meat,25,,,,,,,lua
spirit_of_the_forest_warrior,1,7,100,rabbit_meat,25,,,,,,,lua
augmentation_warrior,1,7,100,rabbit_meat,25,,,,,,,lua
sanctification_warrior,1,10,80,antler,3,,,,,,,lua
